"code","studysite","species","species_scientific_name","species_common_name","investigator","lon","lat","url","all_investigators"
"ID009","Twin Peaks","PIAL","Pinus albicaulis Engelm.","whitebark pine","Perkins, D.L.",-114.45,44.6,"https://www.ncdc.noaa.gov/paleo/study/1000011","Perkins, D.L."
"ID010","Sandpass","PIAL","Pinus albicaulis Engelm.","whitebark pine","Perkins, D.L.",-114.97,43.97,"https://www.ncdc.noaa.gov/paleo/study/1000012","Perkins, D.L."
"ID011","Upper Sandpass","PIAL","Pinus albicaulis Engelm.","whitebark pine","Perkins, D.L.",-114.97,43.97,"https://www.ncdc.noaa.gov/paleo/study/1000013","Perkins, D.L."
"ID012","Railroad Ridge","PIAL","Pinus albicaulis Engelm.","whitebark pine","Perkins, D.L.",-114.55,44.13,"https://www.ncdc.noaa.gov/paleo/study/1000014","Perkins, D.L."
"LA001","Big Cypress State Park","TADI","Taxodium distichum (L.) Rich.","baldcypress","Stahle, D.W.",-92.97,32.25,"https://www.ncdc.noaa.gov/paleo/study/1000015","Stahle, D.W."
"MEXI022","Cerro Baraja","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Stahle, D.W.",-106.08,26.4,"https://www.ncdc.noaa.gov/paleo/study/1000016","Stahle, D.W.; Cleaveland, M.K.; Burns, B.T."
"MEXI023","Cerro Baraja and Los Angeles Sawmill","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Stahle, D.W.",-106.08,26.4,"https://www.ncdc.noaa.gov/paleo/study/1000017","Stahle, D.W.; Cleaveland, M.K.; Burns, B.T."
"MO037","Allred Lake Natural Area","TADI","Taxodium distichum (L.) Rich.","baldcypress","Stahle, D.W.",-90.48,36.57,"https://www.ncdc.noaa.gov/paleo/study/1000018","Stahle, D.W."
"MO043","Leatherwood Creek","JUVI","Juniperus virginiana L.","eastern red-cedar","Stahle, D.W.",-91.53,37.1,"https://www.ncdc.noaa.gov/paleo/study/1000019","Stahle, D.W.; Guyette, R.P.; Therrell, M.D.; Cleaveland, M.K."
"MT110","North Fork Ridge","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","King, J.C.",-111.33,45.3,"https://www.ncdc.noaa.gov/paleo/study/1000020","King, J.C."
"MT111","North Fork Ridge","PIFL","Pinus flexilis E. James","limber pine","King, J.C.",-111.33,45.3,"https://www.ncdc.noaa.gov/paleo/study/1000021","King, J.C."
"MT112","Yellow Mountain Ridge 1","PIFL","Pinus flexilis E. James","limber pine","King, J.C.",-111.32,45.3,"https://www.ncdc.noaa.gov/paleo/study/1000022","King, J.C.; Waggoner, L.; Graumlich, L.J."
"MT113","Yellow Mountain Ridge 1 - Entire Bark Trees","PIFL","Pinus flexilis E. James","limber pine","Waggoner, L.",-111.32,45.3,"https://www.ncdc.noaa.gov/paleo/study/1000023","Waggoner, L.; Graumlich, L.J."
"MT114","Yellow Mountain Ridge 2","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","King, J.C.",-111.32,45.3,"https://www.ncdc.noaa.gov/paleo/study/1000024","King, J.C.; Waggoner, L.; Graumlich, L.J."
"MT116","Flint Creek Range","LALY","Larix lyallii Parl.","subalpine larch","Hughes, M.K.",-113.15,46.28,"https://www.ncdc.noaa.gov/paleo/study/1000025","Hughes, M.K.; Woodhouse, C.A.; Brown, P.M."
"NM559","Elephant Rock","PIPO","Pinus ponderosa Douglas ex C. Lawson","ponderosa pine","Swetnam, T.W.",-105.43,36.7,"https://www.ncdc.noaa.gov/paleo/study/1000036","Swetnam, T.W.; Caprio, A.C.; Lynch, A.M."
"NM560","Italian Canyon","PIFL","Pinus flexilis E. James","limber pine","Swetnam, T.W.",-105.47,36.73,"https://www.ncdc.noaa.gov/paleo/study/1000037","Swetnam, T.W.; Caprio, A.C.; Lynch, A.M."
"NM572","El Malpais National Monument","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Grissino-Mayer, H.D.",-108.1,34.97,"https://www.ncdc.noaa.gov/paleo/study/1000038","Grissino-Mayer, H.D."
"NV049","Pony Express","PIMO","Pinus monophylla Torr. & Frém.","singleleaf pinyon","Stockton, C.W.",-114.62,39.82,"https://www.ncdc.noaa.gov/paleo/study/1000039","Stockton, C.W."
"NV053","White Horse Summit","PIMO","Pinus monophylla Torr. & Frém.","singleleaf pinyon","Stockton, C.W.",-114.22,40.4,"https://www.ncdc.noaa.gov/paleo/study/1000040","Stockton, C.W."
"NV056","Pequap Summit","PIMO","Pinus monophylla Torr. & Frém.","singleleaf pinyon","Stockton, C.W.",-114.58,41.05,"https://www.ncdc.noaa.gov/paleo/study/1000041","Stockton, C.W."
