month,prec,temp,precs,temps
jun,-0.101255291967939,0.0575232242171985,FALSE,FALSE
jul,0.0602406444506631,-0.0692481166207172,FALSE,FALSE
aug,0.194225919344367,-0.173571711288161,TRUE,TRUE
sep,0.034405820247409,0.0781636466795826,FALSE,FALSE
oct,-0.158810286107887,0.247264556903556,FALSE,TRUE
nov,-0.0271309552138626,-0.0171953781891644,FALSE,FALSE
dec,0.0677238297516671,-0.0644347134825731,FALSE,FALSE
JAN,0.0313227729132238,0.0820845412458341,FALSE,FALSE
FEB,-0.0370142811822771,0.133422524298842,FALSE,FALSE
MAR,-0.0581516325671869,0.0865308601137261,FALSE,FALSE
APR,-0.0457469834980207,0.00276853017174894,FALSE,FALSE
MAY,0.00869856077203253,0.0162796409944277,FALSE,FALSE
JUN,0.0666580472361908,-0.119778549805953,FALSE,FALSE
JUL,0.0577598226576532,0.0259036589807404,FALSE,FALSE
AUG,-0.0355803026100654,0.0773646253128853,FALSE,FALSE
SEP,0.00921096118999214,0.0029481168725501,FALSE,FALSE
