month,prec,temp,precs,temps
jun,0.0929171830501234,0.04165403999469,FALSE,FALSE
jul,-0.0644183194609409,0.0676869360201818,FALSE,FALSE
aug,0.0138881669604542,-0.0710315055699285,FALSE,FALSE
sep,0.0485339936119292,-0.0260986617002797,FALSE,FALSE
oct,0.0249667922391551,0.00698581454748991,FALSE,FALSE
nov,0.11369861906301,0.0892657613124468,FALSE,FALSE
dec,0.00362504452337798,0.144262852538583,FALSE,FALSE
JAN,-0.108401310553921,-0.162514799471013,FALSE,FALSE
FEB,0.105878012131612,-0.00949286562952259,FALSE,FALSE
MAR,0.0893723507771661,-0.0215211914216877,FALSE,FALSE
APR,0.00182984443753012,0.0704009921660981,FALSE,FALSE
MAY,-0.0740765897706334,0.0641224732904893,FALSE,FALSE
JUN,0.218756937807486,0.0139789412161572,TRUE,FALSE
JUL,-0.109900817470215,0.0952577294241315,FALSE,FALSE
AUG,0.0890829767953909,0.00927643596507978,FALSE,FALSE
SEP,0.017420359650371,-0.0265290949815495,FALSE,FALSE
