month,prec,temp,precs,temps
jun,-0.00142655472313679,-0.0667816843097478,FALSE,FALSE
jul,0.0184148676798883,-0.0317952971638211,FALSE,FALSE
aug,0.251200656444471,0.0156630888377072,FALSE,FALSE
sep,0.158420806826956,-0.0392675288062102,FALSE,FALSE
oct,0.0970040390477254,-0.220525643076507,FALSE,TRUE
nov,0.13522298452856,-0.115673789130894,FALSE,FALSE
dec,0.235677278534837,0.0918891580981314,TRUE,FALSE
JAN,0.272611066590404,0.0361815793820679,TRUE,FALSE
FEB,0.243414203911764,-0.0537519143979246,TRUE,FALSE
MAR,0.256842043896736,-0.0215787389671729,TRUE,FALSE
APR,0.00266947350619101,-0.0655178685046146,FALSE,FALSE
MAY,-0.0141579736460373,0.0105321132453099,FALSE,FALSE
JUN,0.0159012488758574,-0.0266401907922957,FALSE,FALSE
JUL,-0.00638576678390535,-0.137775654894182,FALSE,FALSE
AUG,0.151343928295489,-0.0453422421210741,FALSE,FALSE
SEP,0.0478764096694298,-0.0448299027542384,FALSE,FALSE
