month,prec,temp,precs,temps
jun,0.0772702436122307,-0.0544869452469232,FALSE,FALSE
jul,0.0596199588459745,0.037767788382082,FALSE,FALSE
aug,0.0210011738022806,-0.157058950964735,FALSE,FALSE
sep,0.03902577532808,0.0997644288461709,FALSE,FALSE
oct,-0.0733465574923595,0.0245801506421796,FALSE,FALSE
nov,-0.108923918258789,0.0450941010357826,FALSE,FALSE
dec,-0.019342940264377,-0.127379812554338,FALSE,FALSE
JAN,0.00994018434140792,0.111932816744349,FALSE,FALSE
FEB,0.0365515436003647,-0.054362892459211,FALSE,FALSE
MAR,-0.16295105729803,0.0668807349338928,FALSE,FALSE
APR,-0.0636150718799776,-0.0684641496382831,FALSE,FALSE
MAY,0.0641663027684265,0.0215354014434793,FALSE,FALSE
JUN,0.331416310072638,-0.018219331199704,TRUE,FALSE
JUL,0.170011557342292,0.0509443405853051,TRUE,FALSE
AUG,-0.145124208270602,0.091929107484468,TRUE,FALSE
SEP,0.0306079631091013,0.00762410517400446,FALSE,FALSE
