month,prec,temp,precs,temps
jun,-0.123770658159543,0.0864291960652192,FALSE,FALSE
jul,0.00522999410916151,0.0379373353052306,FALSE,FALSE
aug,-0.0142969940402618,-0.0552915166183931,FALSE,FALSE
sep,-0.0680078110725424,-0.0902710670725953,FALSE,FALSE
oct,0.0570036480398156,0.0842823932306651,FALSE,FALSE
nov,0.130395650882929,-0.116533246215365,FALSE,FALSE
dec,-0.0809515947945953,-0.109337225272251,FALSE,FALSE
JAN,-0.141721266256389,0.0727910340337997,FALSE,FALSE
FEB,-0.124637607804556,0.0604292290207605,FALSE,FALSE
MAR,-0.0899605405396373,0.125435138358788,FALSE,FALSE
APR,-0.0267278425441004,0.00781613666039136,FALSE,FALSE
MAY,0.104244625153597,-0.0334089877244974,FALSE,FALSE
JUN,-0.0789689814961049,0.0869078961528971,FALSE,FALSE
JUL,0.188985708849853,0.0959278511124709,FALSE,FALSE
AUG,-0.0365767122680557,0.0307818789638446,FALSE,FALSE
SEP,-0.133720235936802,-0.155136474066596,FALSE,FALSE
