month,prec,temp,precs,temps
jun,0.0430345620593953,-0.263231316857288,FALSE,TRUE
jul,0.201211171698462,-0.0495180822410041,TRUE,FALSE
aug,-0.0192530034317229,0.0195061686320263,FALSE,FALSE
sep,0.0612943517297205,-0.000935787370899115,FALSE,FALSE
oct,-0.137041118532281,0.0881029966425659,FALSE,FALSE
nov,0.0618974218472636,-0.00840851372163288,FALSE,FALSE
dec,-0.034915708700344,0.131835091893215,FALSE,FALSE
JAN,0.0890529766666037,-0.0242614952902641,FALSE,FALSE
FEB,-0.186600749590086,0.0267947192049486,TRUE,FALSE
MAR,-0.136599431644079,-0.191369080800414,FALSE,TRUE
APR,-0.208218001468894,0.0606868180654343,TRUE,FALSE
MAY,0.0491607108112062,0.0632029732058824,FALSE,FALSE
JUN,0.147362519150213,-0.141333632774203,FALSE,FALSE
JUL,0.187342579733049,0.19843685756576,FALSE,FALSE
AUG,-0.189010053670084,0.129454092238322,FALSE,FALSE
SEP,0.0740920490092713,-0.0970943662574768,FALSE,FALSE
