id,varname,month,coef,significant,ci_lower,ci_upper
1,prec,jun,-0.0092598999429821,FALSE,-0.231716076067192,0.181802229434538
2,prec,jul,-0.085669377910768,FALSE,-0.318130908216211,0.130066854253705
3,prec,aug,0.0785775804573741,FALSE,-0.138478631284138,0.279998990862259
4,prec,sep,-0.038158335127684,FALSE,-0.194309870677941,0.133474044469512
5,prec,oct,0.0784335259526927,FALSE,-0.107821657788298,0.261733468622509
6,prec,nov,0.0793558524234045,FALSE,-0.0808334124306524,0.250343105231998
7,prec,dec,0.239578962817033,TRUE,0.0641783696144274,0.427594894473205
8,prec,JAN,-0.00367954008818472,FALSE,-0.168083380580604,0.159730426309243
9,prec,FEB,0.111988032471894,FALSE,-0.0626724585918014,0.27391063145891
10,prec,MAR,0.0147158950400448,FALSE,-0.12430403906663,0.15325842559236
11,prec,APR,0.151814347090076,FALSE,-0.0324062484826066,0.341004360591307
12,prec,MAY,0.150589753936706,FALSE,-0.00786741518817367,0.290733297261446
13,prec,JUN,0.0257280214983929,FALSE,-0.179928775949095,0.210830657911109
14,prec,JUL,-0.0183459345384105,FALSE,-0.184461219704196,0.16252848914331
15,prec,AUG,-0.00958962259687655,FALSE,-0.1603321016202,0.154334985519259
16,prec,SEP,-0.0232319225348779,FALSE,-0.217477139199899,0.161311157193044
17,temp,jun,-0.130904222031525,FALSE,-0.327191102151432,0.0634485579111091
18,temp,jul,0.0244025013710131,FALSE,-0.158076216577131,0.206855137966628
19,temp,aug,0.0207780450880141,FALSE,-0.161317219006305,0.195528958521455
20,temp,sep,0.0426177001315909,FALSE,-0.137307900338007,0.223543472060402
21,temp,oct,0.032249403932098,FALSE,-0.120266525122758,0.204004096997023
22,temp,nov,-0.0174078053269259,FALSE,-0.226307461248858,0.133280879633561
23,temp,dec,0.090353632281944,FALSE,-0.0789289869253867,0.266386083665536
24,temp,JAN,-0.00119992354627715,FALSE,-0.170253339304536,0.150831387706422
25,temp,FEB,-0.0225200783884911,FALSE,-0.240109738693191,0.159448937062997
26,temp,MAR,-0.170723581605196,TRUE,-0.335985489234342,-0.0258266886813554
27,temp,APR,-0.210390425707537,TRUE,-0.369139806958385,-0.0586703760621521
28,temp,MAY,-0.152228879739979,FALSE,-0.291780130825792,0.0189880513518111
29,temp,JUN,-0.132592554249592,FALSE,-0.319227851516913,0.0483635428919035
30,temp,JUL,-0.0927392356074249,FALSE,-0.277433043328824,0.0949889437040105
31,temp,AUG,0.0215759588823387,FALSE,-0.158721285862756,0.197858186908708
32,temp,SEP,0.137846580993086,FALSE,-0.0538152136950786,0.297805969759719
