month,prec,temp,precs,temps
jun,-0.0414180957635539,-0.0418934803749122,FALSE,FALSE
jul,-0.0245588176876551,0.146111113872451,FALSE,FALSE
aug,0.0035607946942766,0.0794518372205102,FALSE,FALSE
sep,0.0210822794466833,-0.0865020368232776,FALSE,FALSE
oct,0.0327777455599101,0.0394880330888928,FALSE,FALSE
nov,0.0595897456456558,-0.0755022955728943,FALSE,FALSE
dec,0.180442542626059,0.0991697531852346,TRUE,FALSE
JAN,0.00733765035482889,-0.150115161514811,FALSE,FALSE
FEB,-0.0331890964346524,0.0941347622673794,FALSE,FALSE
MAR,-0.0145944244415966,0.201117349683642,FALSE,TRUE
APR,0.00395155890180578,0.036628239506177,FALSE,FALSE
MAY,0.0811531377303459,-0.0421698457155031,FALSE,FALSE
JUN,-0.0819789014508923,-0.0649573000175935,FALSE,FALSE
JUL,-0.0273079476458918,-0.0117042101029055,FALSE,FALSE
AUG,0.0620281170900387,0.180994545816854,FALSE,TRUE
SEP,-0.137513065487958,0.0682955824875221,FALSE,FALSE
