month,prec,temp,precs,temps
jun,-0.0554553656536348,0.0471685687027233,FALSE,FALSE
jul,0.140497101307071,0.0344840824474887,TRUE,FALSE
aug,0.0934969706626921,-0.0431188185260364,FALSE,FALSE
sep,0.0716614272591555,-0.0493776700084288,FALSE,FALSE
oct,0.0183693912652646,0.0973614783181505,FALSE,FALSE
nov,0.0726141783672706,0.110683549335506,FALSE,FALSE
dec,0.150467660905903,0.0525078867157562,TRUE,FALSE
JAN,0.114599771687116,-0.0695958768070997,FALSE,FALSE
FEB,-0.0463264378518882,0.0304581729747524,FALSE,FALSE
MAR,0.0799928265403023,0.00212895373420331,FALSE,FALSE
APR,0.0437400366245349,-0.201731404936572,FALSE,TRUE
MAY,0.0166449908085603,-0.0833789646932578,FALSE,FALSE
JUN,-0.155058072267812,0.0474443415793787,FALSE,FALSE
JUL,-0.0283763578779031,0.186888619861833,FALSE,TRUE
AUG,0.111180254213172,0.0750974575950936,FALSE,FALSE
SEP,0.0138033338635568,0.0346049232781149,FALSE,FALSE
