month,prec,temp,precs,temps
jun,0.0475310945990124,0.00473780545846553,FALSE,FALSE
jul,0.00629498122879169,0.0445571900861841,FALSE,FALSE
aug,0.063404278116543,0.0237749013863097,FALSE,FALSE
sep,0.120182309354193,-0.140906734478123,FALSE,FALSE
oct,0.131977175055467,0.0402977421705175,FALSE,FALSE
nov,0.121380480981724,0.00500282414494576,FALSE,FALSE
dec,-0.0323264231580875,0.0181622557037311,FALSE,FALSE
JAN,0.159801061793872,0.127742647782155,TRUE,FALSE
FEB,9.16856963315855e-05,-0.0463079454177043,FALSE,FALSE
MAR,0.181687326835693,-0.122530340402429,TRUE,FALSE
APR,0.0800996750411183,-0.0938565391077825,FALSE,FALSE
MAY,0.190136314072255,0.0882517406261934,TRUE,FALSE
JUN,0.158645898359552,-0.286604085290874,TRUE,TRUE
JUL,0.0607727361087928,-0.134139209547735,FALSE,TRUE
AUG,-0.07104793487795,0.044576645459818,FALSE,FALSE
SEP,0.121271864979684,0.000658159228609926,FALSE,FALSE
