month,prec,temp,precs,temps
jun,0.115176364699407,-0.116345869499937,FALSE,FALSE
jul,0.169112826781263,-0.0239364999736023,FALSE,FALSE
aug,0.116178664504023,-0.0182002026957786,FALSE,FALSE
sep,0.0872098487231507,-0.0473402138506519,FALSE,FALSE
oct,0.0958648019733,-0.103388678492365,FALSE,FALSE
nov,-0.0226575796264457,0.11010693458359,FALSE,FALSE
dec,0.139274835178533,0.0216925236870554,FALSE,FALSE
JAN,0.026744840821077,0.119799899038992,FALSE,FALSE
FEB,-0.0146596904392634,0.144593198860545,FALSE,FALSE
MAR,0.0378379250034674,0.128118940506373,FALSE,FALSE
APR,0.0180794064667113,0.0829299014371713,FALSE,FALSE
MAY,-0.0222591852211197,0.00287571838865288,FALSE,FALSE
JUN,0.132983528675339,-0.0082185043896431,FALSE,FALSE
JUL,-0.123035371261096,0.119408111909625,FALSE,FALSE
AUG,0.0641077773552564,0.00919345403768248,FALSE,FALSE
SEP,0.0142143684475052,-0.0273638931912074,FALSE,FALSE
