id,varname,month,coef,significant,ci_lower,ci_upper
1,prec,jun,-0.00641165679778719,FALSE,-0.189945844658828,0.205585367357559
2,prec,jul,-0.119023310983246,FALSE,-0.32789315369188,0.0732915273679219
3,prec,aug,0.0258684374006107,FALSE,-0.144938435572825,0.218154797911104
4,prec,sep,0.124015198237911,FALSE,-0.0428195425315436,0.282749553621861
5,prec,oct,-0.0666504821471889,FALSE,-0.240837012938257,0.0900816654297947
6,prec,nov,-0.0554230090203804,FALSE,-0.236082978720869,0.108031049455177
7,prec,dec,0.000217556490676516,FALSE,-0.17126884119351,0.176273483944166
8,prec,JAN,-0.0443870492655338,FALSE,-0.228471888246913,0.128012937304721
9,prec,FEB,0.0525344852476252,FALSE,-0.13792747662183,0.228593387717717
10,prec,MAR,0.117761031507154,FALSE,-0.033499007215182,0.26829541167305
11,prec,APR,0.248031821056337,TRUE,0.0913649076774191,0.402403692258141
12,prec,MAY,0.26069391986318,TRUE,0.0990499148192908,0.442063389820993
13,prec,JUN,0.110041179980848,FALSE,-0.0453989436429817,0.266221300927724
14,prec,JUL,-0.0701743707783538,FALSE,-0.224659071697922,0.100773512351143
15,prec,AUG,0.0061887114759914,FALSE,-0.177413189445003,0.161978701195825
16,prec,SEP,-0.0277370739835368,FALSE,-0.179220174971214,0.130863148490762
17,temp,jun,0.0883344210153508,FALSE,-0.0808183997625261,0.249639327364813
18,temp,jul,-0.034078125753827,FALSE,-0.199008000958523,0.127784911289138
19,temp,aug,-0.0635923727570707,FALSE,-0.235504849569026,0.114005393256709
20,temp,sep,-0.0588733481819764,FALSE,-0.237200400631244,0.152551123783508
21,temp,oct,-0.0641294099308781,FALSE,-0.220092222775576,0.102374854686791
22,temp,nov,0.0968086261511247,FALSE,-0.07365991722918,0.245080271630233
23,temp,dec,0.0831048724960813,FALSE,-0.10447715788141,0.245982876291922
24,temp,JAN,0.0826573402225451,FALSE,-0.0726029588447591,0.233249965010519
25,temp,FEB,-0.0410961346654612,FALSE,-0.222848911444903,0.109285172339957
26,temp,MAR,0.204332301973879,TRUE,0.0332420644782573,0.362338723426746
27,temp,APR,-0.00436132814919671,FALSE,-0.184250803541527,0.148461480771834
28,temp,MAY,-0.00627610594658858,FALSE,-0.195334561529025,0.168557090370429
29,temp,JUN,-0.0390062597592243,FALSE,-0.176341272378029,0.102915047466834
30,temp,JUL,0.00974259022290352,FALSE,-0.162949517763577,0.157968276025594
31,temp,AUG,0.0244193488589617,FALSE,-0.174806131995508,0.183423013081439
32,temp,SEP,0.0616302292839282,FALSE,-0.102377777025999,0.236781990147038
