month,prec,temp,precs,temps
jun,0.301735697835453,-0.0265848740453183,TRUE,FALSE
jul,0.100966951010309,-0.118165233368012,FALSE,FALSE
aug,0.158214345771946,0.140702131629777,FALSE,FALSE
sep,0.118957619389136,-0.0177030293705616,FALSE,FALSE
oct,-0.0332903727240413,-0.0987336771057632,FALSE,FALSE
nov,0.230254929941953,0.0229910268176668,TRUE,FALSE
dec,-0.0797795719740071,-0.0908127570553942,FALSE,FALSE
JAN,-0.102588463801134,-0.160740148751947,FALSE,FALSE
FEB,0.0387298323137618,0.00633031667980824,FALSE,FALSE
MAR,-0.0800555562551557,-0.130523546427877,FALSE,FALSE
APR,0.0700822476752825,0.0275614253792869,FALSE,FALSE
MAY,0.056862764970158,-0.121920791299304,FALSE,FALSE
JUN,0.233954640351047,-0.0596465317616619,TRUE,FALSE
JUL,-0.0507210540138051,-0.0852467329861379,FALSE,FALSE
AUG,0.035289567150054,0.110486528911703,FALSE,FALSE
SEP,0.132098032474181,0.0286077566110562,FALSE,FALSE
