month,prec,temp,precs,temps
jun,-0.0337268864154707,0.014947792405549,FALSE,FALSE
jul,0.103103444739924,-0.196287500989703,FALSE,TRUE
aug,0.0864787648115579,-0.103147992259872,FALSE,FALSE
sep,0.11636366805461,-0.0143698013636366,FALSE,FALSE
oct,0.172671448962435,0.0237954850081502,FALSE,FALSE
nov,0.130589149555493,0.0342449141130079,FALSE,FALSE
dec,-0.0447986726904224,0.0535129362951173,FALSE,FALSE
JAN,0.0287695568938756,-0.075764391288833,FALSE,FALSE
FEB,0.0318162692713911,-0.0272419427860103,FALSE,FALSE
MAR,-0.0274265311867471,-0.138712081725785,FALSE,FALSE
APR,-0.0286860205948728,-0.109307684111971,FALSE,FALSE
MAY,0.251045641064182,-0.0648967639991658,TRUE,FALSE
JUN,0.0831519061839979,-0.0848037974968623,FALSE,FALSE
JUL,0.223558986665578,-0.115607421825789,TRUE,FALSE
AUG,-0.131648361203778,-0.0253874971009266,FALSE,FALSE
SEP,0.023614319965027,-0.04803285008597,FALSE,FALSE
