month,prec,temp,precs,temps
jun,0.135235684573937,-0.0192598810929865,FALSE,FALSE
jul,0.081691337581866,-0.0389060318267056,FALSE,FALSE
aug,-0.0640816758930696,-0.0202529098256948,FALSE,FALSE
sep,-0.0227711210267214,-0.00987858077830307,FALSE,FALSE
oct,0.145246650532441,-0.0247006062378508,FALSE,FALSE
nov,0.0610173009413149,-0.0934020378934611,FALSE,FALSE
dec,0.0637879695684908,-0.139769088555068,FALSE,FALSE
JAN,-0.18747446873297,0.108466894779463,FALSE,FALSE
FEB,0.092791359845526,0.175948989907517,FALSE,TRUE
MAR,0.00911115331104861,0.0972901795848196,FALSE,FALSE
APR,0.042861599477762,0.00707772776201514,FALSE,FALSE
MAY,0.146297545401752,0.0306907728513632,FALSE,FALSE
JUN,0.071207700219639,-0.00621235806368658,FALSE,FALSE
JUL,-0.0271506706035524,-0.0543803779599565,FALSE,FALSE
AUG,-0.0172853194818298,0.0365025211977284,FALSE,FALSE
SEP,0.130082112804787,0.0978464391045544,FALSE,FALSE
