month,prec,temp,precs,temps
jun,-0.00382950777329541,-0.0184426740131124,FALSE,FALSE
jul,0.0372797236419629,-0.176081443797349,FALSE,TRUE
aug,-0.0348977262723716,-0.126167706264407,FALSE,FALSE
sep,0.154376178085194,-0.052464950422884,TRUE,FALSE
oct,-0.0253975126900961,0.0738001182895045,FALSE,FALSE
nov,-0.0492294736061779,-0.00275295129372438,FALSE,FALSE
dec,-0.0183313493478091,0.0118783012872809,FALSE,FALSE
JAN,0.159792048073723,0.0758607913793307,FALSE,FALSE
FEB,0.032854048094026,-0.0138521322496288,FALSE,FALSE
MAR,-0.0214213828787589,-0.00673100988824137,FALSE,FALSE
APR,0.0444170955273082,0.00101385118510722,FALSE,FALSE
MAY,0.0332485113041683,0.0204833572654061,FALSE,FALSE
JUN,0.120763401107599,0.023024131439765,FALSE,FALSE
JUL,0.233739459530518,-0.101393891153004,TRUE,FALSE
AUG,-0.0759943140536569,0.0294159480680559,FALSE,FALSE
SEP,0.133903102611008,0.0401469244350286,TRUE,FALSE
