month,prec,temp,precs,temps
jun,0.1779158951296,0.0697432701601169,FALSE,FALSE
jul,-0.0560593348286473,-0.118301798412974,FALSE,FALSE
aug,0.152300147650383,-0.0576736100759802,FALSE,FALSE
sep,0.024779879410386,-0.0125142781441403,FALSE,FALSE
oct,-0.0474691002459049,0.0148769682368128,FALSE,FALSE
nov,-0.0675615129272519,0.12594352777939,FALSE,FALSE
dec,-0.0216639559236619,-0.184741103931214,FALSE,TRUE
JAN,0.0527099254424883,0.197995057476588,FALSE,TRUE
FEB,-0.0952644030124167,-0.0507200199705335,FALSE,FALSE
MAR,0.0709191024201872,0.130377125912102,FALSE,FALSE
APR,0.045323160974861,-0.202780776368741,FALSE,TRUE
MAY,-0.00549203607324427,0.0237596816610371,FALSE,FALSE
JUN,0.152570022045795,-0.130045171988372,FALSE,FALSE
JUL,0.0601069038164714,-0.0702730718120966,FALSE,FALSE
AUG,-0.00897482853426134,-0.109129693896428,FALSE,FALSE
SEP,-0.111571091880218,-0.157139330603366,FALSE,TRUE
