month,prec,temp,precs,temps
jun,-0.148610268741797,0.10415955991218,FALSE,FALSE
jul,0.063658557838332,-0.0488773658712033,FALSE,FALSE
aug,0.0353877472130029,-0.0381792700291436,FALSE,FALSE
sep,-0.0461456245794771,-0.145391170027447,FALSE,TRUE
oct,-0.153071513074672,0.0055440527543399,FALSE,FALSE
nov,-0.00212552002492416,0.0150785085699141,FALSE,FALSE
dec,0.184283435371119,-0.0500191153302727,FALSE,FALSE
JAN,-0.0882387747433669,-0.0257129868165695,FALSE,FALSE
FEB,0.0224575007394224,0.0447594081132521,FALSE,FALSE
MAR,0.123864806648809,0.0422383494468542,FALSE,FALSE
APR,-0.0851561602780842,0.0396351227522639,FALSE,FALSE
MAY,0.095931804399023,-0.106461319644162,FALSE,FALSE
JUN,0.0117865440800616,-0.0388192123543484,FALSE,FALSE
JUL,0.0846397391169892,-0.0402651903767207,FALSE,FALSE
AUG,0.0803187454825568,-0.0549598832166889,FALSE,FALSE
SEP,0.0325150629227945,-0.0498457035395841,FALSE,FALSE
