month,prec,temp,precs,temps
jun,0.0692565572946267,0.130748514403802,FALSE,FALSE
jul,0.0836831876976903,0.0143007478587507,FALSE,FALSE
aug,0.158505358116591,-0.0758902881885841,FALSE,FALSE
sep,0.0620748836647751,-0.104404384550537,FALSE,FALSE
oct,-0.0289428141417332,0.128710802505541,FALSE,FALSE
nov,0.0552820274159337,-0.102815851256968,FALSE,FALSE
dec,-0.0334763033474202,0.0269854574215202,FALSE,FALSE
JAN,0.125406468719185,-0.000528953266457095,FALSE,FALSE
FEB,0.00268230574334777,0.0758627880818713,FALSE,FALSE
MAR,0.166759991368982,-0.0397629583598767,FALSE,FALSE
APR,-0.0064854695271349,0.0526281139783792,FALSE,FALSE
MAY,0.00153180965386218,-0.0554609402298648,FALSE,FALSE
JUN,0.239995350175449,-0.0462440068081949,TRUE,FALSE
JUL,-0.0887156350776657,-0.0593046729615466,FALSE,FALSE
AUG,0.0273017239500965,-0.0190613442514251,FALSE,FALSE
SEP,-0.143191999736861,-0.313578940546155,FALSE,TRUE
