month,prec,temp,precs,temps
jun,-0.00899533347638557,-0.0971345629910576,FALSE,FALSE
jul,0.0492328148115343,0.0106860936506282,FALSE,FALSE
aug,-0.0276727112262701,-0.0950861580891368,FALSE,FALSE
sep,0.0638047893758944,0.0311530479571811,FALSE,FALSE
oct,0.0399340430967973,-0.03379682399598,FALSE,FALSE
nov,0.309771447613952,0.13953250919067,TRUE,FALSE
dec,-0.161304139690205,-0.059732884808424,FALSE,FALSE
JAN,-0.0555156287809659,-0.036028177113448,FALSE,FALSE
FEB,0.0494899307835021,0.0222306851388111,FALSE,FALSE
MAR,-0.0802468021446414,-0.00700917278081167,FALSE,FALSE
APR,0.0485285400268521,-0.160454345601851,FALSE,TRUE
MAY,0.133743158750109,0.0230360490874589,FALSE,FALSE
JUN,0.177600175456019,-0.0358242801227225,TRUE,FALSE
JUL,0.109653433565446,0.0752094931231286,FALSE,FALSE
AUG,0.00105764032749765,0.0208508091824349,FALSE,FALSE
SEP,-0.0293326225947696,0.0781186222086176,FALSE,FALSE
