ABSP  Abies
ABAL  Abies alba
ABAM  Abies amabilis
ABBA  Abies balsamea
ABBO  Abies borisii
ABBN  Abies bornmuelleriana
ABBR  Abies bracteata
ABCE  Abies cephalonica
ABCH  Abies chensiensis
ABCI  Abies cilicica
ABCO  Abies concolor
ABEQ  Abies equi
ABFX  Abies faxoniana
ABFI  Abies firma
ABFO  Abies forestii
ABFR  Abies fraseri
ABGR  Abies grandis
ABHO  Abies holophylla
ABKA  Abies kawakamii
ABKO  Abies koreana
ABLA  Abies lasiocarpa
ABMA  Abies magnifica
ABMR  Abies mariessi
ABMC  Abies marocana
ABNB  Abies nebrodensis
ABNE  Abies nephrolepis
ABNO  Abies nordmanniana
ABNU  Abies numidica
ABPI  Abies pindrow
ABPN  Abies pinsapo
ABPR  Abies procera
ABRC  Abies recurvata
ABRE  Abies religiosa
ABSA  Abies sachalinensis
ABSI  Abies sibirica
ABSB  Abies spectabilis
ABSQ  Abies squamata
ABVI  Abies vietchii
ACAL  Acacia alpina
ACCA  Acacia catechu
ACGI  Acacia giraffae
ACHO  Acacia hotwittii
ACME  Acacia melanoxylon
ACNI  Acacia nilotica
ACRA  Acacia raddiana
ACSP  Acer
ACCA  Acer campestre
ACNE  Acer negundo
ACMO  Acer mono
ACOP  Acer opalus
ACPE  Acer pensylvanicum
ACPL  Acer platanoides
ACPS  Acer pseudoplatanus
ACRU  Acer rubrum
ACSA  Acer saccharinum
ACSH  Acer saccharum
ACSC  Acer spicatum
ACTU  Acer turkestanica
ADDI  Adansonia digitata
ADFA  Adenostoma fasciculatum
ADHO  Adesmia horrida
ADUS  Adesmia uspallatensis
AEHI  Aesculus hippocastanum
AEPU  Aextoxicon punctatum
AFAF  Afzelia africana
AFQU  Afzelia quanzensis
AGAU  Agathis australis
AGMA  Agathis macrophylla
AGMO  Agathis moorei
AGOV  Agathis ovata
AGPA  Agathis palmerstoni
AGRO  Agathis robusta
AGVI  Agathis vitiensis
AIAL  Ailanthus altissima
ALVE  Allocasuarina verticillata
ALSP  Alnus
ALGL  Alnus glutinosa
ALHI  Alnus hirsuta
ALIN  Alnus incana
ALMA  Alnus maximowiczii
ALRH  Alnus rhombifolia
ALRU  Alnus rubra
ALRG  Alnus rugosa
ALSE  Alnus serrulata
ALSI  Alnus sinuata
ALVI  Alnus viridis
ALCR  Alnus viridis
AMSP  Amelanchier Medik
AMOV  Amelanchier ovalis
AMLU  Amomyrtus luma
ANCO  Andira coriacea
ANSP  Annona spraguei
ARAN  Araucaria angustifolia
ARAR  Araucaria araucana
ARBI  Araucaria bidwilli
ARCU  Araucaria cunninghamii
ARHE  Araucaria heterophylla
ARHU  Araucaria hunsteinii
ARGL  Arctostaphylos glauca
ARTR  Artemisia tridentata
ATCU  Athrotaxis cupressoides
ATSE  Athrotaxis selaginoides
AUKL  Aucoumea klaineana
AUCH  Austrocedrus chilensis
BAAE  Balanites aegyptiaca
BLTA  Beilschmiedia tawa
BBVU  Berberis vulgaria
BTEX  Bertholletia excelsa
BESP  Betula
BEAB  Betula albosinensis
BEAL  Betula alleghaniensis
BEER  Betula ermanii
BEGL  Betula glandulosa
BEGR  Betula grossa
BELE  Betula lenta
BENI  Betula nigra
BEPA  Betula papyrifera
BEAK  Betula papyrifera
BEPE  Betula pendula
BEPL  Betula platyphylla
BEPO  Betula populifolia
BEPU  Betula pubescens
BEUT  Betula utilis
BEVE  Betula verrucosa
