year,rwi
1934,1.019
1935,0.801
1936,1.065
1937,1.389
1938,1.711
1939,1.388
1940,1.964
1941,1.372
1942,1.401
1943,1.9
1944,2.193
1945,1.413
1946,1.311
1947,1.447
1948,1.287
1949,1.533
1950,1.38
1951,1.41
1952,1.633
1953,1.691
1954,1.769
1955,1.59
1956,1.763
1957,1.821
1958,1.398
1959,1.458
1960,1.882
1961,1.833
1962,1.72
1963,1.535
1964,1.49
1965,1.579
1966,1.384
1967,1.406
1968,1.918
1969,2.482
1970,2.988
1971,2.519
1972,2.27
1973,2.533
1974,2.885
1975,2.753
1976,2.803
1977,3.245
1978,2.801
1979,2.982
1980,3.402
1981,3.66
1982,3.621
1983,4.492
1984,4.208
1985,3.477
