year,rwi
1814,1.055
1815,0.661
1816,0.849
1817,0.942
1818,0.748
1819,1.142
1820,1.164
1821,1.088
1822,0.787
1823,0.951
1824,1.084
1825,1.224
1826,1.116
1827,1.008
1828,1.241
1829,1.135
1830,0.83
1831,1.033
1832,1.009
1833,1.302
1834,1.216
1835,0.923
1836,1.038
1837,1.002
1838,1.057
1839,0.874
1840,0.954
1841,0.939
1842,1.268
1843,1.001
1844,1.069
1845,0.996
1846,1.387
1847,1.116
1848,0.976
1849,1.1
1850,0.734
1851,0.883
1852,1.028
1853,0.875
1854,1.12
1855,0.81
1856,0.868
1857,1.135
1858,0.889
1859,1.179
1860,1.091
1861,1.385
1862,1.138
1863,0.939
1864,1.042
1865,0.855
1866,1.045
1867,0.966
1868,0.975
1869,1.129
1870,1.085
1871,1.018
1872,0.822
1873,1.079
1874,0.982
1875,0.802
1876,1.209
1877,1.088
1878,1.281
1879,1.071
1880,0.931
1881,0.949
1882,0.878
1883,0.732
1884,0.789
1885,0.868
1886,0.88
1887,0.942
1888,1.061
1889,0.855
1890,1.067
1891,0.837
1892,1.053
1893,0.872
1894,1.26
1895,0.83
1896,0.946
1897,0.691
1898,0.818
1899,0.678
1900,0.838
1901,1.382
1902,1.099
1903,0.765
1904,0.713
1905,0.751
1906,1.142
1907,0.971
1908,0.884
1909,0.954
1910,0.776
1911,0.677
1912,1.06
1913,1.232
1914,0.761
1915,0.881
1916,1.433
1917,0.982
1918,1.375
1919,1.026
1920,0.688
1921,0.966
1922,0.969
1923,0.983
1924,0.873
1925,0.773
1926,1.356
1927,1.128
1928,0.834
1929,1.002
1930,0.805
1931,0.993
1932,1.046
1933,1.018
1934,0.911
1935,0.906
1936,1.036
1937,1.191
1938,1.07
1939,1.253
1940,0.991
1941,1.096
1942,1.017
1943,0.965
1944,1.304
1945,1.196
1946,1.175
1947,1.163
1948,1.052
1949,0.895
1950,0.905
1951,0.988
1952,1.006
1953,1.211
1954,0.848
1955,1.131
1956,1.359
1957,1.221
1958,1.03
1959,1.067
1960,1.271
1961,1.405
1962,0.968
1963,0.844
1964,1.073
1965,1.117
1966,0.738
1967,0.712
1968,0.721
1969,1.401
1970,1.224
1971,1.005
1972,0.74
1973,0.986
1974,0.813
1975,0.915
1976,0.58
1977,1.116
1978,0.785
1979,1.033
1980,1.121
1981,1.084
1982,0.962
1983,0.726
1984,1.054
1985,0.833
1986,0.656
1987,0.954
1988,0.846
1989,1.172
1990,0.993
1991,1.53
1992,0.888
1993,0.756
1994,0.89
1995,1.224
