year,rwi
1862,5.57
1863,6.34
1864,6.06
1865,6.74
1866,6.49
1867,6.07
1868,5.82
1869,6.05
1870,5.4
1871,6.32
1872,6.59
1873,5.54
1874,4.1
1875,2.04
1876,1.83
1877,4.06
1878,5.42
1879,5.9
1880,4.6
1881,5.18
1882,2.145
1883,1.995
1884,1.565
1885,2.055
1886,2.265
1887,1.935
1888,1.805
1889,1.845
1890,2.203
1891,2.683
1892,1.976
1893,2.079
1894,1.514
1895,1.323
1896,1.665
1897,2.172
1898,2.049
1899,2.127
1900,2.805
1901,1.761
1902,2.156
1903,2.179
1904,1.965
1905,1.375
1906,0.751
1907,1.053
1908,1.087
1909,1.301
1910,1.396
1911,1.408
1912,1.819
1913,1.683
1914,1.609
1915,1.838
1916,1.53
1917,1.812
1918,1.357
1919,1.3
1920,1.95
1921,1.746
1922,1.182
1923,1.735
1924,1.992
1925,2.269
1926,2.736
1927,2.225
1928,1.866
1929,1.64
1930,2.27
1931,2.104
1932,1.946
1933,1.645
1934,1.781
1935,1.826
1936,2.397
1937,2.087
1938,2.147
1939,1.98
1940,2.456
1941,2.034
1942,1.444
1943,1.415
1944,1.518
1945,1.173
1946,1.015
1947,1.427
1948,1.429
1949,1.203
1950,1.454
1951,1.731
1952,1.44
1953,1.729
1954,1.358
1955,2.023
1956,2.117
1957,1.859
1958,1.753
1959,1.872
1960,1.961
1961,2.326
1962,2.329
1963,2.007
1964,1.515
1965,1.476
1966,1.725
1967,1.805
1968,1.356
1969,1.262
1970,1.364
1971,1.654
1972,1.576
1973,1.307
1974,1.029
1975,1.001
1976,1.046
1977,0.944
1978,1.231
1979,0.904
1980,0.991
1981,0.944
1982,1.039
1983,1.134
1984,1.039
1985,0.736
1986,0.655
1987,1.102
1988,1.336
1989,1.44
1990,0.939
1991,0.81
1992,1.029
1993,1.407
1994,1.112
1995,1.209
1996,0.937
1997,0.961
1998,1.216
1999,1.144
2000,0.926
2001,0.796
2002,0.851
2003,0.975
2004,1.028
2005,0.794
2006,0.744
2007,0.701
2008,0.812
2009,0.844
2010,0.72
