year,rwi
1569,0.985
1570,1.049
1571,0.78
1572,0.749
1573,0.805
1574,0.774
1575,0.987
1576,1.063
1577,1.094
1578,1.259
1579,1.649
1580,1.344
1581,1.206
1582,1.493
1583,1.437
1584,1.307
1585,1.075
1586,1.339
1587,1.337
1588,1.223
1589,1.088
1590,1
1591,1.033
1592,0.877
1593,0.422
1594,0.906
1595,0.94
1596,0.984
1597,1.273
1598,0.827
1599,1.356
1600,0.956
1601,1.011
1602,1.218
1603,0.749
1604,0.743
1605,0.901
1606,1.215
1607,1.304
1608,1.27
1609,1.696
1610,1.285
1611,1.366
1612,1.225
1613,1.457
1614,0.916
1615,1.019
1616,1.439
1617,1.48
1618,1.466
1619,1.209
1620,0.736
1621,1.279
1622,1.117
1623,0.658
1624,1.027
1625,1.252
1626,1.039
1627,1.173
1628,0.958
1629,0.764
1630,0.993
1631,0.832
1632,0.897
1633,1.118
1634,1.076
1635,1.18
1636,0.832
1637,0.504
1638,0.606
1639,0.535
1640,0.638
1641,0.83
1642,0.746
1643,0.445
1644,0.537
1645,0.591
1646,0.684
1647,1.116
1648,0.548
1649,0.538
1650,0.593
1651,0.305
1652,0.453
1653,0.83
1654,0.43
1655,0.635
1656,0.787
1657,0.845
1658,0.918
1659,0.564
1660,0.525
1661,0.763
1662,0.683
1663,0.812
1664,0.857
1665,0.607
1666,0.468
1667,0.74
1668,0.4
1669,0.573
1670,0.777
1671,0.679
1672,0.666
1673,0.814
1674,1.036
1675,0.937
1676,0.91
1677,1.252
1678,0.665
1679,0.652
1680,0.773
1681,0.641
1682,1.315
1683,0.689
1684,0.796
1685,1.039
1686,1.193
1687,0.939
1688,0.895
1689,1.669
1690,1.608
1691,0.908
1692,0.953
1693,1.239
1694,0.786
1695,1.141
1696,1.323
1697,1.128
1698,1.038
1699,0.847
1700,0.99
1701,1.036
1702,1.214
1703,0.967
1704,1
1705,1.204
1706,1.399
1707,1.339
1708,1.38
1709,0.695
1710,0.754
1711,0.928
1712,1.055
1713,0.985
1714,1.156
1715,1.652
1716,0.697
1717,0.982
1718,0.868
1719,0.964
1720,0.632
1721,0.933
1722,0.996
1723,0.901
1724,1.555
1725,0.703
1726,0.604
1727,1.157
1728,1.11
1729,0.973
1730,0.91
1731,0.853
1732,0.894
1733,0.767
1734,0.958
1735,0.904
1736,1.02
1737,0.701
1738,0.723
1739,0.911
1740,1.062
1741,0.883
1742,0.712
1743,0.702
1744,0.783
1745,0.232
1746,0.625
1747,0.935
1748,0.816
1749,0.845
1750,1.064
1751,0.995
1752,0.92
1753,1.173
1754,1.127
1755,1.383
1756,0.822
1757,0.598
1758,1.194
1759,1.32
1760,1.034
1761,1.109
1762,1.318
1763,1.214
1764,0.965
1765,0.913
1766,0.882
1767,0.96
1768,1.107
1769,1.058
1770,0.88
1771,1.042
1772,0.914
1773,0.798
1774,0.833
1775,0.882
1776,1.167
1777,1.267
1778,1.064
1779,1.12
1780,1.073
1781,0.745
1782,0.779
1783,0.554
1784,0.705
1785,0.872
1786,0.874
1787,0.888
1788,0.92
1789,1.097
1790,1.027
1791,0.94
1792,0.982
1793,1.06
1794,1.167
1795,1.118
1796,0.936
1797,0.89
1798,1.195
1799,1.02
1800,0.97
1801,0.886
1802,0.935
1803,0.975
1804,1.086
1805,1.132
1806,1.164
1807,1.083
1808,0.894
1809,1.003
