year,rwi
1650,1.485
1651,1.381
1652,1.179
1653,1.193
1654,1.061
1655,1.286
1656,1.189
1657,1.104
1658,1.182
1659,0.839
1660,0.904
1661,0.749
1662,0.944
1663,0.813
1664,0.774
1665,0.813
1666,0.759
1667,0.745
1668,0.662
1669,0.84
1670,0.563
1671,0.785
1672,0.841
1673,0.983
1674,0.941
1675,0.754
1676,0.855
1677,0.973
1678,0.989
1679,1.019
1680,0.886
1681,0.841
1682,1.1
1683,0.948
1684,0.702
1685,0.577
1686,0.857
1687,0.857
1688,0.873
1689,0.858
1690,0.987
1691,1.004
1692,0.94
1693,0.858
1694,0.975
1695,1.031
1696,0.892
1697,0.986
1698,0.942
1699,0.759
1700,1.072
1701,1.032
1702,1.096
1703,1.215
1704,0.979
1705,1.128
1706,1.557
1707,1.246
1708,1.34
1709,1.368
1710,1.105
1711,1.426
1712,1.224
1713,1.382
1714,1.543
1715,1.01
1716,1.115
1717,1.239
1718,1.115
1719,1.175
1720,1.115
1721,0.975
1722,1.002
1723,0.835
1724,0.937
1725,0.775
1726,0.895
1727,0.786
1728,0.745
1729,1.111
1730,0.901
1731,0.822
1732,0.855
1733,1.056
1734,0.918
1735,0.676
1736,0.76
1737,0.567
1738,0.654
1739,1.16
1740,1.148
1741,1.369
1742,1.077
1743,1.386
1744,1.396
1745,1.178
1746,1.06
1747,1.042
1748,0.956
1749,0.911
1750,1.048
1751,0.915
1752,0.944
1753,1.301
1754,1.267
1755,1.196
1756,1.002
1757,0.903
1758,1.082
1759,1.176
1760,0.995
1761,1.219
1762,0.876
1763,0.901
1764,0.897
1765,0.807
1766,0.885
1767,0.712
1768,0.825
1769,0.844
1770,0.908
1771,0.846
1772,0.551
1773,0.651
1774,0.967
1775,1.072
1776,1.078
1777,0.999
1778,0.976
1779,1.214
1780,0.939
1781,0.896
1782,0.796
1783,1.037
1784,1.02
1785,0.804
1786,0.951
1787,1.191
1788,1.118
1789,1.002
1790,1.044
1791,1.119
1792,0.815
1793,1.043
1794,0.903
1795,1.034
1796,1.121
1797,0.995
1798,0.9
1799,0.807
1800,0.929
1801,0.455
1802,1.278
1803,1.045
1804,1.079
1805,1.087
1806,1.278
1807,0.943
1808,0.929
1809,0.929
1810,1.083
1811,1.21
1812,0.627
1813,0.934
1814,0.943
1815,0.691
1816,0.979
1817,1.333
1818,0.945
1819,1.126
1820,0.921
1821,1.056
1822,0.941
1823,0.757
1824,0.788
1825,0.792
1826,1.474
1827,0.964
1828,1.041
1829,1.204
1830,0.921
1831,0.913
1832,1.01
1833,1.288
1834,1.344
1835,1.184
1836,1.617
1837,1.306
1838,0.749
1839,0.671
1840,0.965
1841,0.719
1842,0.673
1843,0.844
1844,1.079
1845,0.917
1846,0.919
1847,0.727
1848,1.034
1849,1.129
1850,1
1851,0.841
1852,1.023
1853,0.859
1854,0.888
1855,0.504
1856,0.553
1857,1.213
1858,0.954
1859,0.763
1860,0.744
1861,0.795
1862,0.615
1863,0.486
1864,0.988
1865,1.14
1866,1.397
1867,1.226
1868,0.933
1869,1.646
1870,1.502
1871,1.166
1872,1.141
1873,1.242
1874,0.882
1875,1.022
1876,1.185
1877,1.237
1878,1.186
1879,0.801
1880,1.335
1881,1.261
1882,1.129
1883,1.215
1884,0.945
1885,1.059
1886,0.92
1887,0.974
1888,1.094
1889,0.998
1890,1.097
1891,1.046
1892,1.004
1893,1.131
1894,0.743
1895,0.919
1896,0.987
1897,0.793
1898,0.904
1899,1.044
1900,0.844
1901,0.94
1902,0.965
1903,0.915
1904,1.32
1905,1.006
1906,1.1
1907,0.939
1908,0.836
1909,0.811
1910,0.752
1911,0.589
1912,0.969
1913,0.832
1914,0.926
1915,1.359
1916,1.211
1917,0.828
1918,0.82
1919,1.151
1920,1.115
1921,1.468
1922,1.346
1923,1.025
1924,1.171
1925,0.901
1926,0.975
1927,1.067
1928,1.197
1929,1.243
1930,1.149
1931,0.786
1932,0.985
1933,0.966
1934,0.821
1935,1.434
1936,1.144
1937,1.183
1938,1.318
1939,1.358
1940,1.342
1941,1.196
1942,1.081
1943,0.99
1944,0.933
1945,0.759
1946,0.746
1947,0.743
1948,0.78
1949,0.953
1950,1.063
1951,1.091
1952,0.675
1953,0.511
1954,0.656
1955,0.963
1956,0.821
1957,1.208
1958,1.454
1959,1.376
1960,1.048
1961,0.989
1962,0.98
1963,0.993
1964,0.595
1965,1.24
1966,0.661
1967,0.762
1968,1.159
1969,1.114
1970,1.003
1971,0.907
1972,0.915
1973,1.205
1974,1.062
1975,1.208
1976,1.416
1977,0.907
1978,1.058
1979,0.952
1980,0.91
