year,rwi
1895,0.608
1896,0.638
1897,1.034
1898,0.986
1899,1.334
1900,0.832
1901,1.166
1902,1.223
1903,0.915
1904,0.948
1905,0.961
1906,0.985
1907,0.708
1908,0.771
1909,1.048
1910,0.872
1911,0.676
1912,0.908
1913,0.907
1914,0.993
1915,1.08
1916,0.806
1917,1.013
1918,1.008
1919,0.96
1920,1.223
1921,1.056
1922,0.821
1923,0.883
1924,0.842
1925,1.027
1926,0.96
1927,1.093
1928,1.056
1929,0.868
1930,1.053
1931,0.934
1932,1.195
1933,1.064
1934,0.912
1935,1.062
1936,1.108
1937,1.157
1938,1.24
1939,1.194
1940,1.025
1941,0.984
1942,0.887
1943,0.868
1944,0.686
1945,1.028
1946,1.044
1947,1.157
1948,1.086
1949,0.887
1950,1
1951,0.935
1952,1.003
1953,0.776
1954,1.029
1955,1.106
1956,0.754
1957,1.129
1958,1.181
1959,0.889
1960,1.132
1961,0.915
1962,1.026
1963,0.922
1964,1.261
1965,0.934
1966,1.026
1967,0.966
1968,0.983
1969,1.026
1970,0.844
1971,1.149
1972,0.927
1973,1.045
1974,0.335
1975,0.376
1976,0.912
1977,1.091
1978,0.896
1979,0.964
1980,1.35
1981,1.434
1982,1.053
1983,1.032
1984,0.878
1985,0.712
1986,0.422
1987,0.915
1988,1.051
1989,1.273
1990,1.309
1991,1.045
1992,0.58
1993,0.963
1994,0.861
1995,0.909
1996,1.247
1997,1.355
1998,0.967
1999,0.995
2000,1.234
2001,0.938
2002,0.97
2003,1.014
2004,0.931
2005,0.812
2006,0.799
