year,rwi
1548,0.919
1549,0.939
1550,1.279
1551,1.24
1552,1.46
1553,1.283
1554,1.322
1555,1.201
1556,1.085
1557,1.04
1558,1.07
1559,0.946
1560,1.154
1561,1.042
1562,1.192
1563,0.673
1564,0.821
1565,0.707
1566,1.283
1567,1.052
1568,1.188
1569,1.283
1570,0.836
1571,1.091
1572,1.069
1573,0.861
1574,1.162
1575,0.74
1576,1.115
1577,0.768
1578,1.055
1579,0.908
1580,1.234
1581,0.696
1582,0.902
1583,0.556
1584,0.925
1585,0.699
1586,0.838
1587,0.606
1588,0.771
1589,0.903
1590,0.663
1591,0.74
1592,0.762
1593,0.461
1594,0.527
1595,0.4
1596,0.675
1597,0.832
1598,0.615
1599,0.916
1600,0.565
1601,1.04
1602,0.525
1603,0.759
1604,0.618
1605,1.212
1606,0.963
1607,1.253
1608,1.014
1609,0.739
1610,0.748
1611,0.917
1612,0.809
1613,0.684
1614,0.826
1615,0.394
1616,0.506
1617,0.464
1618,0.783
1619,0.521
1620,0.304
1621,0.565
1622,0.603
1623,1.154
1624,0.815
1625,1.228
1626,0.39
1627,0.771
1628,0.536
1629,0.699
1630,0.558
1631,1.324
1632,0.752
1633,0.902
1634,0.92
1635,0.754
1636,1.343
1637,0.527
1638,0.972
1639,0.698
1640,0.893
1641,1.061
1642,0.58
1643,1.036
1644,0.75
1645,1.179
1646,1.128
1647,0.797
1648,1.222
1649,1.267
1650,1.171
1651,1.012
1652,1.565
1653,1.198
1654,1.101
1655,1.194
1656,1.32
1657,0.911
1658,1.356
1659,0.988
1660,1.341
1661,1.187
1662,1.37
1663,0.995
1664,1.804
1665,0.83
1666,1.255
1667,1.133
1668,0.725
1669,1.838
1670,0.654
1671,1.335
1672,1.164
1673,1.584
1674,1.088
1675,1.658
1676,1.578
1677,1.365
1678,1.198
1679,2.177
1680,1.275
1681,1.64
1682,1.485
1683,2.322
1684,1.406
1685,1.64
1686,1.385
1687,1.652
1688,1.39
1689,1.835
1690,1.251
1691,1.624
1692,1.554
1693,2.202
1694,0.987
1695,1.262
1696,1.057
1697,2.123
1698,0.753
1699,0.932
1700,0.652
1701,0.871
1702,1.277
1703,0.852
1704,0.972
1705,1.227
1706,1.213
1707,1.074
1708,1.439
1709,1.085
1710,2.013
1711,0.949
1712,1.039
1713,0.905
1714,1.086
1715,1.804
1716,1.034
1717,2.287
1718,1.013
1719,1.097
1720,0.992
1721,1.281
1722,0.955
1723,1.684
1724,1.034
1725,1.532
1726,0.795
1727,1.241
1728,0.681
1729,0.818
1730,0.56
1731,0.891
1732,0.536
1733,0.92
1734,0.807
1735,0.592
1736,1.101
1737,0.535
1738,0.846
1739,0.484
1740,0.885
1741,0.699
1742,0.75
1743,0.484
1744,0.82
1745,0.611
1746,1.019
1747,0.884
1748,1.296
1749,1.119
1750,1.309
1751,1.505
1752,1.123
1753,0.987
1754,0.745
1755,1.151
1756,0.737
1757,0.945
1758,0.759
1759,0.865
1760,1.182
1761,0.844
1762,1.272
1763,0.701
1764,0.922
1765,0.687
1766,0.74
1767,0.631
1768,0.769
1769,0.87
1770,0.7
1771,0.554
1772,0.653
1773,0.568
1774,1.082
1775,0.915
1776,0.982
1777,1.022
1778,1.069
1779,1.209
1780,0.843
1781,0.826
1782,1.055
1783,0.636
1784,0.695
1785,0.915
1786,1.313
1787,1.296
1788,1.081
1789,1.434
1790,0.971
1791,1.241
1792,0.806
1793,0.966
1794,0.992
1795,1.033
1796,0.803
1797,0.814
1798,1.579
1799,1.663
1800,1.781
1801,1.648
1802,1.837
1803,1.416
1804,1.96
1805,1.282
1806,1.784
1807,1.548
1808,1.082
1809,1.473
1810,1.589
1811,1.028
1812,0.87
1813,1.113
1814,0.693
1815,1.032
1816,0.598
1817,1.649
1818,1.274
1819,1.456
1820,1.835
1821,1.296
1822,1.305
1823,0.762
1824,0.832
1825,0.57
1826,0.661
1827,0.904
1828,0.79
1829,0.993
1830,1.035
1831,1.396
1832,0.801
1833,0.79
1834,0.661
1835,0.643
1836,0.515
1837,1.059
1838,0.771
1839,1.1
1840,0.581
1841,0.735
1842,0.987
1843,0.856
1844,1.152
1845,0.838
1846,1.156
1847,0.618
1848,0.983
1849,1.127
1850,0.603
1851,0.844
1852,0.817
1853,0.938
1854,0.83
1855,0.952
1856,1.079
1857,1.056
1858,0.725
1859,0.859
1860,0.619
1861,1.08
1862,1.36
1863,0.67
1864,0.999
1865,0.916
1866,0.646
1867,0.916
1868,1.243
1869,1.002
1870,1
1871,1.006
1872,0.67
1873,0.934
1874,0.988
1875,1.041
1876,0.822
1877,1.045
1878,0.729
1879,1.153
1880,0.61
1881,1.075
1882,0.768
1883,1.086
1884,1.099
1885,0.836
1886,1.162
1887,1.026
1888,1.669
1889,1.013
1890,0.849
1891,1.068
