year,rwi
1745,0.976
1746,1.142
1747,1.263
1748,1.048
1749,1.027
1750,1.703
1751,1.569
1752,2.021
1753,1.525
1754,1.611
1755,0.684
1756,1.262
1757,1.22
1758,1.105
1759,1.169
1760,1.104
1761,0.84
1762,0.764
1763,0.672
1764,0.683
1765,0.799
1766,1.059
1767,1.072
1768,1.122
1769,0.914
1770,0.834
1771,1.2
1772,1.073
1773,1.008
1774,0.794
1775,0.793
1776,0.802
1777,0.836
1778,0.894
1779,0.721
1780,0.749
1781,0.792
1782,0.958
1783,1.204
1784,1.169
1785,0.883
1786,0.86
1787,0.909
1788,0.859
1789,0.92
1790,0.803
1791,0.896
1792,0.753
1793,0.825
1794,0.974
1795,0.864
1796,1.105
1797,0.998
1798,1.052
1799,1.132
1800,1.08
1801,1.138
1802,1.138
1803,1.184
1804,1.078
1805,1.023
1806,1.029
1807,1.258
1808,1.097
1809,1.092
1810,1.053
1811,1.062
1812,0.951
1813,0.807
1814,0.836
1815,0.758
1816,0.771
1817,0.895
1818,0.862
1819,0.846
1820,0.858
1821,0.677
1822,0.861
1823,0.997
1824,1.078
1825,1.039
1826,1.066
1827,1.069
1828,1.158
1829,1.079
1830,0.963
1831,0.898
1832,0.904
1833,1.021
1834,1.218
1835,1.137
1836,0.942
1837,0.829
1838,0.701
1839,1.052
1840,0.94
1841,0.999
1842,1.24
1843,0.925
1844,1.065
1845,1.061
1846,1.387
1847,1.178
1848,1.131
1849,1.047
1850,0.931
1851,0.865
1852,1.016
1853,1.016
1854,0.887
1855,1.109
1856,1.067
1857,1.024
1858,0.872
1859,0.899
1860,0.743
1861,0.915
1862,0.789
1863,1.041
1864,0.809
1865,0.898
1866,1.006
1867,1.153
1868,1.038
1869,0.96
1870,1.012
1871,0.916
1872,0.744
1873,0.975
1874,1.06
1875,1.049
1876,0.912
1877,0.957
1878,0.871
1879,0.837
1880,1.068
1881,1.354
1882,1.155
1883,1.118
1884,1.125
1885,1.233
1886,1.051
1887,1.131
1888,0.946
1889,1.14
1890,0.798
1891,0.859
1892,0.964
1893,1
1894,1.086
1895,1.127
1896,1.047
1897,1.135
1898,0.88
1899,0.953
1900,1.035
1901,1.082
1902,0.991
1903,0.906
1904,1.102
1905,0.952
1906,0.79
1907,0.738
1908,1.012
1909,0.712
1910,0.869
1911,0.957
1912,0.784
1913,0.707
1914,0.902
1915,0.998
1916,0.886
1917,1.223
1918,0.835
1919,1.14
1920,1.114
1921,1.522
1922,1.252
1923,1.183
1924,1.113
1925,0.962
1926,0.771
1927,1.133
1928,1.138
1929,0.985
1930,0.978
1931,1.103
1932,1.031
1933,0.715
1934,0.731
1935,0.878
1936,0.867
1937,1.041
1938,0.939
1939,0.953
1940,0.869
1941,1.078
1942,1.013
1943,0.957
1944,1.028
1945,1.097
1946,1.051
1947,1.123
1948,0.71
1949,0.937
1950,1.009
1951,0.949
1952,1.067
1953,0.933
1954,0.721
1955,1.022
1956,0.95
1957,1.034
1958,1.149
1959,1.114
1960,1.082
1961,1.069
1962,1.056
1963,1.052
1964,0.966
1965,0.775
1966,1.009
1967,1.045
1968,0.99
1969,1.005
1970,0.949
1971,0.907
1972,1.024
1973,1.236
1974,0.935
1975,1.058
