year,rwi
1660,0.516
1661,0.713
1662,0.933
1663,1.141
1664,0.874
1665,1.41
1666,1.134
1667,0.66
1668,0.483
1669,0.356
1670,0.124
1671,0.551
1672,0.391
1673,0.683
1674,0.433
1675,0.969
1676,0.907
1677,1.612
1678,0.808
1679,0.707
1680,0.968
1681,0.716
1682,0.753
1683,1.159
1684,1.433
1685,0.991
1686,1.4
1687,1.169
1688,1.18
1689,1.062
1690,1.876
1691,1.741
1692,1.544
1693,2.287
1694,1.466
1695,1.543
1696,0.725
1697,1.242
1698,1.75
1699,1.804
1700,2.074
1701,1.708
1702,1.371
1703,1.07
1704,0.784
1705,1.279
1706,1.351
1707,0.409
1708,0.517
1709,0.503
1710,0.992
1711,0.956
1712,1.115
1713,1.225
1714,1.637
1715,1.203
1716,0.774
1717,1.171
1718,1.095
1719,0.927
1720,1.082
1721,1.169
1722,0.938
1723,1.287
1724,0.727
1725,0.799
1726,1.448
1727,1.01
1728,0.919
1729,0.962
1730,1.021
1731,0.528
1732,0.73
1733,0.212
1734,0.923
1735,0.357
1736,0.39
1737,0.701
1738,0.998
1739,0.734
1740,0.623
1741,0.974
1742,0.975
1743,1.215
1744,1.349
1745,1.372
1746,1.648
1747,1.727
1748,0.203
1749,1.169
1750,1.154
1751,1.571
1752,0.553
1753,0.526
1754,1.232
1755,0.851
1756,0.457
1757,0.44
1758,0.806
1759,0.905
1760,0.632
1761,0.322
1762,0.971
1763,0.945
1764,1.265
1765,1.147
1766,1.472
1767,0.935
1768,1.209
1769,0.821
1770,0.921
1771,1.238
1772,0.892
1773,0
1774,0.209
1775,0.457
1776,0.459
1777,0.47
1778,1
1779,0.788
1780,0.644
1781,0.875
1782,0.44
1783,1.168
1784,1.936
1785,1.372
1786,1.144
1787,1.693
1788,0.691
1789,0.912
1790,1.29
1791,1.299
1792,1.455
1793,2.204
1794,0.685
1795,1.135
1796,1.392
1797,1.096
1798,0.916
1799,1.896
1800,1.857
1801,1.11
1802,1.277
1803,0.589
1804,1.081
1805,0.995
1806,0.409
1807,0.724
1808,0.669
1809,1.109
1810,1.089
1811,1.168
1812,0.97
1813,0.587
1814,0.771
1815,1.377
1816,1.747
1817,1.093
1818,0.131
1819,0.219
1820,0.278
1821,0.805
1822,0.235
1823,0.556
1824,0.907
1825,0.971
1826,1.277
1827,1.004
1828,1.288
1829,1.16
1830,1.683
1831,1.387
1832,2.066
1833,1.938
1834,1.68
1835,1.955
1836,1.739
1837,1.514
1838,1.508
1839,2.22
1840,1.324
1841,0.617
1842,0.587
1843,0.908
1844,0.948
1845,0.572
1846,1.077
1847,0.009
1848,0.669
1849,0.599
1850,0.746
1851,0.49
1852,1.126
1853,0.771
1854,0.661
1855,0.962
1856,0.995
1857,1.252
1858,1.447
1859,0.772
1860,1.145
1861,0.583
1862,0.82
1863,0.192
1864,0.078
1865,0.657
1866,1.328
1867,1.215
1868,1.795
1869,1.367
1870,1.27
1871,0.636
1872,0.786
1873,0.628
1874,0.664
1875,1.154
1876,0.698
1877,1.011
1878,0.902
1879,0.53
1880,0.694
1881,0.503
1882,0.926
1883,0.748
1884,0.786
1885,1.217
1886,1.179
1887,0.82
1888,0.795
1889,0.952
1890,0.776
1891,0.88
1892,0.678
1893,0.79
1894,0.287
1895,0.724
1896,0.913
1897,0.769
1898,1.524
1899,1.004
1900,0.249
1901,0.931
1902,0.172
1903,0.591
1904,0.004
1905,0.891
1906,0.997
1907,1.852
1908,2.405
1909,1.691
1910,1.061
1911,1.409
1912,1.794
1913,1.05
1914,1.763
1915,1.902
1916,2.012
1917,1.893
1918,1.285
1919,2.746
1920,1.79
1921,0.538
1922,0.555
1923,0.53
1924,1.104
1925,0.29
1926,1.555
1927,1.407
1928,1.315
1929,1.211
1930,1.476
1931,1.358
1932,1.814
1933,1.848
1934,0.776
1935,1.649
1936,1.376
1937,1.249
1938,1.48
1939,1.106
1940,1.159
1941,1.876
1942,1.134
1943,1.035
1944,0.937
1945,0.984
1946,0.402
1947,0.36
1948,0.588
1949,0.844
1950,0.252
1951,0.371
1952,0.922
1953,0.447
1954,0.65
1955,0.201
1956,0.166
1957,0.836
1958,0.783
1959,0.526
1960,0.767
1961,0.547
1962,0.74
1963,1.048
1964,0.67
1965,1.092
1966,1.045
1967,0.759
1968,1.31
1969,0.586
1970,0.915
1971,0.03
1972,0.652
1973,0.741
1974,0.051
1975,0.979
1976,0.947
1977,0.643
1978,0.927
1979,1.38
1980,1.247
1981,0.977
1982,1.301
1983,1.456
1984,1.042
1985,1.487
1986,1.329
1987,1.75
