year,rwi
919,1.65
920,1.13
921,1.55
922,1.55
923,1.31
924,1.36
925,0.79
926,0.93
927,1.86
928,1.72
929,1.79
930,0.95
931,0.87
932,1.34
933,0.82
934,0.81
935,1.12
936,1.04
937,0.78
938,1.1
939,0.93
940,0.69
941,0.68
942,0.86
943,0.54
944,0.52
945,0.45
946,0.56
947,0.67
948,0.83
949,1.48
950,1.74
951,1.2
952,1.07
953,0.96
954,0.88
955,0.82
956,1
957,1.25
958,1.03
959,1.01
960,0.94
961,0.75
962,0.74
963,0.81
964,0.64
965,0.74
966,0.79
967,0.74
968,0.78
969,0.73
970,0.64
971,0.6
972,0.59
973,0.5
974,0.63
975,0.88
976,0.87
977,0.95
978,0.83
979,0.93
980,0.87
981,0.83
982,1.14
983,0.99
984,0.88
985,1.09
986,0.99
987,1.4
988,0.91
989,1.05
990,0.78
991,1.06
992,1.03
993,1.34
994,1.61
995,1.82
996,1.96
997,1.82
998,1.74
999,2.31
1000,1.62
1001,1.46
1002,1.51
1003,1.29
1004,1.11
1005,1.28
1006,1.39
1007,1.72
1008,1.6
1009,1.66
1010,1.61
1011,1.5
1012,1.34
1013,1.52
1014,1.33
1015,1.65
1016,1.75
1017,1.72
1018,1.25
1019,1.5
1020,1.39
1021,1.6
1022,1.55
1023,1.37
1024,1.4
1025,1.6
1026,1.57
1027,1.58
1028,1.58
1029,1.23
1030,1.33
1031,1.35
1032,1.31
1033,1.34
1034,1.3
1035,1.57
1036,1.43
1037,1.56
1038,1.34
1039,1.03
1040,1.12
1041,1.43
1042,1.1
1043,1.13
1044,1.07
1045,1.03
1046,1.22
1047,1.3
1048,1.2
1049,1.27
1050,1.75
1051,1.6
1052,1.5
1053,1.55
1054,1.58
1055,1.92
1056,1.58
1057,1.37
1058,1.4
1059,1.37
1060,1.58
1061,1.36
1062,1.28
1063,1.52
1064,1.36
1065,1.68
1066,1.91
1067,1.96
1068,1.77
1069,1.35
1070,1.19
1071,1.17
1072,1.13
1073,1.5
1074,1.29
1075,1.64
1076,1.7
1077,1.59
1078,1.45
1079,1.51
1080,1.49
1081,1.36
1082,1.44
1083,1.52
1084,1.21
1085,1.55
1086,1.53
1087,1.42
1088,1.49
1089,1.79
1090,1.64
1091,1.85
1092,1.79
1093,1.75
1094,1.71
1095,1.73
1096,1.66
1097,1.66
1098,1.53
1099,1.51
1100,1.54
1101,1.35
1102,1.06
1103,1.1
1104,0.96
1105,1.01
1106,1.09
1107,1.05
1108,1.3
1109,1.22
1110,1.09
1111,1.04
1112,0.98
1113,1.13
1114,1.18
1115,1.12
1116,1.02
1117,1.23
1118,1.17
1119,1.09
1120,1.09
1121,1.04
1122,1.23
1123,1.46
1124,1.31
1125,1.07
1126,1.17
1127,1.23
1128,1.39
1129,1.23
1130,1.35
1131,1.2
1132,1.15
1133,1.07
1134,1.19
1135,1.35
1136,1.26
1137,1.04
1138,1.18
1139,1.24
