year,rwi
1735,1.7
1736,1.17
1737,1.26
1738,1.77
1739,1.17
1740,0.94
1741,1.05
1742,0.88
1743,1.16
1744,1.91
1745,0.76
1746,0.76
1747,0.38
1748,0.38
1749,0.77
1750,0.66
1751,0.755
1752,0.645
1753,0.855
1754,0.74
1755,0.795
1756,0.69
1757,0.63
1758,0.878
1759,0.926
1760,1.123
1761,1.006
1762,0.73
1763,0.752
1764,0.805
1765,0.51
1766,0.493
1767,0.763
1768,0.577
1769,0.643
1770,0.526
1771,0.53
1772,0.441
1773,0.424
1774,0.399
1775,0.515
1776,0.681
1777,0.958
1778,0.641
1779,0.604
1780,0.618
1781,0.548
1782,0.366
1783,0.576
1784,0.689
1785,0.508
1786,0.585
1787,0.674
1788,0.608
1789,0.63
1790,0.601
1791,0.503
1792,0.525
1793,0.471
1794,0.396
1795,0.393
1796,0.348
1797,0.308
1798,0.401
1799,0.293
1800,0.337
1801,0.276
1802,0.353
1803,0.476
1804,0.512
1805,0.291
1806,0.327
1807,0.478
1808,0.565
1809,0.662
1810,0.843
1811,1.36
1812,1.105
1813,1.232
1814,0.84
1815,1.035
1816,1.055
1817,1.218
1818,1.001
1819,1.201
1820,1.12
1821,0.967
1822,0.916
1823,1.053
1824,1.11
1825,1.218
1826,1.041
1827,1.419
1828,1.586
1829,1.566
1830,1.807
1831,1.396
1832,1.49
1833,1.392
1834,1.352
1835,1.588
1836,1.423
1837,1.291
1838,1.304
1839,1.273
1840,1.485
1841,1.565
1842,1.565
1843,1.647
1844,1.372
1845,1.574
1846,1.506
1847,1.478
1848,1.676
1849,1.72
1850,1.935
1851,1.653
1852,1.5
1853,1.187
1854,1.741
1855,1.555
1856,1.507
1857,1.83
1858,1.974
1859,1.651
1860,1.607
1861,1.409
1862,1.473
1863,1.608
1864,1.473
1865,1.423
1866,1.198
1867,1.162
1868,1.457
1869,1.449
1870,1.602
1871,1.305
1872,1.301
1873,1.178
1874,1.504
1875,1.537
1876,1.357
1877,1.159
1878,1.192
1879,1.096
1880,1.609
1881,1.041
1882,1.211
1883,1.082
1884,1.226
1885,1.023
1886,0.965
1887,1.057
1888,1.017
1889,0.934
1890,1.159
1891,1.149
1892,1.139
1893,1.179
1894,1.071
1895,0.94
1896,1.109
1897,1.176
1898,1.308
1899,1.055
1900,1.033
1901,1.054
1902,0.942
1903,1.07
1904,1.229
1905,1.167
1906,1.157
1907,1.244
1908,1.096
1909,0.983
1910,1.198
1911,1.268
1912,1.017
1913,1.118
1914,1.007
1915,0.979
1916,1.059
1917,1.003
1918,1.199
1919,1.246
1920,1.08
1921,1.182
1922,1.232
1923,1.167
1924,1.031
1925,1.1
1926,1.111
1927,1.038
1928,0.798
1929,0.873
1930,0.957
1931,0.977
1932,1.044
1933,1.093
1934,0.969
1935,1.202
1936,0.969
1937,0.904
1938,1.043
1939,0.897
1940,0.76
1941,0.804
1942,0.73
1943,0.958
1944,0.888
1945,0.806
1946,0.734
1947,0.832
1948,0.759
1949,1.008
1950,0.781
1951,0.762
1952,0.723
1953,0.784
1954,0.712
1955,0.754
1956,0.603
1957,0.654
1958,0.697
1959,0.738
1960,0.659
1961,0.496
1962,0.558
1963,0.641
1964,0.825
1965,0.775
1966,0.707
1967,0.866
1968,0.727
1969,0.629
1970,0.577
1971,0.665
1972,0.644
1973,0.583
1974,0.508
1975,0.616
1976,0.57
