year,rwi
1400,0.223
1401,0.215
1402,0.3
1403,0.293
1404,0.304
1405,0.324
1406,0.394
1407,0.261
1408,0.306
1409,0.361
1410,0.273
1411,0.344
1412,0.32
1413,0.31
1414,0.238
1415,0.281
1416,0.329
1417,0.36
1418,0.346
1419,0.382
1420,0.38
1421,0.337
1422,0.371
1423,0.433
1424,0.403
1425,0.274
1426,0.161
1427,0.278
1428,0.44
1429,0.381
1430,0.347
1431,0.197
1432,0.336
1433,0.269
1434,0.168
1435,0.362
1436,0.312
1437,0.286
1438,0.141
1439,0.268
1440,0.293
1441,0.233
1442,0.122
1443,0.245
1444,0.262
1445,0.232
1446,0.213
1447,0.246
1448,0.201
1449,0.288
1450,0.074
1451,0.246
1452,0.206
1453,0.293
1454,0.254
1455,0.3
1456,0.127
1457,0.229
1458,0.213
1459,0.196
1460,0.185
1461,0.222
1462,0.203
1463,0.311
1464,0.256
1465,0.272
1466,0.254
1467,0.293
1468,0.106
1469,0.29
1470,0.323
1471,0.281
1472,0.31
1473,0.246
1474,0.219
1475,0.109
1476,0.313
1477,0.288
1478,0.312
1479,0.268
1480,0.308
1481,0.392
1482,0.272
1483,0.346
1484,0.476
1485,0.427
1486,0.363
1487,0.525
1488,0.537
1489,0.532
1490,0.559
1491,0.45
1492,0.265
1493,0.439
1494,0.592
1495,0.375
1496,0.357
1497,0.138
1498,0.283
1499,0.379
1500,0.173
1501,0.412
1502,0.423
1503,0.442
1504,0.38
1505,0.27
1506,0.239
1507,0.356
1508,0.263
1509,0.399
1510,0.459
1511,0.389
1512,0.303
1513,0.311
1514,0.367
1515,0.156
1516,0.438
1517,0.456
1518,0.335
1519,0.51
1520,0.506
1521,0.388
1522,0.324
1523,0.158
1524,0.418
1525,0.41
1526,0.417
1527,0.535
1528,0.346
1529,0.341
1530,0.387
1531,0.301
1532,0.195
1533,0.168
1534,0.363
1535,0.417
1536,0.342
1537,0.421
1538,0.308
1539,0.511
1540,0.451
1541,0.318
1542,0.202
1543,0.397
1544,0.355
1545,0.281
1546,0.384
1547,0.268
1548,0.297
1549,0.377
1550,0.406
1551,0.367
1552,0.388
1553,0.453
1554,0.469
1555,0.501
1556,0.453
1557,0.514
1558,0.362
1559,0.474
1560,0.418
1561,0.471
1562,0.489
1563,0.393
1564,0.446
1565,0.42
1566,0.379
1567,0.516
