year,rwi
1600,0.514
1601,0.255
1602,0.755
1603,0.816
1604,0.702
1605,0.599
1606,0.801
1607,0.9
1608,1.095
1609,1.011
1610,0.826
1611,1.019
1612,0.94
1613,1.009
1614,0.974
1615,0.957
1616,0.924
1617,0.918
1618,0.943
1619,0.888
1620,0.807
1621,0.917
1622,0.952
1623,0.651
1624,0.825
1625,0.699
1626,0.76
1627,0.733
1628,0.903
1629,0.827
1630,0.896
1631,0.947
1632,1.058
1633,1.081
1634,0.865
1635,0.935
1636,0.994
1637,0.943
1638,1.015
1639,0.941
1640,1.056
1641,1.01
1642,0.954
1643,0.923
1644,0.832
1645,1.074
1646,1.104
1647,1.085
1648,1.054
1649,0.963
1650,0.979
1651,0.879
1652,0.913
1653,0.825
1654,0.997
1655,1.052
1656,1.109
1657,1.133
1658,1.019
1659,1.177
1660,1.068
1661,1.068
1662,1.17
1663,1.101
1664,1.034
1665,0.992
1666,0.835
1667,0.903
1668,1.062
1669,1.047
1670,1.077
1671,0.922
1672,1.127
1673,1.076
1674,1.234
1675,1.251
1676,1.126
1677,1.208
1678,1.194
1679,1.246
1680,1.357
1681,1.263
1682,1.086
1683,0.995
1684,0.961
1685,0.893
1686,0.805
1687,0.979
1688,0.997
1689,1.084
1690,1.124
1691,1.157
1692,1.065
1693,1.036
1694,0.765
1695,0.865
1696,0.826
1697,0.898
1698,0.981
1699,0.787
1700,1.086
1701,0.886
1702,0.982
1703,0.899
1704,0.845
1705,0.983
1706,1.021
1707,0.885
1708,0.957
1709,1.014
1710,1.26
1711,1.116
1712,1.059
1713,1.14
1714,1.08
1715,0.844
1716,0.951
1717,1.068
1718,1.045
1719,0.978
1720,0.789
1721,0.96
1722,0.995
1723,0.861
1724,0.956
1725,0.974
1726,1.096
1727,1.161
1728,1.034
1729,1.096
1730,1.15
1731,0.945
1732,1.01
1733,1.055
1734,1.206
1735,0.958
1736,0.987
1737,0.853
1738,0.994
1739,1.049
1740,1.078
1741,1.148
1742,1.025
1743,1.016
1744,1.004
1745,0.973
1746,0.739
1747,1.163
1748,1.029
1749,1.092
1750,1.191
1751,1.058
1752,1.142
1753,1.103
1754,1.12
1755,0.95
1756,1.249
1757,1.203
1758,1.329
1759,1.09
1760,1.16
1761,1.227
1762,0.931
1763,1.128
1764,1.025
1765,1.007
1766,1.062
1767,1.141
1768,1.277
1769,1.145
1770,1.312
1771,1.227
1772,1.085
1773,1.25
1774,1.183
1775,1.097
1776,1.237
1777,1.213
1778,1.11
1779,0.85
1780,0.959
1781,0.991
1782,0.925
1783,1.031
1784,0.908
1785,0.841
1786,0.954
1787,0.895
1788,1.104
1789,1.068
1790,1.042
1791,0.943
1792,1.143
1793,1.026
1794,1.156
1795,1.236
1796,1.223
1797,1.06
1798,1.313
1799,0.864
1800,1.209
1801,1.192
1802,1.062
1803,1.275
1804,1.185
1805,1.073
1806,1.231
1807,1.025
1808,1.094
1809,0.963
1810,0.983
1811,1.037
1812,0.978
1813,1.035
1814,0.924
1815,0.953
1816,1.058
1817,1.145
1818,0.975
1819,0.949
1820,1.029
1821,1.008
1822,0.929
1823,1.007
1824,0.849
1825,1.01
1826,1.018
1827,0.906
1828,1.079
1829,1.176
1830,1.244
1831,1.09
1832,0.912
1833,0.949
1834,1.013
1835,1.093
1836,0.781
1837,0.887
1838,0.909
1839,1.317
1840,1.071
1841,0.978
1842,0.956
1843,0.981
1844,0.814
1845,1.034
1846,0.888
1847,0.92
1848,1.062
1849,0.955
1850,1.029
1851,0.956
1852,1.003
1853,0.788
1854,0.821
1855,0.993
1856,0.872
1857,1.026
1858,0.933
1859,1.051
1860,0.81
1861,0.994
1862,1.171
1863,1.196
1864,0.867
1865,1.025
1866,1.066
1867,0.914
1868,1.154
1869,1.036
1870,0.897
1871,0.994
1872,0.944
1873,0.824
1874,0.908
1875,0.967
1876,0.842
1877,0.89
1878,0.886
1879,0.909
1880,1.031
1881,0.926
1882,1.083
1883,0.901
1884,0.934
1885,0.93
1886,1.022
1887,0.848
1888,0.848
1889,0.695
1890,0.825
1891,0.945
1892,0.892
1893,0.768
1894,0.963
1895,0.93
1896,0.986
1897,1.062
1898,0.94
1899,0.843
1900,0.872
1901,0.907
1902,0.818
1903,0.917
1904,0.925
1905,0.924
1906,0.991
1907,0.918
1908,0.97
1909,1.031
1910,0.82
1911,0.968
1912,0.986
1913,1.03
1914,0.954
1915,0.829
1916,0.906
1917,0.977
1918,0.997
1919,0.894
1920,0.938
1921,0.81
1922,1.015
1923,0.888
1924,0.872
1925,0.994
1926,0.961
1927,0.952
1928,1.014
1929,0.885
1930,0.879
1931,0.902
1932,0.922
1933,1.131
1934,1.065
1935,1.267
1936,1.182
1937,1.06
1938,1.119
1939,0.807
1940,0.966
1941,1.014
1942,1.048
1943,1.116
1944,1.227
1945,1.149
1946,0.952
1947,0.962
1948,1.336
1949,0.951
1950,1.338
1951,0.923
1952,1.003
1953,1.1
1954,1.259
1955,1.331
1956,1.174
1957,1.051
1958,1.347
1959,1.095
1960,1.151
1961,1.111
1962,0.88
1963,1.202
1964,1.114
1965,1.125
1966,0.939
1967,1.167
1968,1.005
1969,1.101
1970,1.165
1971,0.728
1972,0.776
1973,0.937
1974,0.848
1975,1.002
1976,0.789
1977,0.96
1978,1.046
1979,1.012
1980,0.798
1981,0.913
1982,1.022
1983,0.981
1984,0.883
1985,0.915
1986,0.909
1987,1.005
1988,0.958
1989,0.943
1990,0.949
