year,rwi
1716,0.93
1717,1.256
1718,0.983
1719,1.412
1720,1.142
1721,1.118
1722,1.226
1723,1.233
1724,1.304
1725,0.704
1726,0.78
1727,1.46
1728,0.666
1729,0.28
1730,0.365
1731,0.587
1732,0.611
1733,0.725
1734,0.568
1735,1.049
1736,1.232
1737,1.23
1738,1.429
1739,1.141
1740,1.228
1741,1.476
1742,0.899
1743,0.879
1744,1.051
1745,0.927
1746,1.145
1747,1.037
1748,1.118
1749,0.719
1750,0.851
1751,1.007
1752,0.791
1753,0.521
1754,0.78
1755,1.335
1756,1.305
1757,1.351
1758,1.334
1759,0.923
1760,0.743
1761,1.272
1762,1.49
1763,0.988
1764,1.011
1765,0.944
1766,0.841
1767,0.952
1768,1.013
1769,0.768
1770,0.552
1771,0.727
1772,0.95
1773,1.081
1774,0.888
1775,0.936
1776,0.605
1777,0.718
1778,0.738
1779,0.919
1780,1.08
1781,1.086
1782,1.212
1783,1.319
1784,1.093
1785,1.045
1786,0.937
1787,1.029
1788,0.923
1789,0.886
1790,0.795
1791,0.898
1792,0.994
1793,1.009
1794,0.996
1795,1.159
1796,1.061
1797,1.1
1798,1.059
1799,0.993
1800,1.18
1801,0.986
1802,0.902
1803,0.975
1804,1.104
1805,0.991
1806,1.014
1807,1.12
1808,1.106
1809,0.996
1810,0.768
1811,0.713
1812,0.468
1813,0.379
1814,0.894
1815,0.783
1816,0.758
1817,1.163
1818,0.815
1819,1.346
1820,0.672
1821,0.758
1822,0.945
1823,0.986
1824,1.216
1825,0.875
1826,0.529
1827,0.852
1828,1.224
1829,1.254
1830,1.358
1831,1.071
1832,1.095
1833,1.039
1834,0.982
1835,1.043
1836,0.967
1837,0.878
1838,1.021
1839,1.313
1840,0.994
1841,1.043
1842,1.023
1843,1.109
1844,0.871
1845,1.035
1846,1.48
1847,1.115
1848,1.023
1849,0.825
1850,0.929
1851,0.711
1852,0.739
1853,0.915
1854,1.124
1855,1.108
1856,1.081
1857,1.03
1858,1.053
1859,1.033
1860,0.923
1861,0.69
1862,1.001
1863,1.365
1864,1.309
1865,1.118
1866,0.868
1867,0.791
1868,0.926
1869,0.864
1870,0.686
1871,0.338
1872,0.559
1873,0.951
1874,0.783
1875,0.716
1876,0.802
1877,0.997
1878,1.164
1879,0.945
1880,1.066
1881,0.813
1882,0.892
1883,0.83
1884,1.067
1885,0.95
1886,1.206
1887,0.841
1888,1.147
1889,1.162
1890,1.179
1891,0.765
1892,0.653
1893,0.935
1894,1.077
1895,1.074
1896,0.929
1897,1.182
1898,1.092
1899,0.937
1900,0.923
1901,0.692
1902,0.749
1903,1.026
1904,1.017
1905,1.182
1906,1.227
1907,1.186
1908,0.859
1909,0.765
1910,1.167
1911,0.98
1912,0.78
1913,1.083
1914,0.933
1915,0.81
1916,0.934
1917,1.057
1918,0.836
1919,1.002
1920,1.064
1921,1.226
1922,1.008
1923,0.828
1924,1.054
1925,1.357
1926,1.036
1927,1.206
1928,1.053
1929,1.106
1930,0.884
1931,0.556
1932,0.839
1933,0.91
1934,1.253
1935,0.799
1936,0.97
1937,0.969
1938,1.121
1939,0.971
1940,0.998
1941,0.83
1942,1.063
1943,0.874
1944,1.006
1945,0.98
1946,0.92
1947,1.046
1948,0.866
1949,0.874
1950,0.614
1951,0.678
1952,0.512
1953,0.867
1954,0.685
1955,0.735
1956,0.802
1957,0.947
1958,1.274
1959,1.143
1960,1.003
1961,1.242
1962,0.925
1963,0.989
1964,1.043
1965,1.1
1966,1.468
1967,1.592
1968,0.772
1969,1.153
1970,0.867
1971,1.281
1972,1.222
1973,0.964
1974,1.017
1975,0.873
1976,1.33
1977,1.072
1978,0.834
1979,0.767
1980,0.716
1981,0.866
1982,1.081
1983,1.212
1984,1.207
1985,0.92
1986,0.875
1987,0.65
1988,1.145
1989,0.892
1990,0.957
1991,1.028
1992,0.997
1993,0.773
1994,0.869
1995,1.059
1996,0.83
