year,rwi
56,0.255
57,0.28
58,0.33
59,0.25
60,0.205
61,0.185
62,0.165
63,0.165
64,0.13
65,0.165
66,0.22
67,0.205
68,0.21
69,0.175
70,0.215
71,0.185
72,0.24
73,0.195
74,0.205
75,0.19
76,0.19
77,0.18
78,0.19
79,0.105
80,0.115
81,0.155
82,0.135
83,0.17
84,0.18
85,0.235
86,0.24
87,0.3
88,0.245
89,0.32
90,0.415
91,0.32
92,0.485
93,0.345
94,0.45
95,0.44
96,0.41
97,0.37
98,0.38
99,0.33
100,0.36
101,0.47
102,0.56
103,0.335
104,0.445
105,0.395
106,0.325
107,0.47
108,0.29
109,0.325
110,0.425
111,0.4
112,0.21
113,0.32
114,0.35
115,0.365
116,0.36
117,0.345
118,0.33
119,0.325
120,0.35
121,0.315
122,0.3
123,0.26
124,0.255
125,0.25
126,0.27
127,0.255
128,0.2
129,0.235
130,0.25
131,0.255
132,0.3
133,0.195
134,0.145
135,0.16
136,0.14
137,0.125
138,0.13
139,0.095
140,0.205
141,0.155
142,0.11
143,0.16
144,0.185
145,0.23
146,0.225
147,0.265
148,0.16
149,0.18
150,0.16
151,0.145
152,0.185
153,0.175
154,0.15
155,0.185
156,0.235
157,0.2
158,0.125
159,0.12
160,0.115
161,0.18
162,0.1
163,0.225
164,0.18
165,0.175
166,0.25
167,0.23
168,0.175
169,0.255
170,0.22
171,0.235
172,0.175
173,0.27
174,0.16
175,0.2
176,0.165
177,0.165
178,0.125
179,0.23
180,0.265
181,0.23
182,0.255
183,0.155
184,0.16
185,0.27
186,0.27
187,0.15
188,0.255
189,0.275
190,0.28
191,0.315
192,0.32
193,0.215
194,0.26
195,0.315
196,0.255
197,0.405
198,0.465
199,0.36
200,0.4
201,0.255
202,0.305
203,0.435
204,0.32
205,0.315
206,0.32
207,0.36
208,0.265
209,0.425
210,0.305
211,0.45
212,0.415
213,0.53
214,0.575
215,0.585
216,0.67
217,0.715
218,0.62
219,0.625
220,0.425
221,0.57
222,0.46
223,0.51
224,0.395
225,0.38
226,0.34
227,0.3
228,0.245
229,0.135
230,0.29
231,0.345
232,0.375
233,0.365
234,0.42
235,0.465
236,0.46
237,0.55
238,0.31
239,0.42
240,0.32
241,0.275
242,0.165
243,0.215
244,0.19
245,0.19
246,0.32
247,0.12
248,0.24
249,0.25
250,0.135
251,0.275
252,0.255
253,0.255
254,0.335
255,0.32
256,0.355
257,0.335
258,0.275
259,0.25
260,0.245
261,0.15
262,0.185
263,0.245
264,0.24
265,0.225
266,0.26
267,0.27
268,0.29
269,0.26
270,0.35
271,0.225
272,0.31
273,0.295
274,0.25
275,0.305
276,0.16
277,0.375
278,0.24
279,0.22
280,0.34
281,0.405
282,0.32
283,0.25
284,0.44
285,0.55
286,0.46
287,0.49
288,0.48
289,0.49
290,0.395
291,0.305
292,0.595
293,0.385
294,0.505
295,0.46
296,0.485
297,0.475
298,0.435
299,0.39
300,0.285
301,0.305
302,0.245
303,0.305
304,0.26
305,0.275
306,0.26
307,0.245
308,0.4
309,0.365
310,0.29
311,0.255
312,0.225
313,0.365
314,0.245
315,0.22
316,0.4
317,0.245
318,0.25
319,0.26
320,0.24
321,0.22
322,0.13
323,0.235
324,0.285
325,0.235
326,0.13
327,0.24
328,0.185
329,0.175
330,0.195
331,0.29
332,0.29
333,0.26
334,0.3
335,0.26
336,0.26
337,0.305
338,0.332
339,0.31
340,0.397
341,0.382
342,0.44
343,0.395
344,0.438
345,0.418
346,0.503
347,0.522
348,0.745
349,0.587
350,0.627
351,0.545
352,0.195
353,0.25
354,0.235
355,0.355
356,0.295
357,0.308
358,0.3
359,0.245
360,0.248
361,0.245
362,0.242
363,0.257
364,0.225
365,0.275
366,0.27
367,0.3
368,0.211
369,0.118
370,0.175
371,0.209
372,0.21
373,0.078
374,0.06
375,0.092
376,0.09
377,0.175
378,0.111
379,0.387
380,0.423
381,0.474
382,0.358
383,0.418
384,0.425
385,0.51
386,0.408
387,0.536
388,0.476
389,0.439
390,0.476
391,0.401
392,0.416
393,0.404
394,0.298
395,0.268
396,0.349
397,0.378
398,0.287
399,0.316
400,0.302
401,0.332
402,0.372
403,0.381
404,0.392
405,0.372
406,0.381
407,0.331
408,0.342
409,0.272
410,0.366
411,0.328
412,0.367
413,0.406
414,0.412
415,0.384
416,0.426
417,0.251
418,0.409
419,0.354
420,0.329
421,0.357
422,0.343
423,0.393
424,0.383
425,0.455
426,0.411
427,0.499
428,0.437
429,0.303
430,0.645
431,0.385
432,0.518
433,0.468
434,0.444
435,0.392
436,0.448
437,0.386
438,0.468
439,0.262
440,0.317
441,0.343
442,0.309
443,0.33
444,0.288
445,0.391
446,0.353
447,0.385
448,0.418
449,0.323
450,0.376
451,0.375
452,0.29
453,0.402
454,0.413
455,0.334
456,0.225
457,0.361
458,0.379
459,0.347
460,0.293
461,0.287
462,0.243
463,0.269
464,0.321
465,0.315
466,0.286
467,0.246
468,0.317
469,0.204
470,0.277
471,0.311
472,0.249
473,0.198
474,0.257
475,0.281
476,0.265
477,0.224
478,0.214
479,0.224
480,0.246
481,0.223
482,0.214
483,0.239
484,0.176
485,0.275
486,0.275
487,0.245
488,0.203
489,0.229
490,0.276
491,0.235
492,0.231
493,0.248
494,0.266
495,0.294
496,0.366
497,0.313
498,0.263
499,0.322
500,0.327
501,0.306
502,0.256
503,0.203
504,0.238
505,0.311
506,0.26
507,0.263
508,0.297
509,0.31
510,0.343
511,0.323
512,0.323
513,0.294
514,0.282
515,0.318
516,0.422
517,0.418
518,0.456
519,0.406
520,0.401
521,0.319
522,0.292
523,0.268
524,0.414
525,0.382
526,0.392
527,0.3
528,0.428
529,0.336
530,0.369
531,0.378
532,0.496
533,0.405
534,0.456
535,0.517
536,0.393
537,0.366
538,0.527
539,0.462
540,0.403
541,0.539
542,0.465
543,0.389
544,0.538
545,0.495
546,0.462
547,0.414
548,0.475
549,0.446
550,0.416
551,0.44
552,0.473
553,0.551
554,0.483
555,0.495
556,0.495
557,0.498
558,0.473
559,0.461
560,0.514
561,0.447
562,0.557
563,0.618
564,0.449
565,0.62
566,0.615
567,0.614
568,0.558
569,0.588
570,0.623
571,0.646
572,0.575
573,0.664
574,0.68
575,0.424
576,0.717
577,0.536
578,0.524
579,0.618
580,0.571
581,0.558
582,0.505
583,0.59
584,0.572
585,0.601
586,0.602
587,0.577
588,0.568
589,0.567
590,0.502
591,0.491
592,0.47
593,0.535
594,0.487
595,0.543
596,0.405
597,0.427
598,0.521
599,0.446
600,0.534
601,0.506
602,0.585
603,0.59
604,0.617
605,0.511
606,0.405
607,0.458
608,0.514
609,0.52
610,0.609
611,0.622
612,0.57
613,0.543
614,0.573
615,0.517
616,0.576
617,0.487
618,0.521
619,0.526
620,0.448
621,0.408
622,0.475
623,0.553
624,0.426
625,0.459
626,0.342
627,0.382
628,0.282
629,0.414
630,0.339
631,0.405
632,0.339
633,0.442
634,0.444
635,0.484
636,0.414
637,0.459
638,0.409
639,0.462
640,0.471
641,0.485
642,0.497
643,0.383
644,0.47
645,0.396
646,0.381
647,0.458
648,0.438
649,0.472
650,0.473
651,0.433
652,0.336
653,0.533
654,0.366
655,0.412
656,0.468
657,0.449
658,0.356
659,0.35
660,0.362
661,0.399
662,0.346
663,0.253
664,0.364
665,0.362
666,0.331
667,0.386
668,0.372
669,0.371
670,0.444
671,0.485
672,0.362
673,0.508
674,0.419
675,0.354
676,0.407
677,0.535
678,0.497
679,0.466
680,0.355
681,0.442
682,0.4
683,0.446
684,0.396
685,0.333
686,0.374
687,0.373
688,0.339
689,0.418
690,0.324
691,0.325
692,0.26
693,0.337
694,0.413
695,0.406
696,0.382
697,0.394
698,0.373
699,0.393
700,0.225
701,0.35
702,0.396
703,0.196
704,0.394
705,0.386
706,0.366
707,0.356
708,0.43
709,0.307
710,0.346
711,0.256
712,0.373
713,0.449
714,0.421
715,0.419
716,0.402
717,0.401
718,0.442
719,0.368
720,0.382
721,0.371
722,0.363
723,0.347
724,0.451
725,0.279
726,0.403
727,0.384
728,0.422
729,0.485
730,0.409
731,0.441
732,0.448
733,0.398
734,0.366
735,0.324
736,0.403
737,0.283
738,0.425
739,0.274
740,0.401
741,0.438
742,0.499
743,0.257
744,0.414
745,0.413
746,0.281
747,0.273
748,0.205
749,0.395
750,0.372
751,0.378
752,0.376
753,0.332
754,0.353
755,0.394
756,0.22
757,0.418
758,0.386
759,0.301
760,0.34
761,0.426
762,0.252
763,0.363
764,0.392
765,0.42
766,0.388
767,0.457
768,0.384
769,0.448
770,0.441
771,0.433
772,0.275
773,0.48
774,0.508
775,0.511
776,0.428
777,0.419
778,0.398
779,0.449
780,0.464
781,0.434
782,0.418
783,0.447
784,0.284
785,0.365
786,0.24
787,0.281
788,0.221
789,0.392
790,0.169
791,0.309
792,0.228
793,0.398
794,0.381
795,0.266
796,0.388
797,0.422
798,0.315
799,0.317
800,0.297
801,0.36
802,0.356
803,0.337
804,0.165
805,0.298
806,0.355
807,0.32
808,0.364
809,0.295
810,0.304
811,0.381
812,0.362
813,0.434
814,0.328
815,0.335
816,0.357
817,0.12
818,0.333
819,0.327
820,0.405
821,0.325
822,0.269
823,0.325
824,0.276
825,0.31
826,0.316
827,0.303
828,0.286
829,0.256
830,0.266
831,0.223
832,0.288
833,0.262
834,0.286
835,0.263
836,0.189
837,0.202
838,0.179
839,0.269
840,0.245
841,0.123
842,0.18
843,0.319
844,0.33
845,0.276
846,0.26
847,0.229
848,0.286
849,0.295
850,0.315
851,0.322
852,0.326
853,0.345
854,0.298
855,0.328
856,0.31
857,0.21
858,0.308
859,0.241
860,0.242
861,0.181
862,0.183
863,0.298
864,0.098
865,0.271
866,0.291
867,0.185
868,0.189
869,0.232
870,0.217
871,0.22
872,0.286
873,0.19
874,0.291
875,0.143
876,0.15
877,0.199
878,0.248
879,0.232
880,0.272
881,0.238
882,0.273
883,0.226
884,0.222
885,0.276
886,0.282
887,0.183
888,0.278
889,0.246
890,0.25
891,0.307
892,0.266
893,0.268
894,0.271
895,0.302
896,0.299
897,0.359
898,0.323
899,0.188
900,0.306
901,0.156
902,0.289
903,0.255
904,0.249
905,0.226
906,0.175
907,0.214
908,0.16
909,0.16
910,0.207
911,0.211
912,0.231
913,0.256
914,0.247
915,0.27
916,0.288
917,0.214
918,0.281
919,0.242
920,0.239
921,0.228
922,0.3
923,0.266
924,0.304
925,0.317
926,0.305
927,0.243
928,0.332
929,0.341
930,0.391
931,0.325
932,0.418
933,0.327
934,0.384
935,0.178
936,0.439
937,0.366
938,0.356
939,0.397
940,0.37
941,0.373
942,0.425
943,0.293
944,0.297
945,0.371
946,0.321
947,0.338
948,0.355
949,0.26
