year,rwi
1640,1.426
1641,0.999
1642,1.542
1643,1.152
1644,1.238
1645,0.767
1646,0.906
1647,1.299
1648,0.858
1649,0.722
1650,0.922
1651,1.268
1652,1.169
1653,0.538
1654,0.072
1655,1.018
1656,1.144
1657,1.186
1658,1.278
1659,1.172
1660,1.291
1661,1.33
1662,1.259
1663,1.031
1664,0.706
1665,0.818
1666,0.449
1667,0.454
1668,0.378
1669,0.389
1670,0.654
1671,0.581
1672,0.7
1673,1.034
1674,1.026
1675,0.951
1676,1.032
1677,1.386
1678,1.317
1679,0.805
1680,1.301
1681,1.104
1682,0.584
1683,1.183
1684,0.984
1685,0.754
1686,0.615
1687,0.912
1688,1
1689,1.23
1690,0.826
1691,0.711
1692,1.154
1693,0.95
1694,1.307
1695,1.35
1696,1.092
1697,1.586
1698,1.018
1699,1.095
1700,1.189
1701,1.385
1702,1.361
1703,0.959
1704,1.03
1705,1.083
1706,1.227
1707,1.059
1708,0.913
1709,0.277
1710,0.921
1711,0.495
1712,0.14
1713,0.368
1714,0.73
1715,0.862
1716,0.606
1717,0.597
1718,0.872
1719,1.124
1720,1.44
1721,1.085
1722,1.06
1723,1.189
1724,0.821
1725,1.292
1726,1.412
1727,1.049
1728,1.268
1729,0.666
1730,0.642
1731,0.583
1732,0.959
1733,0.689
1734,0.999
1735,0.638
1736,0.689
1737,0.873
1738,0.702
1739,0.916
1740,0.824
1741,0.879
1742,0.689
1743,1.172
1744,0.978
1745,0.971
1746,1.024
1747,1.237
1748,0.689
1749,1.223
1750,0.801
1751,0.994
1752,0.923
1753,1.168
1754,1.186
1755,0.995
1756,0.889
1757,0.828
1758,1.045
1759,1.177
1760,1.088
1761,1.758
1762,1.181
1763,1.163
1764,1.412
1765,0.944
1766,1.262
1767,1.142
1768,1.023
1769,1.075
1770,1.092
1771,0.979
1772,0.947
1773,1.061
1774,1.059
1775,1.069
1776,1.212
1777,1.232
1778,1.002
1779,1.116
1780,0.967
1781,0.836
1782,0.891
1783,1.021
1784,1.135
1785,1.122
1786,0.919
1787,1.247
1788,1.086
1789,0.819
1790,1.364
1791,1.363
1792,1.446
1793,1.06
1794,1.305
1795,1.186
1796,1.253
1797,1.139
1798,0.878
1799,1.317
1800,1.43
1801,1.12
1802,1.542
1803,1.31
1804,0.793
1805,0.591
1806,1.109
1807,0.681
1808,1.149
1809,0.58
1810,0.948
1811,0.975
1812,1.127
1813,1.097
1814,1.204
1815,1.058
1816,1.135
1817,0.877
1818,0.457
1819,0.914
1820,0.462
1821,0.923
1822,1.08
1823,1.159
1824,0.819
1825,1.273
1826,1.15
1827,1.561
1828,1.566
1829,1.408
1830,1.247
1831,1.012
1832,0.976
1833,1.261
1834,0.811
1835,1.284
1836,1.553
1837,1.551
1838,1.673
1839,1.623
1840,1.342
1841,1.496
1842,0.454
1843,1.321
1844,1.029
1845,0.83
1846,0.698
1847,0.616
1848,0.375
1849,0.737
1850,0.765
1851,0.418
1852,0.656
1853,0.833
1854,0.704
1855,0.54
1856,0.783
1857,0.705
1858,0.984
1859,0.788
1860,0.76
1861,0.174
1862,0.604
1863,0.356
1864,0.656
1865,0.542
1866,0.886
1867,0.916
1868,1.158
1869,1.227
1870,1.066
1871,0.64
1872,1.009
1873,0.681
1874,0.553
1875,0.73
1876,1.043
1877,0.811
1878,1.179
1879,0.494
1880,0.43
1881,0.499
1882,0.648
1883,0.844
1884,0.763
1885,0.907
1886,0.65
1887,0.683
1888,0.349
1889,0.983
1890,0.753
1891,0.888
1892,0.795
1893,0.52
1894,1.026
1895,0.786
1896,0.952
1897,1.078
1898,1.25
1899,0.935
1900,1.132
1901,1.053
1902,0.516
1903,1.233
1904,1.444
1905,1.094
1906,1.469
1907,2.128
1908,1.428
1909,1.305
1910,1
1911,0.502
1912,0.929
1913,1.119
1914,1.338
1915,1.607
1916,1.578
1917,1.185
1918,1.17
1919,0.372
1920,1.036
1921,1.264
1922,0.789
1923,1.515
1924,1.267
1925,0.406
1926,1.481
1927,0.863
1928,1.444
1929,0.923
1930,0.911
1931,1.015
1932,0.856
1933,0.927
1934,0.781
1935,0.993
1936,0.985
1937,1.087
1938,1.41
1939,0.91
1940,0.592
1941,1.495
1942,1.397
1943,1.477
1944,1.407
1945,1.809
1946,0.846
1947,1.306
1948,0.765
1949,1.39
1950,0.936
1951,1.076
1952,1.26
1953,0.992
1954,0.19
1955,0.838
1956,0.363
1957,0.992
1958,1.025
1959,1.004
1960,1.162
1961,1.169
1962,1.371
1963,0.6
1964,0.518
1965,1.354
1966,0.494
1967,0.833
1968,0.3
1969,1.289
1970,0.999
1971,1
1972,0.929
1973,1.418
1974,0.58
1975,1.655
1976,0.657
1977,0.622
1978,1.062
1979,1.296
1980,1.047
1981,0.973
1982,1.435
1983,1.862
1984,1.956
1985,1.502
1986,2.396
1987,2.299
