year,rwi
1659,1.059
1660,0.935
1661,0.652
1662,0.837
1663,0.962
1664,1.157
1665,0.852
1666,1.285
1667,1.452
1668,1.242
1669,1.17
1670,1.165
1671,1.118
1672,1.059
1673,0.958
1674,0.845
1675,0.659
1676,0.955
1677,0.985
1678,0.937
1679,0.767
1680,1.073
1681,0.977
1682,0.892
1683,0.659
1684,0.713
1685,0.797
1686,0.607
1687,0.453
1688,0.496
1689,0.743
1690,0.963
1691,0.804
1692,1.107
1693,1.387
1694,1.245
1695,1.556
1696,1.043
1697,1.143
1698,0.966
1699,0.993
1700,1.208
1701,1.169
1702,1.26
1703,1.385
1704,0.869
1705,0.88
1706,1.191
1707,1.32
1708,1.184
1709,1.184
1710,1.118
1711,1.086
1712,1.025
1713,0.743
1714,0.733
1715,0.55
1716,0.655
1717,1.099
1718,1.304
1719,1.338
1720,1.178
1721,1.377
1722,1.253
1723,0.885
1724,0.794
1725,0.988
1726,0.86
1727,1.088
1728,0.874
1729,0.686
1730,0.972
1731,1.014
1732,0.915
1733,0.688
1734,0.9
1735,0.882
1736,0.703
1737,0.823
1738,1.101
1739,1.056
1740,1.135
1741,0.577
1742,0.97
1743,0.925
1744,1.259
1745,1.252
1746,1.074
1747,1.136
1748,0.859
1749,0.917
1750,1.133
1751,1.157
1752,1.199
1753,0.991
1754,0.848
1755,0.726
1756,0.948
1757,0.836
1758,0.844
1759,0.752
1760,0.972
1761,1.102
1762,1.22
1763,1.233
1764,1.467
1765,1.193
1766,1.031
1767,0.732
1768,0.757
1769,1.308
1770,0.987
1771,1.056
1772,1.023
1773,1.083
1774,1.374
1775,1.26
1776,1.229
1777,1.457
1778,1.18
1779,1.052
1780,0.636
1781,0.573
1782,0.906
1783,0.918
1784,0.66
1785,0.629
1786,0.797
1787,0.796
1788,0.946
1789,1.168
1790,0.912
1791,0.929
1792,0.761
1793,1.014
1794,0.714
1795,0.855
1796,0.68
1797,0.696
1798,0.582
1799,0.65
1800,0.877
1801,1.024
1802,1.198
1803,1.315
1804,1.05
1805,1.175
1806,0.939
1807,1.162
1808,1.341
1809,1.268
1810,1.263
1811,1.272
1812,1.275
1813,1.169
1814,1.248
1815,1.421
1816,1.147
1817,1.286
1818,1.073
1819,0.952
1820,0.953
1821,1.236
1822,1.389
1823,1.17
1824,1.083
1825,0.973
1826,0.804
1827,0.972
1828,1.268
1829,0.931
1830,0.918
1831,0.704
1832,0.784
1833,0.958
1834,1.177
1835,0.825
1836,0.722
1837,0.719
1838,0.903
1839,0.607
1840,0.819
1841,0.796
1842,0.993
1843,0.839
1844,0.787
1845,0.909
1846,0.939
1847,1.013
1848,1.038
1849,0.96
1850,0.85
1851,0.919
1852,0.852
1853,0.901
1854,0.901
1855,0.833
1856,0.662
1857,0.564
1858,1.022
1859,1.203
1860,1.385
1861,1.357
1862,0.963
1863,1.333
1864,1.067
1865,1.008
1866,1.459
1867,1.506
1868,1.344
1869,0.763
1870,0.732
1871,0.997
1872,0.951
1873,0.723
1874,1.37
1875,1.194
1876,0.955
1877,0.924
1878,0.994
1879,0.874
1880,1.183
1881,0.89
1882,1.242
1883,1.132
1884,1.409
1885,0.839
1886,0.839
1887,0.814
1888,0.792
1889,1.273
1890,1.363
1891,1.153
1892,1.372
1893,1.155
1894,1.271
1895,0.529
1896,0.746
1897,1.029
1898,1.14
1899,0.463
1900,0.573
1901,0.616
1902,0.964
1903,1.252
1904,1.274
1905,0.949
1906,1.06
1907,1.125
1908,0.978
1909,0.987
1910,0.969
1911,0.812
1912,0.886
1913,1.004
1914,0.849
1915,0.954
1916,1.216
1917,1.031
1918,0.67
1919,0.791
1920,0.545
1921,1.043
1922,0.938
1923,0.956
1924,0.698
1925,1.138
1926,0.816
1927,1.294
1928,1.521
1929,1.001
1930,1.14
1931,1.181
1932,1.015
1933,0.985
1934,0.693
1935,1.321
1936,1.306
1937,1.287
1938,1.294
1939,1.165
1940,0.825
1941,0.986
1942,0.811
1943,0.998
1944,0.535
1945,0.742
1946,1.18
1947,1.211
1948,0.989
1949,1.089
1950,0.834
1951,1.46
1952,1.081
1953,1.135
1954,1.239
1955,1.207
1956,0.67
1957,0.958
1958,0.877
1959,1.007
1960,0.396
1961,1.036
1962,0.68
1963,0.9
1964,0.748
1965,0.947
1966,0.818
1967,1.383
1968,1.161
1969,0.746
1970,0.939
1971,0.934
1972,0.807
1973,1.592
1974,1.058
1975,1.3
1976,1.111
1977,1.253
1978,1.032
1979,1.086
1980,1.192
1981,1.173
1982,0.935
1983,1.144
1984,0.554
1985,0.976
