year,rwi
1675,1.46
1676,1.24
1677,1.09
1678,1.21
1679,0.88
1680,0.85
1681,1.3
1682,1.6
1683,1.57
1684,1.32
1685,1.2
1686,1.29
1687,1.36
1688,1.24
1689,1.05
1690,1.47
1691,1.44
1692,1.31
1693,1.21
1694,0.97
1695,0.94
1696,0.93
1697,1.28
1698,1.11
1699,1.37
1700,1.04
1701,0.97
1702,0.81
1703,0.85
1704,1.25
1705,1.04
1706,1.01
1707,1.53
1708,1.63
1709,2.12
1710,2
1711,1.39
1712,1.14
1713,0.92
1714,0.84
1715,1.3
1716,0.65
1717,0.55
1718,0.91
1719,1.41
1720,1.61
1721,1.69
1722,1.48
1723,1.44
1724,1.46
1725,1.18
1726,1.26
1727,1.14
1728,0.75
1729,0.77
1730,0.785
1731,0.945
1732,1.035
1733,0.935
1734,0.875
1735,0.67
1736,0.645
1737,0.8
1738,0.525
1739,0.81
1740,0.805
1741,0.54
1742,0.455
1743,0.715
1744,0.8
1745,0.98
1746,0.5
1747,0.59
1748,0.58
1749,0.695
1750,0.665
1751,0.73
1752,0.725
1753,1.01
1754,0.99
1755,1.14
1756,0.935
1757,0.88
1758,1.169
1759,1.332
1760,1.542
1761,1.514
1762,1.981
1763,1.225
1764,1.075
1765,0.87
1766,1.084
1767,1.101
1768,0.946
1769,1.038
1770,0.91
1771,0.961
1772,0.824
1773,0.853
1774,0.831
1775,0.813
1776,0.915
1777,0.967
1778,1.002
1779,0.721
1780,0.883
1781,0.74
1782,0.775
1783,1.086
1784,1.06
1785,0.748
1786,0.991
1787,0.751
1788,0.983
1789,0.823
1790,0.808
1791,0.916
1792,0.952
1793,1.126
1794,0.863
1795,0.881
1796,0.617
1797,0.57
1798,0.707
1799,0.798
1800,1.047
1801,1.285
1802,1.17
1803,0.817
1804,0.914
1805,1.161
1806,0.999
1807,0.796
1808,0.608
1809,0.714
1810,0.633
1811,0.987
1812,0.906
1813,0.694
1814,0.835
1815,0.699
1816,1.033
1817,0.737
1818,0.967
1819,0.684
1820,0.819
1821,0.828
1822,0.87
1823,1.03
1824,1.07
1825,0.851
1826,0.674
1827,0.979
1828,0.785
1829,0.997
1830,0.973
1831,0.9
1832,1.136
1833,0.838
1834,0.647
1835,0.915
1836,0.824
1837,0.697
1838,0.889
1839,0.982
1840,0.657
1841,0.995
1842,0.728
1843,0.734
1844,0.751
1845,0.724
1846,0.827
1847,0.811
1848,0.877
1849,0.621
1850,0.691
1851,0.6
1852,0.754
1853,0.855
1854,0.677
1855,0.716
1856,0.674
1857,0.746
1858,0.71
1859,0.71
1860,0.682
1861,0.989
1862,0.628
1863,0.643
1864,0.91
1865,0.797
1866,0.978
1867,0.871
1868,0.733
1869,0.743
1870,0.667
1871,0.671
1872,0.888
1873,0.695
1874,0.535
1875,0.555
1876,0.799
1877,1.143
1878,0.919
1879,0.866
1880,0.73
1881,0.609
1882,0.603
1883,0.646
1884,0.72
1885,0.718
1886,0.819
1887,0.548
1888,0.769
1889,0.707
1890,0.573
1891,0.609
1892,0.625
1893,0.635
1894,0.563
1895,0.696
1896,0.619
1897,0.652
1898,0.561
1899,0.466
1900,0.747
1901,0.709
1902,0.64
1903,0.647
1904,0.729
1905,0.516
1906,0.709
1907,0.582
1908,0.506
1909,0.535
1910,0.759
1911,0.73
1912,0.762
1913,0.633
1914,0.798
1915,0.795
1916,0.743
1917,0.479
1918,0.56
1919,0.649
1920,0.546
1921,0.734
1922,0.377
1923,0.492
1924,0.464
1925,0.504
1926,0.448
1927,0.491
1928,0.226
1929,0.369
1930,0.498
1931,0.618
1932,0.421
1933,0.427
1934,0.474
1935,0.393
1936,0.744
1937,0.623
1938,0.463
1939,0.439
1940,0.596
1941,0.435
1942,0.449
1943,0.347
1944,0.348
1945,0.329
1946,0.375
1947,0.346
1948,0.369
1949,0.202
1950,0.466
1951,0.317
1952,0.314
1953,0.358
1954,0.347
1955,0.428
1956,0.359
1957,0.37
1958,0.373
1959,0.268
1960,0.349
1961,0.378
1962,0.365
1963,0.41
1964,0.299
1965,0.317
1966,0.319
1967,0.39
1968,0.409
1969,0.433
1970,0.454
1971,0.399
1972,0.485
1973,0.352
1974,0.454
1975,0.465
1976,0.379
1977,0.479
1978,0.377
1979,0.553
1980,0.308
1981,0.335
