year,rwi
1701,2.68
1702,2.97
1703,1.81
1704,1.42
1705,2.065
1706,1.985
1707,2.195
1708,2.47
1709,1.52
1710,2.32
1711,2.275
1712,2.245
1713,2.195
1714,1.76
1715,1.565
1716,1.275
1717,1.465
1718,1.405
1719,1.525
1720,0.81
1721,0.973
1722,1.388
1723,1.513
1724,1.581
1725,1.343
1726,1.716
1727,1.855
1728,2.104
1729,1.846
1730,2.049
1731,1.628
1732,1.881
1733,2.146
1734,1.972
1735,1.884
1736,1.898
1737,1.725
1738,1.752
1739,1.732
1740,1.069
1741,1.329
1742,1.556
1743,1.694
1744,1.764
1745,1.575
1746,1.572
1747,1.386
1748,1.333
1749,1.484
1750,1.823
1751,1.611
1752,2.026
1753,2.101
1754,1.861
1755,2.012
1756,1.864
1757,1.566
1758,1.729
1759,1.955
1760,1.392
1761,1.741
1762,1.595
1763,1.842
1764,1.732
1765,1.83
1766,1.635
1767,1.736
1768,1.521
1769,1.808
1770,1.623
1771,1.547
1772,2.144
1773,1.421
1774,1.947
1775,1.493
1776,1.58
1777,1.714
1778,1.878
1779,1.712
1780,1.843
1781,1.819
1782,1.754
1783,1.479
1784,1.362
1785,1.568
1786,1.775
1787,1.979
1788,2.099
1789,1.622
1790,1.832
1791,2.049
1792,1.859
1793,1.861
1794,2.114
1795,1.972
1796,2.021
1797,1.486
1798,2.205
1799,1.563
1800,1.463
1801,2.229
1802,2.326
1803,1.999
1804,2.432
1805,2.021
1806,1.764
1807,2.005
1808,1.517
1809,1.607
1810,2.086
1811,1.519
1812,1.644
1813,1.692
1814,2.166
1815,2.012
1816,1.888
1817,1.83
1818,1.497
1819,1.827
1820,1.266
1821,1.338
1822,1.759
1823,1.647
1824,1.804
1825,1.506
1826,2.073
1827,2.056
1828,1.971
1829,1.953
1830,1.158
1831,1.95
1832,2.291
1833,1.895
1834,2.021
1835,1.687
1836,2.098
1837,2.098
1838,2.099
1839,1.895
1840,2.079
1841,2.023
1842,2.412
1843,2.124
1844,2.006
1845,2.298
1846,2.504
1847,2.205
1848,2.347
1849,1.995
1850,2.215
1851,2.525
1852,1.943
1853,2.292
1854,2.175
1855,2.278
1856,1.965
1857,2.165
1858,1.727
1859,1.873
1860,1.637
1861,2.143
1862,2.025
1863,2.17
1864,1.686
1865,1.23
1866,1.794
1867,1.873
1868,1.488
1869,1.43
1870,1.606
1871,1.756
1872,1.324
1873,2.189
1874,1.948
1875,1.684
1876,1.844
1877,1.896
1878,1.895
1879,1.923
1880,1.419
1881,1.6
1882,1.952
1883,1.73
1884,2.306
1885,1.946
1886,1.669
1887,1.689
1888,1.621
1889,1.363
1890,1.824
1891,1.622
1892,1.627
1893,1.636
1894,2.024
1895,2.031
1896,1.572
1897,1.678
1898,1.999
1899,2.3
1900,2.105
1901,2.085
1902,2.006
1903,1.766
1904,1.688
1905,1.239
1906,1.43
1907,1.389
1908,1.376
1909,1.475
1910,1.338
1911,1.524
1912,1.274
1913,1.271
1914,1.649
1915,1.21
1916,1.812
1917,1.344
1918,1.202
1919,1.393
1920,1.363
1921,1.312
1922,1.2
1923,1.469
1924,1.477
1925,1.991
1926,2.134
1927,2.172
1928,1.844
1929,0.583
1930,0.596
1931,1.015
1932,1.096
1933,1.202
1934,1.145
1935,1.496
1936,1.647
1937,1.571
1938,1.277
1939,1.485
1940,0.78
1941,0.976
1942,0.874
1943,0.891
