year,rwi
1810,0.867
1811,0.999
1812,1.069
1813,0.978
1814,1.03
1815,0.98
1816,0.979
1817,0.998
1818,0.949
1819,0.949
1820,0.93
1821,0.806
1822,0.806
1823,0.967
1824,1.098
1825,1.032
1826,1.148
1827,0.906
1828,1.015
1829,1.003
1830,0.925
1831,1.211
1832,0.934
1833,1.263
1834,0.939
1835,0.852
1836,0.972
1837,0.913
1838,0.834
1839,1.245
1840,0.968
1841,0.888
1842,1.224
1843,0.748
1844,0.85
1845,0.977
1846,1.114
1847,1.044
1848,1.06
1849,0.994
1850,1.058
1851,0.879
1852,1.13
1853,1.1
1854,1.007
1855,0.985
1856,0.938
1857,1.21
1858,0.987
1859,1.055
1860,0.974
1861,1.038
1862,0.914
1863,1.248
1864,1.007
1865,0.845
1866,0.973
1867,0.923
1868,1.031
1869,0.81
1870,1.083
1871,0.893
1872,0.901
1873,1.075
1874,1.032
1875,1.019
1876,0.96
1877,0.938
1878,0.987
1879,0.969
1880,1.17
1881,1.226
1882,1.077
1883,0.907
1884,1.082
1885,1.013
1886,0.983
1887,1.019
1888,0.898
1889,1.009
1890,0.863
1891,0.843
1892,1.16
1893,1.034
1894,1.016
1895,1.104
1896,0.9
1897,1.006
1898,1.083
1899,1.019
1900,0.989
1901,1.064
1902,0.915
1903,0.983
1904,0.971
1905,0.977
1906,0.777
1907,1.028
1908,1.155
1909,0.884
1910,1.08
1911,1.16
1912,0.925
1913,0.854
1914,1.054
1915,0.983
1916,0.898
1917,1.174
1918,0.808
1919,1.07
1920,0.797
1921,0.995
1922,1.042
1923,0.737
1924,1.117
1925,0.934
1926,0.966
1927,1.159
1928,0.993
1929,1.057
1930,0.936
1931,1.248
1932,0.869
1933,0.96
1934,1.18
1935,1.17
1936,1.06
1937,0.921
1938,0.968
1939,1.052
1940,0.929
1941,0.942
1942,0.684
1943,0.85
1944,1.045
1945,1.017
1946,1.213
1947,1.146
1948,0.8
1949,0.975
1950,1.214
1951,0.918
1952,1.144
1953,1.037
1954,0.86
1955,1.051
1956,0.699
1957,1.094
1958,1.029
1959,1.1
1960,1.066
1961,1.069
1962,1.093
1963,1.29
1964,0.864
1965,0.84
1966,1.229
1967,1.144
1968,1.028
1969,1.045
1970,1.006
1971,0.798
1972,1.102
1973,1.14
1974,0.616
1975,1.1
1976,0.992
1977,1.06
1978,0.904
1979,1.14
1980,0.582
1981,0.891
1982,0.766
1983,0.904
1984,0.693
1985,0.931
1986,1.167
1987,1.091
1988,1.128
1989,1.176
1990,1.337
