year,rwi
1001,3.38
1002,3.05
1003,2.97
1004,2.89
1005,3.77
1006,4.47
1007,2.94
1008,2.58
1009,2.38
1010,2.99
1011,2.61
1012,2.98
1013,2.92
1014,2.76
1015,2.64
1016,3.11
1017,2.6
1018,3.54
1019,3.13
1020,3.03
1021,2.8
1022,2.9
1023,2.16
1024,2.215
1025,2.74
1026,2.59
1027,2.505
1028,2.195
1029,2.565
1030,3.145
1031,1.95
1032,1.895
1033,1.74
1034,1.828
1035,2.513
1036,3.16
1037,2.311
1038,2.028
1039,2.909
1040,3.509
1041,3.227
1042,2.558
1043,1.821
1044,1.908
1045,1.951
1046,1.963
1047,2.546
1048,1.931
1049,1.678
1050,1.934
1051,2.204
1052,1.887
1053,2.014
1054,1.771
1055,2.008
1056,2.123
1057,2.248
1058,1.635
1059,2.163
1060,2.28
1061,1.908
1062,1.82
1063,2.128
1064,1.65
1065,1.717
1066,1.921
1067,1.837
1068,2.088
1069,1.707
1070,1.527
1071,1.522
1072,2.088
1073,1.98
1074,1.738
1075,1.937
1076,1.231
1077,1.282
1078,1.126
1079,1.545
1080,1.075
1081,1.119
1082,0.862
1083,1.185
1084,1.11
1085,0.979
1086,1.134
1087,1.002
1088,1.077
1089,0.789
1090,1.26
1091,0.798
1092,1.376
1093,1.664
1094,1.557
1095,1.829
1096,1.538
1097,1.966
1098,1.734
1099,2.038
1100,1.426
1101,1.348
1102,1.17
1103,1.434
1104,1.181
1105,1.061
1106,0.77
1107,1.584
1108,1.684
1109,1.379
1110,1
1111,1.05
1112,1.395
1113,1.44
1114,1.79
1115,1.873
1116,1.576
1117,1.496
1118,1.251
1119,1.183
1120,1.343
1121,1.235
1122,1.271
1123,1.259
1124,1.39
1125,1.14
1126,1.325
1127,1.37
1128,1.295
1129,1.39
1130,1.07
1131,1.29
1132,1.43
1133,1.38
1134,1.5
1135,1.32
1136,0.75
1137,1.22
1138,1.39
1139,1.7
1140,1.96
1141,1.93
1142,1.34
1143,1.49
1144,1.42
1145,0.87
1146,0.42
1147,0.79
1148,0.89
1149,1.27
1150,1.56
1151,2.04
