year,rwi
1683,0.12
1684,0.13
1685,0.148
1686,0.103
1687,0.121
1688,0.113
1689,0.116
1690,0.125
1691,0.104
1692,0.124
1693,0.11
1694,0.093
1695,0.05
1696,0.08
1697,0.089
1698,0.084
1699,0.121
1700,0.131
1701,0.152
1702,0.123
1703,0.114
1704,0.085
1705,0.077
1706,0.11
1707,0.091
1708,0.08
1709,0.088
1710,0.12
1711,0.099
1712,0.096
1713,0.102
1714,0.108
1715,0.086
1716,0.081
1717,0.087
1718,0.081
1719,0.1
1720,0.071
1721,0.07
1722,0.078
1723,0.078
1724,0.091
1725,0.07
1726,0.099
1727,0.102
1728,0.087
1729,0.078
1730,0.07
1731,0.079
1732,0.08
1733,0.091
1734,0.075
1735,0.076
1736,0.086
1737,0.093
1738,0.086
1739,0.082
1740,0.063
1741,0.067
1742,0.083
1743,0.087
1744,0.072
1745,0.068
1746,0.081
1747,0.068
1748,0.054
1749,0.055
1750,0.057
1751,0.077
1752,0.091
1753,0.107
1754,0.097
1755,0.079
1756,0.09
1757,0.093
1758,0.098
1759,0.081
1760,0.098
1761,0.108
1762,0.106
1763,0.089
1764,0.078
1765,0.091
1766,0.07
1767,0.074
1768,0.087
1769,0.077
1770,0.072
1771,0.091
1772,0.116
1773,0.123
1774,0.13
1775,0.126
1776,0.115
1777,0.127
1778,0.11
1779,0.113
1780,0.1
1781,0.103
1782,0.103
1783,0.1
1784,0.086
1785,0.083
1786,0.096
1787,0.111
1788,0.117
1789,0.073
1790,0.084
1791,0.102
1792,0.115
1793,0.106
1794,0.092
1795,0.083
1796,0.075
1797,0.08
1798,0.087
1799,0.076
1800,0.072
1801,0.065
1802,0.047
1803,0.061
1804,0.085
1805,0.058
1806,0.074
1807,0.074
1808,0.085
1809,0.069
1810,0.076
1811,0.084
1812,0.073
1813,0.074
1814,0.065
1815,0.068
1816,0.073
1817,0.072
1818,0.081
1819,0.081
1820,0.078
1821,0.075
1822,0.077
1823,0.081
1824,0.083
1825,0.089
1826,0.094
1827,0.087
1828,0.092
1829,0.084
1830,0.094
1831,0.058
1832,0.058
1833,0.041
1834,0.029
1835,0.034
1836,0.031
1837,0.041
1838,0.047
1839,0.047
1840,0.046
1841,0.05
1842,0.047
1843,0.051
1844,0.052
1845,0.064
1846,0.073
1847,0.088
1848,0.086
1849,0.094
1850,0.098
1851,0.083
1852,0.072
1853,0.079
1854,0.078
1855,0.09
1856,0.071
1857,0.066
1858,0.068
1859,0.086
1860,0.088
1861,0.065
1862,0.083
1863,0.088
1864,0.095
1865,0.075
1866,0.057
1867,0.073
1868,0.082
1869,0.068
1870,0.056
1871,0.071
1872,0.064
1873,0.056
1874,0.056
1875,0.056
1876,0.065
1877,0.057
1878,0.049
1879,0.054
1880,0.056
1881,0.077
1882,0.067
1883,0.063
1884,0.06
1885,0.057
1886,0.05
1887,0.056
1888,0.056
1889,0.057
1890,0.056
1891,0.054
1892,0.056
1893,0.055
1894,0.052
1895,0.054
1896,0.049
1897,0.05
1898,0.049
1899,0.052
1900,0.049
1901,0.037
1902,0.043
1903,0.042
1904,0.04
1905,0.046
1906,0.049
1907,0.056
1908,0.051
1909,0.036
1910,0.038
1911,0.057
1912,0.053
1913,0.06
1914,0.074
1915,0.057
1916,0.049
1917,0.042
1918,0.039
1919,0.04
1920,0.051
1921,0.051
1922,0.053
1923,0.055
1924,0.043
1925,0.027
1926,0.04
1927,0.039
1928,0.039
1929,0.041
1930,0.03
1931,0.034
1932,0.03
1933,0.037
1934,0.033
1935,0.034
1936,0.029
1937,0.037
1938,0.042
1939,0.034
1940,0.037
1941,0.027
1942,0.032
1943,0.03
1944,0.036
1945,0.041
1946,0.043
1947,0.039
1948,0.035
1949,0.031
1950,0.038
1951,0.036
1952,0.037
1953,0.038
1954,0.035
1955,0.032
1956,0.032
1957,0.032
1958,0.036
1959,0.033
1960,0.033
1961,0.032
1962,0.023
1963,0.032
1964,0.024
1965,0.032
1966,0.034
1967,0.029
1968,0.025
1969,0.026
1970,0.024
1971,0.029
1972,0.032
1973,0.032
1974,0.025
1975,0.024
1976,0.025
1977,0.027
1978,0.031
1979,0.027
1980,0.029
1981,0.027
1982,0.027
1983,0.026
1984,0.024
