year,rwi
1833,0.781
1834,0.642
1835,0.777
1836,0.919
1837,0.594
1838,0.504
1839,0.657
1840,1.013
1841,0.884
1842,0.677
1843,1.222
1844,0.93
1845,1.628
1846,1.416
1847,1.036
1848,0.558
1849,0.938
1850,0.984
1851,0.97
1852,1.226
1853,1.03
1854,0.892
1855,1.178
1856,1.385
1857,1.092
1858,0.737
1859,0.814
1860,1.134
1861,1.22
1862,1.041
1863,1.36
1864,1.344
1865,1.121
1866,1.329
1867,1.095
1868,0.885
1869,1.064
1870,0.845
1871,1.041
1872,0.68
1873,1.181
1874,1.014
1875,0.885
1876,0.65
1877,1.54
1878,0.961
1879,1.265
1880,0.868
1881,0.807
1882,0.642
1883,1.088
1884,1.031
1885,0.837
1886,1.429
1887,0.895
1888,0.962
1889,1.396
1890,0.904
1891,0.959
1892,0.907
1893,0.966
1894,0.783
1895,1.187
1896,0.856
1897,1.158
1898,0.714
1899,0.797
1900,1.043
1901,0.999
1902,0.957
1903,0.998
1904,0.642
1905,0.909
1906,0.883
1907,0.873
1908,0.687
1909,0.799
1910,0.661
1911,0.812
1912,0.84
1913,0.723
1914,0.944
1915,2.678
1916,1.464
1917,1.169
1918,1.234
1919,0.965
1920,1.043
1921,0.675
1922,0.955
1923,1.246
1924,1.021
1925,0.676
1926,0.868
1927,0.572
1928,1.321
1929,1
1930,1.095
1931,0.881
1932,0.712
1933,1.076
1934,1.213
1935,0.954
1936,1.128
1937,0.752
1938,1.103
1939,1.349
1940,1.914
1941,1.023
1942,1.062
1943,0.986
1944,1.471
1945,0.858
1946,1.189
1947,0.839
1948,0.851
1949,0.522
1950,0.458
1951,0.628
1952,0.596
1953,0.595
1954,0.812
1955,0.59
1956,0.753
1957,0.922
1958,1.061
1959,1.12
1960,1.12
1961,0.734
1962,0.716
1963,1.091
1964,1.198
1965,0.978
1966,1.713
1967,0.788
1968,1.07
1969,1.033
1970,0.933
1971,0.829
1972,0.79
1973,1.27
1974,0.803
1975,0.928
1976,1.503
1977,0.863
1978,0.99
1979,1.071
1980,1.472
1981,1.039
1982,1.204
1983,1.263
1984,1.377
1985,1.088
1986,0.952
1987,1.145
1988,1.037
1989,0.845
1990,1.565
1991,1.152
1992,1.016
1993,0.923
