year,rwi
1516,1.144
1517,0.973
1518,0.79
1519,0.978
1520,1.057
1521,0.733
1522,0.42
1523,0.276
1524,0.33
1525,0.513
1526,0.878
1527,0.851
1528,1.087
1529,0.763
1530,0.852
1531,0.948
1532,1.026
1533,1.234
1534,1.023
1535,0.74
1536,0.6
1537,0.605
1538,0.648
1539,0.767
1540,0.922
1541,1.586
1542,0.612
1543,1.503
1544,1.275
1545,2.018
1546,1.322
1547,1.305
1548,1.305
1549,1.981
1550,2.525
1551,2.092
1552,0.9
1553,1.18
1554,0.962
1555,1.752
1556,0.867
1557,1.059
1558,0.675
1559,0.608
1560,0.91
1561,1.091
1562,0.952
1563,1.138
1564,1.418
1565,1.264
1566,1.003
1567,0.543
1568,0.491
1569,0.59
1570,0.495
1571,0.625
1572,0.672
1573,0.923
1574,0.916
1575,0.673
1576,0.651
1577,0.67
1578,0.724
1579,0.902
1580,1.036
1581,1.161
1582,1.727
1583,1.47
1584,1.226
1585,1.919
1586,0.634
1587,0.777
1588,0.722
1589,0.955
1590,0.785
1591,1.104
1592,1.043
1593,0.706
1594,1.05
1595,0.712
1596,1.057
1597,0.988
1598,1.331
1599,0.724
1600,0.962
1601,0.941
1602,1.195
1603,1.199
1604,0.924
1605,1.222
1606,2.154
1607,2.107
1608,1.054
1609,1.027
1610,0.705
1611,0.712
1612,0.507
1613,0.562
1614,0.753
1615,1.165
1616,0.636
1617,0.476
1618,0.904
1619,1.388
1620,1.133
1621,1.791
1622,1.391
1623,1.613
1624,1.065
1625,0.849
1626,0.663
1627,0.639
1628,0.971
1629,0.814
1630,0.894
1631,1.021
1632,0.74
1633,0.633
1634,0.568
1635,0.558
1636,0.43
1637,0.977
1638,0.383
1639,0.502
1640,0.669
1641,0.901
1642,1.255
1643,0.892
1644,0.985
1645,0.738
1646,1.698
1647,1.282
1648,0.539
1649,2.078
1650,0.77
1651,1.43
1652,1.203
1653,1.056
1654,0.623
1655,1.534
1656,0.628
1657,1.717
1658,1.198
1659,0.83
1660,0.478
1661,1.165
1662,0.836
1663,0.616
1664,0.383
1665,0.56
1666,0.76
1667,0.724
1668,0.642
1669,0.708
1670,1.113
1671,0.892
1672,0.62
1673,0.944
1674,1.026
1675,0.998
1676,1.245
1677,1.081
1678,1.046
1679,0.797
1680,0.69
1681,0.908
1682,0.811
1683,1.587
1684,1.226
1685,0.632
1686,0.791
1687,1.175
1688,1.549
1689,1.835
1690,1.261
1691,1.394
1692,1.032
1693,0.649
1694,1.226
1695,0.999
1696,0.422
1697,0.607
1698,0.845
1699,0.636
1700,0.437
1701,0.745
1702,0.617
1703,0.536
1704,0.4
1705,1.04
1706,1.154
1707,1.469
1708,1.957
1709,2.089
1710,1.586
1711,1.539
1712,0.799
1713,0.466
1714,0.396
1715,0.589
1716,0.796
1717,1.749
1718,0.85
1719,0.958
1720,0.73
1721,1.008
1722,0.882
1723,0.904
1724,0.736
1725,0.341
1726,0.613
1727,0.616
1728,0.934
1729,1.287
1730,1.252
1731,1.735
1732,1.569
1733,1.032
1734,0.919
1735,0.803
1736,1.179
1737,1.081
1738,0.48
1739,0.687
1740,0.918
1741,1.294
1742,1.044
1743,0.718
1744,0.828
1745,0.953
1746,1.4
1747,2.55
1748,0.702
1749,1.381
1750,0.818
1751,1.221
1752,0.926
1753,0.918
1754,0.792
1755,1.097
1756,0.839
1757,1.142
1758,1.061
1759,0.858
1760,0.923
1761,1.005
1762,0.74
1763,0.727
1764,0.546
1765,0.312
1766,1.015
1767,0.674
1768,1.053
1769,0.574
1770,0.765
1771,1.695
1772,0.295
1773,0.776
1774,0.801
1775,0.99
1776,0.857
1777,1.062
1778,0.787
1779,0.959
1780,0.964
1781,0.893
1782,1.526
1783,2.327
1784,0.596
1785,1.425
1786,0.829
1787,0.918
1788,1.173
1789,1.833
1790,0.598
1791,0.825
1792,1.306
1793,1.585
1794,0.556
1795,0.615
1796,0.409
1797,0.666
1798,0.608
1799,0.56
1800,0.81
1801,0.694
1802,0.874
1803,1.123
1804,1.564
1805,0.661
1806,1.03
1807,0.95
1808,0.523
1809,0.355
1810,0.408
1811,0.741
1812,1.039
1813,0.868
1814,0.728
1815,0.483
1816,0.039
1817,0.798
1818,0.584
1819,0.624
1820,0.975
1821,1.462
1822,1.165
1823,0.921
1824,0.824
1825,1.207
1826,0.526
1827,1.051
1828,0.344
1829,1.009
1830,0.551
1831,0.928
1832,0.462
1833,1.649
1834,0.551
1835,0.337
1836,1.182
1837,0.893
1838,0.872
1839,0.908
1840,0.993
1841,1.346
1842,1.379
1843,1.733
1844,1.23
1845,0.89
1846,1.267
1847,0.796
1848,0.951
1849,0.138
1850,0.727
1851,0.812
1852,0.803
1853,1.202
1854,1.505
1855,1.443
1856,1.877
1857,0.977
1858,1.054
1859,1.019
1860,0.759
1861,0.706
1862,0.547
1863,1.153
1864,1.251
1865,0.795
1866,0.4
1867,0.877
1868,1.089
1869,1.077
1870,1.326
1871,1.278
1872,1.369
1873,1.399
1874,0.9
1875,0.808
1876,0.758
1877,0.821
1878,1.892
1879,1.173
1880,1.062
1881,0.654
1882,0.936
1883,1.66
1884,1.017
1885,1.288
1886,1.656
1887,0.998
