year,rwi
1769,1.123
1770,0.896
1771,0.827
1772,0.948
1773,0.9
1774,0.805
1775,0.967
1776,0.937
1777,0.921
1778,1.001
1779,1.086
1780,1.003
1781,1.04
1782,1.063
1783,0.955
1784,1.04
1785,1.075
1786,1.053
1787,0.903
1788,1.136
1789,1.032
1790,0.901
1791,0.946
1792,0.821
1793,0.815
1794,0.824
1795,1.05
1796,1.049
1797,0.92
1798,1.061
1799,1.007
1800,0.997
1801,1.018
1802,1.09
1803,0.991
1804,0.995
1805,1.156
1806,0.892
1807,1.287
1808,1.225
1809,0.883
1810,0.836
1811,0.979
1812,1.061
1813,0.91
1814,0.903
1815,0.911
1816,0.822
1817,0.803
1818,1.024
1819,1.062
1820,0.884
1821,0.831
1822,0.827
1823,1.021
1824,0.873
1825,1.15
1826,0.941
1827,0.949
1828,1.261
1829,1.105
1830,0.922
1831,1.191
1832,1.02
1833,0.874
1834,0.874
1835,0.938
1836,0.946
1837,1.099
1838,1.143
1839,0.919
1840,0.962
1841,1.041
1842,0.908
1843,1.088
1844,1.109
1845,0.98
1846,1.22
1847,0.925
1848,0.987
1849,1.009
1850,0.944
1851,0.936
1852,1.064
1853,1.016
1854,0.963
1855,0.787
1856,0.811
1857,0.963
1858,0.862
1859,1.145
1860,0.901
1861,0.978
1862,0.992
1863,1.047
1864,1.253
1865,1.087
1866,0.948
1867,1.076
1868,1.031
1869,1.161
1870,0.954
1871,1.048
1872,0.942
1873,0.952
1874,0.961
1875,1.095
1876,0.996
1877,0.989
1878,1.131
1879,0.839
1880,0.8
1881,0.959
1882,0.887
1883,0.876
1884,1.117
1885,1.25
1886,1.009
1887,1.044
1888,0.861
1889,1.21
1890,1.016
1891,1.026
1892,1.203
1893,1.17
1894,1.042
1895,0.836
1896,0.721
1897,0.857
1898,0.897
1899,0.788
1900,0.759
1901,0.776
1902,0.903
1903,0.93
1904,1.05
1905,0.936
1906,1.033
1907,0.872
1908,0.874
1909,0.764
1910,0.982
1911,1.238
1912,0.829
1913,0.878
1914,0.833
1915,0.967
1916,0.963
1917,1.034
1918,0.958
1919,0.924
1920,1.127
1921,1.131
1922,0.948
1923,0.993
1924,1.093
1925,1.128
1926,0.996
1927,1.053
1928,1.174
1929,1.015
1930,1.11
1931,1.123
1932,1.154
1933,1.165
1934,0.815
1935,1.091
1936,0.953
1937,0.935
1938,0.908
1939,1.082
1940,1.073
1941,0.992
1942,0.894
1943,0.889
1944,0.797
1945,0.78
1946,1.004
1947,1.032
1948,1.033
1949,1.09
1950,1.007
1951,0.995
1952,1.141
1953,1.08
1954,0.951
1955,0.986
1956,0.994
1957,0.716
1958,0.975
1959,0.817
1960,0.753
1961,0.862
1962,0.638
1963,0.548
1964,0.905
1965,0.771
1966,0.898
1967,0.877
1968,0.992
1969,1.179
1970,1.469
1971,1.174
1972,0.917
1973,1.321
1974,1.057
1975,0.978
1976,1.212
1977,1.043
