year,rwi
1848,1.003
1849,1.41
1850,0.929
1851,0.724
1852,0.983
1853,0.613
1854,0.764
1855,1.126
1856,0.974
1857,1.11
1858,0.98
1859,0.813
1860,0.689
1861,0.967
1862,1.231
1863,1.412
1864,1.045
1865,0.912
1866,0.937
1867,1.13
1868,1.006
1869,1.152
1870,0.78
1871,1.066
1872,0.78
1873,1.038
1874,1.046
1875,0.878
1876,1.263
1877,0.914
1878,0.872
1879,0.874
1880,0.871
1881,0.824
1882,1.016
1883,1.124
1884,1.107
1885,1.035
1886,1.356
1887,0.797
1888,0.951
1889,0.962
1890,1.619
1891,1.04
1892,0.861
1893,1.109
1894,1.016
1895,0.998
1896,0.697
1897,0.713
1898,0.635
1899,0.751
1900,0.855
1901,1.11
1902,0.776
1903,0.795
1904,0.741
1905,0.881
1906,0.918
1907,1.238
1908,1.243
1909,1.354
1910,1.143
1911,0.874
1912,1.079
1913,0.872
1914,0.926
1915,1.154
1916,0.981
1917,0.849
1918,0.982
1919,0.951
1920,0.932
1921,1.073
1922,1.209
1923,1.568
1924,1.114
1925,0.67
1926,0.748
1927,0.779
1928,0.943
1929,1.005
1930,0.825
1931,0.842
1932,1.005
1933,0.797
1934,0.766
1935,0.742
1936,0.652
1937,1.029
1938,1.154
1939,1.065
1940,0.92
1941,0.683
1942,1.176
1943,1.309
1944,1.064
1945,1.324
1946,1.42
1947,1.241
1948,0.971
1949,1.199
1950,1.195
1951,0.725
1952,0.852
1953,0.841
1954,0.948
1955,0.96
1956,0.837
1957,0.826
1958,0.797
1959,0.79
1960,0.657
1961,0.868
1962,0.734
1963,0.931
1964,0.779
1965,0.875
1966,1.034
1967,1.069
1968,1.136
1969,1.249
1970,1.127
1971,1.116
1972,1.31
1973,1.184
1974,1.029
1975,1.153
1976,1.029
1977,0.861
1978,1.084
1979,0.958
1980,0.974
1981,0.852
1982,0.952
1983,1.007
1984,0.946
1985,0.82
1986,0.796
1987,0.87
1988,1.039
1989,1.234
1990,1.082
1991,1.271
1992,1.031
1993,1.016
1994,1.082
1995,0.777
1996,1.14
1997,1.2
1998,0.81
1999,0.869
2000,0.799
2001,1.032
2002,0.846
