year,rwi
1526,1.146
1527,0.844
1528,1.356
1529,0.678
1530,1.434
1531,1.35
1532,1.017
1533,0.666
1534,1.21
1535,1.159
1536,1.513
1537,1.84
1538,1.469
1539,1.214
1540,1.25
1541,1.303
1542,1.179
1543,1.175
1544,1.585
1545,1.415
1546,1.398
1547,1.036
1548,1.322
1549,1.412
1550,1.114
1551,0.692
1552,1.24
1553,1.115
1554,1.166
1555,1.013
1556,1.077
1557,0.85
1558,0.901
1559,0.85
1560,0.685
1561,0.718
1562,0.858
1563,0.886
1564,1.171
1565,1.222
1566,1.283
1567,1.245
1568,1.245
1569,1.111
1570,1.196
1571,1.158
1572,1.043
1573,0.904
1574,0.748
1575,0.844
1576,0.843
1577,0.963
1578,0.786
1579,0.892
1580,0.91
1581,1.145
1582,1.022
1583,0.97
1584,1.041
1585,0.856
1586,0.793
1587,0.716
1588,0.683
1589,0.794
1590,0.79
1591,0.902
1592,0.919
1593,1.021
1594,1.028
1595,0.938
1596,0.916
1597,1.015
1598,1.223
1599,1.284
1600,1.295
1601,1.202
1602,1.15
1603,0.881
1604,0.928
1605,0.886
1606,0.764
1607,0.8
1608,0.95
1609,0.908
1610,1.016
1611,1.14
1612,1.108
1613,1.084
1614,1.451
1615,1.156
1616,0.996
1617,0.983
1618,0.923
1619,0.99
1620,0.956
1621,1.003
1622,0.958
1623,0.815
1624,0.913
1625,1.081
1626,0.969
1627,0.846
1628,0.848
1629,0.727
1630,0.82
1631,0.817
1632,0.905
1633,0.994
1634,1.056
1635,1.191
1636,1.144
1637,1.104
1638,1.095
1639,1.175
1640,1.353
1641,1.002
1642,0.832
1643,0.739
1644,0.799
1645,0.677
1646,0.711
1647,0.751
1648,0.689
1649,0.752
1650,0.766
1651,0.748
1652,0.716
1653,0.894
1654,0.644
1655,0.85
1656,0.825
1657,0.766
1658,0.868
1659,0.763
1660,0.816
1661,0.973
1662,0.925
1663,0.883
1664,0.787
1665,0.969
1666,0.806
1667,0.819
1668,0.665
1669,0.69
1670,0.699
1671,0.682
1672,0.616
1673,0.711
1674,0.85
1675,0.814
1676,0.696
1677,0.703
1678,0.592
1679,0.579
1680,0.495
1681,0.695
1682,0.972
1683,0.955
1684,0.957
1685,1.057
1686,0.938
1687,0.828
1688,0.741
1689,0.913
1690,0.921
1691,1.167
1692,1.418
1693,1.282
1694,1.631
1695,1.25
1696,1.049
1697,1.156
1698,0.893
1699,1.006
1700,1.093
1701,1.15
1702,1.117
1703,0.778
1704,0.918
1705,1.102
1706,0.877
1707,1.009
1708,0.963
1709,0.884
1710,1.076
1711,1.361
1712,1.379
1713,1.361
1714,0.913
1715,0.643
1716,0.53
1717,0.979
1718,1.163
1719,1.285
1720,1.213
1721,1.305
1722,1.092
1723,0.745
1724,0.883
1725,0.742
1726,0.743
1727,0.774
1728,0.946
1729,1.121
1730,1.032
1731,1.045
1732,0.877
1733,0.616
1734,0.698
1735,0.937
1736,1.067
1737,1.161
