year,rwi
1616,1.479
1617,2.25
1618,1.905
1619,2.089
1620,1.056
1621,0.937
1622,0.97
1623,3.317
1624,2.75
1625,2.496
1626,2.271
1627,2.331
1628,2.163
1629,2.61
1630,1.698
1631,2.246
1632,1.898
1633,1.785
1634,2.158
1635,2.094
1636,1.295
1637,1.841
1638,1.418
1639,2.504
1640,2.242
1641,2.212
1642,2.139
1643,1.409
1644,1.689
1645,1.872
1646,2.451
1647,1.774
1648,2.093
1649,2.616
1650,1.833
1651,2.256
1652,1.794
1653,1.171
1654,1.848
1655,2.113
1656,2.099
1657,2.115
1658,1.796
1659,2.042
1660,1.6
1661,1.736
1662,2.09
1663,1.968
1664,1.738
1665,1.086
1666,0.979
1667,1.22
1668,1.235
1669,0.722
1670,1.084
1671,1.226
1672,1.007
1673,1.278
1674,1.887
1675,1.922
1676,1.175
1677,0.574
1678,1.011
1679,0.731
1680,1.181
1681,1.011
1682,1.42
1683,1.014
1684,0.662
1685,1.144
1686,1.085
1687,0.656
1688,0.396
1689,1.765
1690,1.678
1691,1.387
1692,1.702
