year,rwi
1635,0.83
1636,0.785
1637,0.828
1638,0.837
1639,0.905
1640,1.001
1641,0.871
1642,1.036
1643,0.841
1644,1.145
1645,1.02
1646,1.004
1647,1.208
1648,1.179
1649,1.396
1650,1.486
1651,1.319
1652,0.864
1653,1.226
1654,1.233
1655,1.257
1656,1.192
1657,1.036
1658,1.215
1659,1.131
1660,0.992
1661,1.042
1662,1.172
1663,0.823
1664,0.829
1665,0.808
1666,0.872
1667,1.032
1668,1.033
1669,0.983
1670,0.926
1671,0.85
1672,0.845
1673,0.938
1674,0.976
1675,1.005
1676,0.936
1677,1.098
1678,1.111
1679,1.066
1680,0.928
1681,0.896
1682,0.989
1683,0.913
1684,0.912
1685,0.885
1686,0.909
1687,0.902
1688,0.822
1689,0.853
1690,0.881
1691,0.85
1692,0.913
1693,0.779
1694,0.749
1695,0.716
1696,0.601
1697,0.793
1698,0.733
1699,0.787
1700,0.798
1701,0.747
1702,0.821
1703,0.857
1704,0.861
1705,0.999
1706,0.925
1707,0.981
1708,0.881
1709,0.845
1710,1.054
1711,0.958
1712,0.959
1713,0.901
1714,0.932
1715,0.879
1716,0.804
1717,0.911
1718,0.97
1719,0.954
1720,1.205
1721,1.174
1722,1.153
1723,1.012
1724,1.204
1725,0.818
1726,0.916
1727,1.073
1728,1.259
1729,1.168
1730,1.212
1731,1.143
1732,1.065
1733,1.162
1734,0.983
1735,1.083
1736,1.117
1737,1.078
1738,1.102
1739,1.148
1740,0.874
1741,0.964
1742,1.138
1743,1.001
1744,1.075
1745,1.095
1746,1.133
1747,1.149
1748,1.065
1749,1.021
1750,1.008
1751,0.92
1752,0.969
1753,0.944
1754,1.134
1755,1.103
1756,1.099
1757,1.111
1758,1.17
1759,1.111
1760,1.102
1761,1.133
1762,1.128
1763,0.965
1764,0.872
1765,0.969
1766,0.928
1767,0.992
1768,0.885
1769,0.893
1770,0.987
1771,0.959
1772,0.991
1773,0.9
1774,1.059
1775,1.161
1776,1.086
1777,0.983
1778,1.035
1779,1.005
1780,1.113
1781,1.018
1782,0.919
1783,0.789
1784,0.982
1785,1.053
1786,1.085
1787,1.058
1788,0.905
1789,0.879
1790,0.919
1791,0.945
1792,1.041
1793,0.992
1794,1.107
1795,1.101
1796,1.01
1797,0.981
1798,0.903
1799,1.003
1800,0.989
1801,1.053
1802,1.095
1803,1.025
1804,0.986
1805,0.876
1806,0.919
1807,0.986
1808,0.829
1809,0.869
1810,1.021
1811,0.999
1812,0.876
1813,0.87
1814,1.127
1815,1.093
1816,1.113
1817,1.094
1818,1.085
1819,1.191
1820,1.243
1821,1.127
1822,1.353
1823,1.279
1824,1.348
1825,1.006
1826,1.212
1827,1.143
1828,1.124
1829,0.873
1830,0.99
1831,0.924
1832,0.866
1833,0.836
1834,0.746
1835,0.721
1836,0.76
1837,0.745
1838,0.823
1839,0.967
1840,0.948
1841,0.959
1842,0.961
1843,0.96
1844,0.975
1845,0.856
1846,0.905
1847,0.936
1848,0.978
1849,0.887
1850,1.075
1851,1.054
1852,1.071
1853,1.126
1854,1.062
1855,1.16
1856,1.181
1857,0.907
1858,0.966
1859,0.874
1860,1.151
1861,1.013
1862,1.262
1863,1.218
1864,1.042
1865,1.032
1866,1.125
1867,0.982
1868,0.855
1869,1.1
1870,0.961
1871,1.101
1872,1.081
1873,1.294
1874,1.196
1875,1.177
1876,1.319
1877,1.42
1878,1.271
1879,1.251
1880,1.091
1881,1.247
1882,1.117
1883,1.114
1884,0.968
1885,1.263
1886,1.147
1887,1.055
1888,0.954
1889,0.898
1890,0.86
1891,0.937
1892,0.977
1893,0.92
1894,0.882
1895,0.957
1896,0.937
1897,0.879
1898,0.907
1899,1.111
1900,1.201
1901,1.225
1902,1.399
1903,1.224
1904,1.383
1905,1.145
1906,1.148
1907,1.181
1908,1.125
1909,1.085
1910,1.061
1911,0.934
1912,1
1913,1.04
1914,1.158
1915,1.124
1916,1.007
1917,0.964
1918,0.842
1919,0.894
1920,0.968
1921,0.849
1922,0.974
1923,0.91
1924,1.035
1925,1.071
1926,1.119
1927,1.256
1928,0.931
1929,0.681
1930,0.853
1931,0.896
1932,0.711
1933,0.674
1934,0.776
1935,0.89
1936,0.804
1937,0.912
1938,0.897
1939,0.959
1940,0.948
1941,1.087
1942,1.06
1943,0.708
1944,0.927
1945,1.044
1946,1
1947,0.751
1948,0.934
1949,0.747
1950,1.025
1951,0.747
1952,0.869
1953,0.865
1954,0.97
1955,0.801
1956,0.95
1957,0.788
1958,0.853
1959,0.771
1960,0.904
1961,0.882
1962,1.087
1963,0.925
1964,0.888
1965,0.966
1966,0.732
1967,0.717
1968,0.843
1969,0.955
1970,0.943
1971,0.783
1972,0.828
1973,0.84
1974,0.955
1975,0.89
1976,0.935
1977,1.095
1978,1.117
1979,0.64
