year,rwi
1770,1.325
1771,1.28
1772,0.854
1773,0.678
1774,1.308
1775,1.333
1776,1
1777,1.097
1778,0.903
1779,0.999
1780,0.822
1781,1.305
1782,1.236
1783,0.566
1784,0.854
1785,0.771
1786,0.827
1787,1.022
1788,0.873
1789,0.89
1790,1.013
1791,0.779
1792,1.025
1793,0.795
1794,1.047
1795,0.846
1796,1.053
1797,0.928
1798,0.949
1799,0.706
1800,0.443
1801,0.624
1802,0.712
1803,0.709
1804,1.176
1805,0.854
1806,0.878
1807,1.123
1808,0.947
1809,1.017
1810,1.541
1811,1.608
1812,0.894
1813,0.982
1814,1.576
1815,1.429
1816,0.799
1817,1.066
1818,0.735
1819,0.984
1820,0.564
1821,0.701
1822,1.048
1823,0.836
1824,1.18
1825,1.306
1826,1.087
1827,1.2
1828,1.202
1829,0.684
1830,0.943
1831,0.863
1832,1.044
1833,0.986
1834,1.039
1835,0.879
1836,0.81
1837,0.871
1838,0.906
1839,0.956
1840,0.889
1841,0.976
1842,1.203
1843,0.897
1844,1.308
1845,1.132
1846,1.095
1847,0.999
1848,0.928
1849,1.098
1850,0.95
1851,1.237
1852,0.854
1853,1.011
1854,1.014
1855,1.017
1856,0.952
1857,0.871
1858,0.933
1859,1.067
1860,1.045
1861,0.965
1862,1.186
1863,1.001
1864,1.169
1865,0.841
1866,0.98
1867,0.923
1868,0.846
1869,1.159
1870,0.804
1871,0.731
1872,1.001
1873,0.777
1874,0.773
1875,0.893
1876,1.111
1877,1.03
1878,1.165
1879,1.326
1880,1.168
1881,1.178
1882,1.191
1883,0.965
1884,0.904
1885,1.143
1886,0.77
1887,0.703
1888,0.79
1889,0.995
1890,0.905
1891,1.042
1892,1.36
1893,1.009
1894,0.882
1895,0.702
1896,1.041
1897,1.055
1898,1.09
1899,0.874
1900,0.816
1901,0.827
1902,0.996
1903,1.237
1904,1.024
1905,0.923
1906,0.814
1907,1.051
1908,1.073
1909,1.098
1910,0.668
1911,0.892
1912,1.164
1913,1.053
1914,1.101
1915,1.366
1916,1.233
1917,0.997
1918,0.951
1919,0.991
1920,0.892
1921,0.89
1922,1.221
1923,0.923
1924,1.221
1925,0.986
1926,0.911
1927,1.001
1928,1.108
1929,0.88
1930,1.069
1931,0.68
1932,1.092
1933,0.987
1934,0.501
1935,1.2
1936,0.837
1937,0.889
1938,1.107
1939,0.91
1940,0.675
1941,1.018
1942,1.179
1943,1.053
1944,1.196
1945,1.165
1946,1.03
1947,1.234
1948,0.808
1949,0.983
1950,1.078
1951,1.185
1952,0.947
1953,1.137
1954,0.906
1955,0.934
1956,0.688
1957,0.854
1958,0.915
1959,0.963
1960,0.965
1961,1.174
1962,1.026
1963,0.803
1964,1.029
1965,1.1
1966,1.095
1967,0.927
1968,1.021
1969,1.222
1970,1.052
1971,0.901
1972,0.957
1973,1.007
1974,1.11
1975,1.028
1976,1.015
1977,0.716
1978,1.058
1979,1.018
1980,0.974
1981,0.895
1982,1.126
1983,1.062
