year,rwi
1530,0.559
1531,0.722
1532,0.84
1533,0.918
1534,0.899
1535,0.915
1536,1.12
1537,1.152
1538,0.906
1539,0.983
1540,0.785
1541,0.795
1542,0.84
1543,0.845
1544,0.79
1545,0.928
1546,1.108
1547,0.936
1548,0.915
1549,0.936
1550,0.748
1551,0.645
1552,0.811
1553,0.981
1554,0.812
1555,0.962
1556,0.976
1557,0.965
1558,0.901
1559,1.118
1560,0.999
1561,0.962
1562,0.863
1563,1.009
1564,0.959
1565,1.011
1566,1.107
1567,1.178
1568,1.113
1569,1.098
1570,1.283
1571,1.204
1572,1.174
1573,1.31
1574,1.128
1575,1.226
1576,1.369
1577,1.211
1578,1.155
1579,1.226
1580,1.14
1581,0.972
1582,1.26
1583,1.309
1584,1.196
1585,1.077
1586,1.232
1587,1.185
1588,1.167
1589,1.281
1590,1.336
1591,1.215
1592,1.107
1593,1.023
1594,1.025
1595,1.03
1596,1.145
1597,1.242
1598,0.993
1599,0.84
1600,1.139
1601,0.684
1602,0.946
1603,1.454
1604,1.14
1605,1.05
1606,1.237
1607,1.421
1608,1.115
1609,1.362
1610,0.966
1611,1.159
1612,1.055
1613,1.065
1614,1.157
1615,0.93
1616,0.916
1617,1.152
1618,1.102
1619,1.162
1620,1.049
1621,0.993
1622,0.714
1623,1.336
1624,1.115
1625,1.149
1626,1.145
1627,0.795
1628,1.021
1629,0.949
1630,0.662
1631,0.563
1632,0.497
1633,0.692
1634,0.813
1635,0.604
1636,0.879
1637,0.851
1638,0.849
1639,0.904
1640,0.922
1641,0.633
1642,0.551
1643,0.88
1644,0.92
1645,1.078
1646,1.104
1647,1.054
1648,1.324
1649,1.438
1650,1.055
1651,1.056
1652,0.861
1653,0.724
1654,1.1
1655,1.084
1656,0.765
1657,0.708
1658,0.738
1659,1.012
1660,0.932
1661,0.945
1662,0.832
1663,0.863
1664,1.155
1665,1.184
1666,0.904
1667,0.803
1668,0.94
1669,0.922
1670,1.006
1671,0.927
1672,0.936
1673,1.064
1674,1.027
1675,1.105
1676,0.993
1677,1.138
1678,0.899
1679,0.905
1680,1.022
1681,0.988
1682,0.976
1683,1.033
1684,1.06
1685,1.15
1686,1.03
1687,0.929
1688,0.914
1689,1.086
1690,1.104
1691,1.043
1692,0.962
1693,0.953
1694,0.938
1695,0.624
1696,0.67
1697,0.916
1698,0.916
1699,0.766
1700,0.866
1701,0.888
1702,0.901
1703,0.906
1704,0.816
1705,1.028
1706,0.924
1707,0.725
1708,0.937
1709,0.874
1710,0.968
1711,0.846
1712,0.882
1713,0.765
1714,0.784
1715,0.739
1716,0.858
1717,1.025
1718,0.746
1719,0.623
1720,0.737
1721,0.76
1722,0.783
1723,0.831
1724,0.931
1725,0.988
1726,1.195
1727,1.239
1728,1.276
1729,1.18
1730,1.146
1731,1.307
1732,1.15
1733,1.299
1734,1.45
1735,1.215
1736,1.037
1737,0.922
1738,0.988
1739,1.344
1740,1.004
1741,1.298
1742,1.335
1743,1.41
1744,1.173
1745,1.247
1746,1.136
1747,1.16
1748,1.134
1749,0.866
1750,1.084
1751,1.116
1752,0.795
1753,1.157
1754,1.223
1755,1.141
1756,1.26
1757,0.737
1758,0.997
1759,1.039
1760,1.139
1761,1.065
1762,1.161
1763,1.041
1764,1.079
1765,1.144
1766,0.808
1767,1.084
1768,1.229
1769,1.223
1770,1.074
1771,0.95
1772,0.939
1773,1.082
1774,0.985
1775,0.85
1776,0.955
1777,0.87
1778,0.954
1779,0.893
1780,0.965
1781,1.013
1782,1.058
1783,0.781
1784,0.461
1785,0.779
1786,0.844
1787,0.926
1788,1.102
1789,1.045
1790,1.34
1791,1.179
1792,1.138
1793,0.985
1794,1.277
1795,0.938
1796,0.873
1797,1.112
1798,1.311
1799,1.089
1800,0.864
1801,1.061
1802,1.191
1803,0.843
1804,0.893
1805,0.842
1806,1.008
1807,1.214
1808,1.055
1809,1.013
1810,1.024
1811,1.265
1812,1.132
1813,1.125
1814,1.018
1815,1.107
1816,1.198
1817,1.062
1818,0.936
1819,1.047
1820,1.091
1821,1.062
1822,1.083
1823,0.853
1824,0.851
1825,0.94
1826,0.998
1827,1.213
1828,1.111
1829,1.07
1830,1.052
1831,1.168
1832,0.496
1833,1.187
1834,1.15
1835,0.784
1836,0.738
1837,0.862
1838,0.656
1839,1.102
1840,0.803
1841,0.933
1842,0.887
1843,1.071
1844,0.782
1845,0.639
1846,0.807
1847,0.622
1848,0.856
1849,0.72
1850,0.895
1851,0.976
1852,0.939
1853,0.809
1854,0.921
1855,1.051
1856,0.844
1857,0.648
1858,0.858
1859,0.997
1860,0.852
1861,0.967
1862,0.917
1863,1.339
1864,0.641
1865,0.845
1866,1.005
1867,1.059
