year,rwi
1655,0.813
1656,2.114
1657,1.172
1658,0.935
1659,1.202
1660,1.535
1661,4.732
1662,3.592
1663,3.422
1664,1.361
1665,0.653
1666,1.394
1667,1.998
1668,1.411
1669,1.461
1670,0.93
1671,0.731
1672,1.374
1673,1.282
1674,1.394
1675,1.074
1676,1.07
1677,1.017
1678,0.943
1679,1.332
1680,0.543
1681,0.815
1682,1.054
1683,1.126
1684,1.132
1685,1.122
1686,0.938
1687,0.848
1688,0.936
1689,0.9
1690,0.927
1691,0.919
1692,0.939
1693,0.618
1694,0.951
1695,0.761
1696,0.551
1697,0.616
1698,1.018
1699,1.254
1700,1.454
1701,1.848
1702,1.624
1703,1.27
1704,1.357
1705,1.249
1706,1.049
1707,1.204
1708,0.779
1709,0.923
1710,0.812
1711,1.244
1712,1.067
1713,1.116
1714,1.105
1715,0.991
1716,1.335
1717,1.063
1718,1.042
1719,0.866
1720,0.852
1721,0.87
1722,0.827
1723,0.796
1724,0.753
1725,0.851
1726,1.031
1727,1.053
1728,0.726
1729,1.225
1730,1.163
1731,0.781
1732,0.863
1733,0.76
1734,0.808
1735,0.664
1736,0.537
1737,0.625
1738,0.715
1739,0.919
1740,1.022
1741,1.067
1742,0.926
1743,0.811
1744,0.738
1745,0.956
1746,0.738
1747,0.846
1748,0.91
1749,0.677
1750,0.84
1751,0.824
1752,0.79
1753,0.686
1754,0.611
1755,0.608
1756,0.791
1757,0.883
1758,1.206
1759,1.506
1760,1.373
1761,1.228
1762,0.82
1763,0.966
1764,1.07
1765,1.137
1766,1.096
1767,0.852
1768,1.158
1769,1.103
1770,0.999
1771,0.99
1772,0.989
1773,0.768
1774,0.554
1775,1.045
1776,1.425
1777,0.85
1778,1.524
1779,1.218
1780,1.523
1781,1.515
1782,1.149
1783,1.243
1784,1.036
1785,0.86
1786,0.966
1787,1.091
1788,1.004
1789,0.868
1790,0.952
1791,1.244
1792,1.015
1793,0.745
1794,0.861
1795,1.172
1796,1.183
1797,1.164
1798,1.082
1799,0.878
1800,1.045
1801,1.053
1802,1.172
1803,0.775
1804,0.883
1805,0.987
1806,0.73
1807,0.884
1808,0.923
1809,0.867
1810,0.773
1811,0.816
1812,0.891
1813,0.869
1814,0.889
1815,0.712
1816,0.709
1817,0.957
1818,0.996
1819,1.21
1820,0.871
1821,0.976
1822,0.95
1823,1.057
1824,0.979
1825,0.894
1826,0.794
1827,1.225
1828,1.087
1829,0.867
1830,1.098
1831,1.084
1832,0.932
1833,1.033
1834,0.617
1835,0.843
1836,0.985
1837,1.027
1838,0.943
1839,0.916
1840,1.225
1841,0.77
1842,0.985
1843,0.955
1844,1.117
1845,1.114
1846,1.153
1847,0.874
1848,0.982
1849,0.782
1850,0.797
1851,0.821
1852,0.945
1853,0.805
1854,0.986
1855,0.897
1856,0.929
1857,0.865
1858,0.879
1859,0.797
1860,0.898
1861,0.864
1862,0.897
1863,0.942
1864,0.779
1865,0.849
1866,0.992
1867,0.841
1868,0.891
1869,1.097
1870,0.971
1871,0.879
1872,0.86
1873,1.005
1874,0.695
1875,1.113
1876,1.241
1877,0.999
1878,0.844
1879,0.84
1880,1.038
1881,0.991
1882,1.336
1883,1.211
1884,1.108
1885,0.873
1886,0.827
1887,0.789
1888,0.96
1889,1.168
1890,0.91
1891,1.091
1892,1.205
1893,1.025
1894,0.942
1895,1.159
1896,0.881
1897,1.032
1898,1.163
1899,1.129
1900,1.072
1901,0.762
1902,1.015
1903,1.16
1904,1.132
1905,1.01
1906,0.975
1907,1.291
1908,1.055
1909,1.032
1910,1.316
1911,0.801
1912,1.369
1913,0.909
1914,0.765
1915,1.312
1916,1.125
1917,1.036
1918,0.789
1919,1.095
1920,0.956
1921,0.868
1922,1.047
1923,1.117
1924,1.293
1925,0.978
1926,0.799
1927,1.103
1928,1.194
1929,1.101
1930,0.827
1931,0.885
1932,0.993
1933,0.924
1934,0.742
1935,1.273
1936,0.721
1937,1.13
1938,1.289
1939,0.931
1940,0.937
1941,0.768
1942,1.261
1943,1.089
1944,0.806
1945,1.211
1946,1.053
1947,0.996
1948,1.019
1949,1.064
1950,0.996
1951,1.122
1952,0.778
1953,0.785
1954,0.802
1955,1.159
1956,0.848
1957,1.111
1958,1.079
1959,0.955
1960,1.032
1961,1.012
1962,0.913
1963,0.952
1964,0.879
1965,0.968
1966,0.908
1967,1.001
1968,1.185
1969,0.974
1970,0.968
1971,0.854
1972,0.751
1973,1.097
1974,1.047
1975,0.891
1976,1.172
1977,0.879
1978,0.922
1979,0.963
1980,0.984
1981,0.784
