year,rwi
1692,0.916
1693,0.854
1694,1.619
1695,1.079
1696,0.913
1697,0.702
1698,0.661
1699,0.9
1700,0.837
1701,0.838
1702,0.72
1703,0.668
1704,0.929
1705,0.936
1706,0.981
1707,0.976
1708,0.931
1709,1.046
1710,1.179
1711,1.271
1712,1.224
1713,1.028
1714,1.287
1715,1.103
1716,0.828
1717,0.888
1718,0.865
1719,1.23
1720,0.998
1721,1.038
1722,1.065
1723,0.952
1724,0.858
1725,1.311
1726,1.161
1727,1.254
1728,1.134
1729,1.195
1730,1.351
1731,1.163
1732,1.305
1733,0.849
1734,0.808
1735,0.766
1736,0.69
1737,0.935
1738,1.059
1739,0.608
1740,0.888
1741,1.032
1742,0.996
1743,0.716
1744,0.755
1745,0.902
1746,0.953
1747,1.199
1748,0.832
1749,0.824
1750,1.201
1751,1.154
1752,0.862
1753,0.927
1754,1.227
1755,1.103
1756,1.231
1757,0.956
1758,1.241
1759,1.27
1760,1.392
1761,1.297
1762,1.138
1763,0.953
1764,0.936
1765,0.931
1766,1.108
1767,0.811
1768,1.21
1769,1.102
1770,0.795
1771,1.039
1772,0.766
1773,1.029
1774,0.948
1775,1.048
1776,0.825
1777,0.865
1778,0.822
1779,1.108
1780,0.792
1781,1.011
1782,0.833
1783,0.719
1784,0.738
1785,0.844
1786,0.934
1787,0.916
1788,0.979
1789,0.83
1790,0.995
1791,0.922
1792,0.887
1793,0.893
1794,0.576
1795,0.991
1796,0.95
1797,1.017
1798,1.197
1799,0.821
1800,0.851
1801,1.085
1802,0.976
1803,1.013
1804,1.202
1805,1.161
1806,1.011
1807,1.04
1808,0.971
1809,0.881
1810,0.842
1811,0.562
1812,0.939
1813,0.908
1814,1.094
1815,1.106
1816,0.562
1817,0.969
1818,0.722
1819,0.832
1820,0.555
1821,0.792
1822,0.894
1823,1.207
1824,1.193
1825,1.157
1826,1.004
1827,1.074
1828,1.073
1829,0.715
1830,1.254
1831,0.813
1832,0.829
1833,0.931
1834,0.987
1835,0.839
1836,0.818
1837,0.858
1838,0.781
1839,0.535
1840,1.241
1841,0.919
1842,1.25
1843,0.95
1844,1.227
1845,0.98
1846,1.011
1847,1.188
1848,1.071
1849,1.185
1850,0.878
1851,1.065
1852,1.062
1853,1.392
1854,1.402
1855,1.144
1856,0.745
1857,1.177
1858,0.948
1859,0.756
1860,1.137
1861,1.2
1862,1.672
1863,1.224
1864,0.936
1865,1.339
1866,1.317
1867,0.859
1868,1.144
1869,1.547
1870,0.896
1871,0.821
1872,1.015
1873,1.086
1874,0.964
1875,1.114
1876,1.081
1877,1.041
1878,1.321
1879,1.177
1880,1.065
1881,1.182
1882,1.261
1883,0.905
1884,1.078
1885,0.997
1886,0.811
1887,0.833
1888,0.67
1889,0.94
1890,0.881
1891,0.957
1892,1.373
1893,0.996
1894,0.955
1895,0.708
1896,1.314
1897,1.302
1898,1.091
1899,1.015
1900,1.02
1901,0.868
1902,1.391
1903,1.282
1904,1.081
1905,1.227
1906,0.993
1907,1.138
1908,1.096
1909,1.155
1910,0.751
1911,0.857
1912,1.379
1913,0.952
1914,0.777
1915,1.355
1916,1.25
1917,1.077
1918,0.78
1919,0.739
1920,0.931
1921,0.685
1922,0.844
1923,0.763
1924,1.242
1925,0.829
1926,0.82
1927,1.061
1928,1.169
1929,0.968
1930,0.805
1931,0.713
1932,0.954
1933,0.807
1934,0.727
1935,1.18
1936,0.829
1937,1.063
1938,1.041
1939,0.921
1940,0.656
1941,0.806
1942,1.084
1943,1.066
1944,0.701
1945,0.982
1946,0.806
1947,0.847
1948,0.922
1949,0.884
1950,1.126
1951,1.141
1952,0.97
1953,1.055
1954,0.861
1955,0.791
1956,0.977
1957,1.069
1958,1.028
1959,0.828
1960,1.255
1961,1.361
1962,0.965
1963,0.93
1964,0.867
1965,1.01
1966,0.932
1967,0.946
1968,1.159
1969,1.15
1970,0.808
1971,1.267
1972,0.846
1973,1.012
1974,1.21
1975,1.378
1976,1.051
1977,0.847
1978,0.978
1979,0.956
1980,1.18
1981,1.294
1982,1.454
1983,1.069
1984,0.736
1985,1.224
