year,rwi
1481,2.27
1482,4.3
1483,5.21
1484,2.21
1485,2.11
1486,1.45
1487,3.22
1488,2.8
1489,2.95
1490,3.05
1491,1.18
1492,0.97
1493,2
1494,2.1
1495,1.74
1496,1.79
1497,1.28
1498,2.37
1499,1.94
1500,2.975
1501,2.645
1502,2.42
1503,2.23
1504,3.25
1505,2.385
1506,3.25
1507,2.21
1508,1.265
1509,1.525
1510,1.39
1511,1.695
1512,1.185
1513,1.44
1514,1.13
1515,0.675
1516,1.41
1517,1.205
1518,1.93
1519,1.43
1520,1.545
1521,1.39
1522,1.505
1523,1.085
1524,1.305
1525,1.615
1526,1.24
1527,0.99
1528,1.255
1529,1.57
1530,2.305
1531,1.695
1532,2.005
1533,1.715
1534,2.16
1535,1.245
1536,1.445
1537,2.155
1538,1.38
1539,1.025
1540,0.65
1541,0.72
1542,1.135
1543,1.015
1544,1.95
1545,1.35
1546,1.685
1547,2.02
1548,1.36
1549,1.77
1550,2.235
1551,2.81
1552,1.14
1553,1.44
1554,1.395
1555,1.785
1556,1.73
1557,1.44
1558,1.12
1559,1.23
1560,1.02
1561,1.225
1562,1.6
1563,1.62
1564,0.84
1565,0.59
1566,0.8
1567,0.92
1568,0.855
1569,0.63
1570,0.61
1571,0.46
1572,1.895
1573,1.215
1574,1.205
1575,1.085
1576,1.785
1577,1.14
1578,1.66
1579,1.43
1580,1.5
1581,0.87
1582,0.955
1583,1.085
1584,1.17
1585,1.225
1586,0.83
1587,1.145
1588,1.305
1589,1.83
1590,0.905
1591,1.185
1592,1.4
1593,1.14
1594,0.745
1595,1.352
1596,1.599
1597,1.967
1598,1.459
1599,1.518
1600,0.782
1601,0.948
1602,0.817
1603,0.849
1604,1.587
1605,1.254
1606,1.565
1607,1.358
1608,1.22
1609,1.111
1610,1.425
1611,1.406
1612,1.19
1613,1.42
1614,1.027
1615,0.978
1616,1.315
1617,1.058
1618,1.229
1619,1.224
1620,1.131
1621,1.017
1622,0.94
1623,1.156
1624,1.251
1625,1.089
1626,1.263
1627,1.358
1628,0.933
1629,1.293
1630,1.191
1631,1.357
1632,1.129
1633,1.375
1634,1.483
1635,1.17
1636,1.553
1637,0.946
1638,0.932
1639,0.81
1640,0.709
1641,0.9
1642,1.039
1643,1.157
1644,0.966
1645,0.868
1646,0.716
1647,0.823
1648,0.898
1649,0.841
1650,0.983
1651,1.074
1652,0.604
1653,0.752
1654,0.918
1655,0.838
1656,0.662
1657,1.064
1658,0.883
1659,1.049
1660,0.967
1661,0.781
1662,0.767
1663,0.692
1664,0.565
1665,0.555
1666,0.407
1667,0.749
1668,0.513
1669,0.524
1670,1.285
1671,1.084
1672,0.866
1673,1.051
1674,0.598
1675,0.692
1676,0.606
1677,0.786
1678,0.866
1679,0.573
1680,0.784
1681,0.52
1682,1.231
1683,0.799
1684,1.195
1685,1.51
1686,0.983
1687,1.198
1688,0.896
1689,1.105
1690,0.841
1691,0.758
1692,0.823
1693,0.582
1694,0.646
1695,0.782
1696,0.549
1697,0.759
1698,0.631
1699,0.928
1700,0.725
1701,0.974
1702,1.194
1703,0.642
1704,0.807
1705,0.828
1706,0.998
1707,0.841
1708,1.294
1709,0.707
1710,0.654
1711,0.629
1712,1.024
1713,0.956
1714,1.115
1715,1.207
1716,0.927
1717,1.086
1718,0.777
1719,0.921
1720,1.167
1721,1.002
1722,0.842
1723,0.765
1724,0.575
1725,0.721
1726,1.032
1727,0.799
1728,0.657
1729,0.711
1730,0.727
1731,0.919
1732,0.915
1733,0.735
1734,1.11
1735,0.514
1736,0.984
1737,1.155
1738,1.172
1739,0.776
1740,1.016
1741,1.17
1742,0.871
1743,1.003
