year,rwi
1776,1.251
1777,1.491
1778,1.173
1779,1.334
1780,1.12
1781,1.015
1782,0.686
1783,0.989
1784,1.285
1785,1.19
1786,1.568
1787,0.335
1788,0.915
1789,0.818
1790,0.737
1791,1.252
1792,0.956
1793,0.468
1794,0.412
1795,0.704
1796,1.53
1797,0.688
1798,0.872
1799,0.685
1800,1.02
1801,1.364
1802,1.03
1803,1.085
1804,1.158
1805,1.29
1806,1.096
1807,0.766
1808,0.744
1809,0.923
1810,0.808
1811,0.496
1812,0.93
1813,0.837
1814,1.148
1815,0.659
1816,1.168
1817,1.213
1818,1.362
1819,0.941
1820,1.243
1821,0.998
1822,1.386
1823,1.402
1824,0.748
1825,1.571
1826,1.253
1827,0.424
1828,1.134
1829,1.388
1830,1
1831,1.722
1832,1.057
1833,0.945
1834,1.053
1835,1.174
1836,0.897
1837,0.793
1838,0.688
1839,0.721
1840,0.738
1841,0.599
1842,0.684
1843,0.739
1844,0.882
1845,0.651
1846,0.655
1847,0.599
1848,0.711
1849,0.512
1850,0.612
1851,1.017
1852,0.805
1853,0.747
1854,0.844
1855,0.896
1856,1.214
1857,0.8
1858,0.896
1859,1.141
1860,1.217
1861,1.496
1862,1.02
1863,1.132
1864,0.722
1865,0.601
1866,0.736
1867,0.928
1868,0.645
1869,1.054
1870,0.775
1871,0.78
1872,0.714
1873,0.366
1874,0.498
1875,0.704
1876,0.956
1877,0.774
1878,0.947
1879,1.722
1880,1.665
1881,0.746
1882,1.228
1883,1.277
1884,1
1885,0.656
1886,0.924
1887,0.943
1888,0.539
1889,0.845
1890,0.751
1891,0.72
1892,0.489
1893,0.899
1894,0.871
1895,0.788
1896,0.44
1897,0.873
1898,1.112
1899,0.617
1900,0.867
1901,0.607
1902,0.392
1903,0.396
1904,1.685
1905,0.646
1906,1.158
1907,1.064
1908,1.065
1909,0.865
1910,0.929
1911,0.92
1912,1.199
1913,1.032
1914,0.957
1915,1.022
1916,1.496
1917,1.248
1918,0.637
1919,0.636
1920,0.969
1921,0.719
1922,0.763
1923,0.692
1924,0.705
1925,0.436
1926,0.408
1927,0.902
1928,1.012
1929,0.976
1930,0.885
1931,1.362
1932,1.003
1933,1.129
1934,0.777
1935,0.893
1936,0.881
1937,0.877
1938,1.262
1939,1.421
1940,0.994
1941,1.374
1942,1.527
1943,0.981
1944,0.636
1945,1.15
1946,1.186
1947,0.851
1948,1.01
1949,1.159
1950,1.169
1951,1.617
1952,0.947
1953,1.027
1954,1.688
1955,1.384
1956,0.894
1957,1.007
1958,1.038
1959,0.916
1960,0.632
1961,0.834
1962,1.344
1963,0.627
1964,1.082
1965,0.526
1966,0.774
1967,0.619
1968,0.87
1969,0.696
1970,0.705
1971,0.734
1972,0.717
1973,1.153
1974,0.75
1975,0.678
1976,0.434
1977,0.592
1978,1.026
1979,0.631
1980,0.679
1981,0.811
1982,0.521
1983,1.102
1984,1.045
1985,0.83
1986,0.742
1987,0.641
1988,1.072
1989,1.348
1990,0.997
1991,0.666
1992,1.353
1993,0.686
1994,0.581
1995,1.042
1996,1.265
1997,1.181
1998,1.449
1999,1.105
2000,1.203
2001,1.09
2002,0.772
2003,1.12
2004,1.024
