year,rwi
1729,1.121
1730,0.956
1731,1.082
1732,0.924
1733,0.523
1734,0.514
1735,1.145
1736,1.257
1737,1.109
1738,1.802
1739,1.2
1740,2.117
1741,1.625
1742,0.789
1743,1.46
1744,0.673
1745,1.19
1746,1.174
1747,1.158
1748,1.252
1749,1.755
1750,1.026
1751,1.308
1752,1.083
1753,0.678
1754,0.974
1755,0.761
1756,1.325
1757,1.015
1758,1.099
1759,1.713
1760,0.451
1761,0.705
1762,0.531
1763,0.778
1764,0.679
1765,1.006
1766,1.237
1767,1.394
1768,1.139
1769,0.806
1770,0.862
1771,1.244
1772,0.84
1773,1.069
1774,0.599
1775,0.373
1776,0.952
1777,0.728
1778,0.494
1779,0.561
1780,0.627
1781,0.749
1782,0.739
1783,0.87
1784,0.789
1785,0.779
1786,0.769
1787,1.398
1788,0.999
1789,0.921
1790,0.794
1791,0.607
1792,0.711
1793,0.702
1794,0.815
1795,0.853
1796,0.961
1797,0.667
1798,0.775
1799,0.708
1800,0.857
1801,0.635
1802,0.781
1803,0.413
1804,0.462
1805,0.676
1806,0.675
1807,0.973
1808,1.206
1809,1.237
1810,0.978
1811,0.877
1812,0.898
1813,1.384
1814,1.545
1815,1.225
1816,1.321
1817,1.327
1818,0.932
1819,0.841
1820,1.015
1821,1.205
1822,0.914
1823,1.12
1824,1.331
1825,1.055
1826,0.842
1827,0.928
1828,1.119
1829,1.057
1830,0.859
1831,0.96
1832,0.771
1833,0.647
1834,0.805
1835,0.784
1836,0.625
1837,0.68
1838,0.77
1839,1.066
1840,0.628
1841,1.32
1842,1.258
1843,1.225
1844,0.925
1845,0.959
1846,1.086
1847,1.121
1848,1.207
1849,1.144
1850,1.097
1851,1.2
1852,1.007
1853,1.222
1854,1.044
1855,0.99
1856,1.019
1857,0.727
1858,0.615
1859,0.853
1860,0.77
1861,0.699
1862,0.743
1863,0.976
1864,0.853
1865,0.717
1866,1.077
1867,1.299
1868,1.171
1869,1.138
1870,0.469
1871,1.34
1872,1.197
1873,1.057
1874,0.967
1875,1.021
1876,1.01
1877,1.072
1878,1.395
1879,1.572
1880,1.396
1881,1.246
1882,1.139
1883,1.465
1884,1.249
1885,0.698
1886,1.003
1887,0.732
1888,0.781
1889,0.878
1890,0.965
1891,1.018
1892,0.963
1893,0.615
1894,0.805
1895,0.896
1896,0.814
1897,1.042
1898,1.222
1899,1.007
1900,0.974
1901,1.069
1902,1.174
1903,1.153
1904,1.249
1905,1.197
1906,0.926
1907,0.649
1908,0.84
1909,0.679
1910,0.985
1911,0.943
1912,0.811
1913,0.992
1914,1.352
1915,0.997
1916,1.132
1917,0.898
1918,0.869
1919,0.833
1920,0.912
1921,0.492
1922,0.596
1923,0.743
1924,0.824
1925,0.826
1926,1.344
1927,1.144
1928,1.211
1929,1.092
1930,0.884
1931,1.211
1932,1.317
1933,1.083
1934,1.036
1935,1.221
1936,1.217
1937,1.155
1938,1.281
1939,1.24
1940,1.573
1941,1.37
1942,0.935
1943,1.019
1944,0.666
1945,0.683
1946,0.727
1947,0.789
1948,0.615
1949,0.46
1950,0.572
1951,0.54
1952,0.476
1953,0.611
1954,0.859
1955,1.021
1956,1.129
1957,1.137
1958,1.135
1959,1.219
1960,1.13
1961,1.281
1962,1.084
1963,1.127
