year,rwi
1920,0.696
1921,0.666
1922,0.864
1923,0.973
1924,0.748
1925,0.598
1926,1.188
1927,1.184
1928,0.702
1929,0.968
1930,0.937
1931,0.928
1932,0.933
1933,0.686
1934,0.848
1935,1.164
1936,0.85
1937,1.016
1938,1.18
1939,1.22
1940,1.013
1941,1.013
1942,1.224
1943,1.227
1944,1.064
1945,1.423
1946,1.017
1947,0.545
1948,0.915
1949,1.238
1950,0.948
1951,0.657
1952,1.293
1953,0.996
1954,1.055
1955,0.75
1956,1.111
1957,0.865
1958,1.017
1959,0.648
1960,0.353
1961,0.377
1962,0.889
1963,0.693
1964,1.006
1965,1.245
1966,0.757
1967,1.217
1968,1.126
1969,1.25
1970,1.044
1971,0.979
1972,1.086
1973,0.599
1974,1.168
1975,1.041
1976,0.859
1977,0.656
1978,0.724
1979,0.477
1980,1.168
1981,1.465
1982,1.069
1983,1.312
1984,1.227
1985,0.901
1986,0.934
1987,1.21
1988,1.092
1989,1.084
1990,1.007
1991,0.683
1992,0.697
1993,0.744
1994,0.882
