year,rwi
1570,2.523
1571,2.195
1572,2.613
1573,2.937
1574,0.943
1575,1.658
1576,1.813
1577,1.548
1578,1.411
1579,1.318
1580,1.267
1581,1.541
1582,2.214
1583,0.919
1584,1.467
1585,1.063
1586,1.719
1587,1.124
1588,0.77
1589,0.84
1590,1.403
1591,0.791
1592,0.897
1593,1.076
1594,1.178
1595,0.731
1596,0.508
1597,0.721
1598,0.787
1599,0.639
1600,0.705
1601,0.595
1602,0.521
1603,0.931
1604,0.788
1605,1.156
1606,1.181
1607,0.837
1608,0.698
1609,0.594
1610,0.852
1611,1.236
1612,1.098
1613,0.705
1614,0.859
1615,0.853
1616,0.627
1617,1.058
1618,0.741
1619,0.675
1620,0.487
1621,0.604
1622,0.63
1623,0.774
1624,0.709
1625,0.645
1626,0.611
1627,0.751
1628,0.573
1629,0.512
1630,0.705
1631,0.728
1632,0.75
1633,0.717
1634,1.012
1635,0.95
1636,1.266
1637,0.989
1638,0.982
1639,0.5
1640,0.993
1641,0.57
1642,0.9
1643,0.791
1644,0.937
1645,1.181
1646,1.122
1647,1.435
1648,0.614
1649,1.389
1650,0.943
1651,0.648
1652,0.881
1653,1.441
1654,0.914
1655,1.14
1656,0.877
1657,0.847
1658,1.045
1659,0.925
1660,0.761
1661,0.6
1662,0.771
1663,0.656
1664,0.477
1665,0.668
1666,0.641
1667,0.53
1668,0.568
1669,0.731
1670,0.829
1671,0.597
1672,0.858
1673,0.73
1674,0.463
1675,0.519
1676,0.555
1677,0.767
1678,0.586
1679,0.736
1680,0.462
1681,0.802
1682,0.644
1683,0.546
1684,0.504
1685,0.482
1686,0.608
1687,0.768
1688,0.672
1689,0.595
1690,0.877
1691,0.942
1692,1.027
1693,1.076
1694,1.129
1695,0.972
1696,1.05
1697,1.103
1698,1.065
1699,0.977
1700,0.966
1701,1.049
1702,0.991
1703,0.717
1704,0.596
1705,0.643
1706,0.822
1707,1.122
1708,1.129
1709,1.027
1710,0.909
1711,0.778
1712,0.913
1713,0.77
1714,0.713
1715,0.909
1716,0.979
1717,0.868
1718,0.776
1719,1.01
1720,1.389
1721,0.854
1722,0.861
