year,rwi
1935,0.994
1936,1.302
1937,0.836
1938,0.685
1939,1.06
1940,0.866
1941,0.809
1942,1.057
1943,1.696
1944,1.224
1945,0.933
1946,0.91
1947,1.201
1948,0.664
1949,0.805
1950,1.144
1951,1.042
1952,1.033
1953,0.908
1954,0.939
1955,1.051
1956,0.707
1957,0.908
1958,1.295
1959,1.173
1960,0.975
1961,0.699
1962,0.776
1963,1.641
1964,1.187
1965,1.128
1966,0.975
1967,0.8
1968,0.991
1969,1.123
1970,1.028
1971,0.45
1972,1.106
1973,1.261
1974,1.047
1975,0.618
1976,0.891
1977,0.988
1978,0.732
1979,1.313
1980,1.206
1981,1.133
1982,1.146
1983,1.136
1984,0.598
1985,0.987
1986,0.616
1987,0.965
1988,0.971
1989,1.283
1990,1.001
1991,0.874
1992,1.211
1993,1.202
1994,0.699
