year,rwi
1657,1.878
1658,1.492
1659,1.015
1660,1.174
1661,1.764
1662,1.873
1663,1.636
1664,1.522
1665,1.209
1666,1.189
1667,1.298
1668,1.208
1669,1.259
1670,1.408
1671,1.303
1672,0.942
1673,0.916
1674,0.996
1675,1.168
1676,1.429
1677,1.219
1678,1.076
1679,1.291
1680,1.078
1681,1.01
1682,0.779
1683,1.077
1684,1.129
1685,1.42
1686,0.97
1687,0.687
1688,0.818
1689,0.52
1690,0.748
1691,0.828
1692,0.631
1693,0.939
1694,1.141
1695,0.76
1696,1.053
1697,1.204
1698,1.062
1699,1.369
1700,1.214
1701,1.18
1702,1.218
1703,0.813
1704,0.941
1705,0.819
1706,0.896
1707,0.849
1708,1.145
1709,0.817
1710,0.941
1711,0.937
1712,0.866
1713,0.678
1714,0.435
1715,0.713
1716,0.742
1717,0.807
1718,0.876
1719,0.796
1720,0.736
1721,0.974
1722,0.771
1723,1.095
1724,0.746
1725,0.83
1726,1.074
1727,0.802
1728,0.88
1729,0.892
1730,0.796
1731,0.95
1732,1.069
1733,0.817
1734,1.171
1735,1.276
1736,1.545
1737,1.122
1738,1.193
1739,1.147
1740,1.145
1741,0.962
1742,0.977
1743,0.987
1744,1.205
1745,1.266
1746,1.115
1747,0.803
1748,0.955
1749,0.862
1750,1.015
1751,1.026
1752,1.03
1753,1.273
1754,0.912
1755,0.924
1756,0.726
1757,0.976
1758,0.679
1759,0.763
1760,0.935
1761,1.041
1762,1.115
1763,0.735
1764,0.849
1765,0.892
1766,1.2
1767,1.26
1768,1.07
1769,1.199
1770,1.203
1771,0.941
1772,0.995
1773,1.042
1774,0.965
1775,1.031
1776,1.238
1777,1.04
1778,0.91
1779,1.095
1780,1.026
1781,1.117
1782,0.975
1783,0.912
1784,0.93
1785,0.731
1786,0.901
1787,0.997
1788,0.743
1789,0.68
1790,0.772
1791,1.01
1792,1.067
1793,1.341
1794,1.329
1795,0.934
1796,0.922
1797,0.959
1798,0.889
1799,0.896
1800,0.967
1801,0.806
1802,1.019
1803,1.126
1804,1.02
1805,1.085
1806,1.225
1807,0.942
1808,0.856
1809,0.844
1810,0.871
1811,1.002
1812,1.199
1813,0.981
1814,0.95
1815,1.079
1816,1.18
1817,0.998
1818,1.233
1819,1.242
1820,1.365
1821,1.215
1822,1.288
1823,1.027
1824,0.991
1825,1.016
1826,0.834
1827,1.08
1828,1.311
1829,1.261
1830,1.146
1831,1.012
1832,1.157
1833,1.09
1834,0.878
1835,0.837
1836,0.841
1837,0.866
1838,0.828
1839,0.64
1840,0.68
1841,0.367
1842,0.322
1843,0.315
1844,0.292
1845,0.408
1846,0.455
1847,0.568
1848,0.623
1849,0.835
1850,0.715
1851,0.787
1852,0.734
1853,0.938
1854,0.892
1855,1.007
1856,1.093
1857,1.063
1858,1.093
1859,0.927
1860,0.888
1861,0.899
1862,1.073
1863,1.062
1864,1.314
1865,1.158
1866,1.201
1867,1.012
1868,1.437
1869,1.058
1870,1.224
1871,1.463
1872,1.517
1873,1.25
1874,1.248
1875,1.215
1876,1.505
1877,1.26
1878,1.34
1879,0.956
1880,0.927
1881,0.942
1882,1.154
1883,1.138
1884,1.296
1885,0.977
1886,0.911
1887,0.915
1888,0.958
1889,1.123
1890,1.047
1891,1.094
1892,0.997
1893,0.94
1894,1.026
1895,1.3
1896,0.712
1897,0.641
1898,0.702
1899,0.896
1900,1.064
1901,1.239
1902,1.072
1903,1.006
1904,0.689
1905,0.799
1906,0.671
1907,0.865
1908,0.998
1909,0.819
1910,0.844
1911,0.814
1912,0.774
1913,0.731
1914,0.985
1915,1.073
1916,1.032
1917,0.846
1918,0.867
1919,0.91
1920,1.077
1921,1.036
1922,1.048
1923,1.093
1924,1.044
1925,0.931
1926,0.841
1927,0.994
1928,0.84
1929,0.848
1930,1.184
1931,1.15
1932,0.833
1933,0.704
1934,0.633
1935,0.735
1936,0.765
1937,0.875
1938,0.994
1939,1.26
1940,1.076
1941,1.207
1942,1.1
1943,1.393
1944,1.5
1945,1.082
1946,0.699
1947,0.699
1948,0.666
1949,0.806
1950,1.025
1951,1.061
1952,1.081
1953,1.247
1954,1.152
1955,1.051
1956,1.232
1957,1.078
1958,1.084
1959,0.804
1960,0.962
1961,1.183
1962,1.11
1963,1.035
1964,1.148
1965,0.901
1966,0.94
1967,0.826
1968,0.861
1969,0.715
1970,0.646
1971,0.568
1972,0.848
1973,0.977
1974,0.993
1975,0.882
1976,0.796
1977,0.869
1978,0.921
1979,0.996
1980,1.047
1981,0.823
1982,0.928
1983,0.94
1984,0.925
1985,1.158
1986,1.012
1987,0.943
1988,0.971
1989,1.171
1990,1.105
1991,1.182
1992,1.201
1993,0.887
1994,1.11
1995,1.214
1996,0.868
1997,1.171
1998,1.395
