year,rwi
1750,3.11
1751,3.26
1752,3.88
1753,5.02
1754,5.44
1755,3.41
1756,6.888
1757,4.008
1758,4.29
1759,4.72
1760,4.53
1761,3.936
1762,3.775
1763,2.646
1764,3.116
1765,2.546
1766,2.208
1767,2.068
1768,2.016
1769,1.791
1770,1.602
1771,2.448
1772,1.534
1773,1.274
1774,1.632
1775,1.635
1776,2.773
1777,2.172
1778,1.776
1779,1.556
1780,1.213
1781,1.699
1782,1.262
1783,1.802
1784,1.051
1785,0.966
1786,1.382
1787,1.526
1788,1.334
1789,0.938
1790,0.689
1791,0.798
1792,0.541
1793,0.748
1794,0.777
1795,0.77
1796,0.962
1797,0.976
1798,0.704
1799,0.94
1800,1.197
1801,1.142
1802,1.08
1803,0.814
1804,0.939
1805,0.994
1806,0.94
1807,1.159
1808,1.53
1809,1.611
1810,1.25
1811,1.564
1812,1.677
1813,1.531
1814,2.136
1815,2.223
1816,1.639
1817,1.659
1818,1.478
1819,0.825
1820,0.814
1821,1.044
1822,1.348
1823,1.224
1824,1.181
1825,0.955
1826,0.835
1827,1.092
1828,1.42
1829,1.244
1830,1.111
1831,1.294
1832,0.925
1833,1.068
1834,1.252
1835,1.429
1836,1.23
1837,1.284
1838,1.102
1839,0.852
1840,1.19
1841,1.149
1842,1.592
1843,1.397
1844,1.655
1845,1.371
1846,1.404
1847,1.041
1848,1.364
1849,1.399
1850,1.555
1851,1.626
1852,1.243
1853,1.237
1854,1.244
1855,1.189
1856,1.074
1857,1.533
1858,1.684
1859,1.888
1860,1.947
1861,2.229
1862,1.678
1863,1.718
1864,1.572
1865,2.27
1866,1.85
1867,1.298
1868,1.641
1869,1.56
1870,1.373
1871,1.265
1872,1.402
1873,1.586
1874,1.155
1875,1.301
1876,1.372
1877,1.015
1878,1.129
1879,0.971
1880,1.663
1881,1.214
1882,2.018
1883,1.474
1884,1.606
1885,1.059
1886,1.576
1887,1.276
1888,1.842
1889,2.065
1890,1.702
1891,0.925
1892,1.398
1893,1.229
1894,1.2
1895,1.311
1896,1.159
1897,1.062
1898,1.012
1899,0.787
1900,0.819
1901,0.884
1902,1.011
1903,1.17
1904,1.415
1905,1.383
1906,1.508
1907,1.618
1908,1.677
1909,1.753
1910,1.681
1911,1.127
1912,1.508
1913,1.273
1914,0.938
1915,1.453
1916,1.553
1917,1.308
1918,1.596
1919,1.479
1920,1.6
1921,1.093
1922,1.424
1923,1.585
1924,1.554
1925,0.947
1926,1.474
1927,1.513
1928,1.321
1929,1.477
1930,0.822
1931,0.914
1932,0.951
1933,1.426
1934,1.022
1935,1.149
1936,0.446
1937,1.389
1938,2.011
1939,0.958
1940,0.594
1941,0.637
1942,1.518
1943,1.19
1944,0.657
1945,1.004
1946,1.026
1947,1.267
1948,1.169
1949,0.913
1950,1.175
1951,0.79
1952,0.627
1953,0.655
1954,0.557
1955,0.741
1956,0.982
1957,0.652
1958,0.984
1959,0.713
1960,0.766
1961,1.023
1962,0.836
1963,0.831
1964,0.797
1965,0.865
1966,0.927
1967,1.094
1968,1.145
1969,1.078
1970,1.054
1971,0.991
1972,0.622
1973,0.785
1974,1.163
1975,0.919
1976,0.844
1977,0.999
1978,0.91
1979,0.715
1980,0.49
1981,1.065
1982,0.715
1983,0.33
1984,0.635
1985,0.615
1986,0.44
1987,0.55
1988,0.32
1989,0.195
1990,0.735
1991,0.71
1992,0.56
1993,0.645
1994,0.615
1995,0.625
1996,0.665
1997,0.985
1998,0.83
1999,0.785
2000,0.46
2001,0.735
2002,0.57
2003,0.505
2004,0.82
