year,rwi
997,1.766
998,0.84
999,0.802
1000,0.463
1001,0.711
1002,1.5
1003,0.975
1004,0.637
1005,0.566
1006,0.515
1007,0.686
1008,0.663
1009,1.113
1010,0.82
1011,1.072
1012,0.723
1013,1.132
1014,0.47
1015,0.558
1016,0.356
1017,1.441
1018,1.067
1019,2.156
1020,0.743
1021,1.073
1022,0.801
1023,0.771
1024,1.166
1025,0.858
1026,1.061
1027,1.363
1028,1.154
1029,0.897
1030,1.313
1031,1.338
1032,1.183
1033,0.902
1034,0.769
1035,0.991
1036,0.925
1037,1.085
1038,1.105
1039,1.107
1040,0.845
1041,0.775
1042,0.868
1043,0.884
1044,0.556
1045,0.561
1046,1.082
1047,1.181
1048,0.808
1049,1.256
1050,0.849
1051,0.586
1052,1.037
1053,1.568
1054,1.827
1055,2.021
1056,1.875
1057,1.386
1058,1.135
1059,1.362
1060,1.541
1061,1.125
1062,0.519
1063,0.671
1064,0.664
1065,1.276
1066,1.271
1067,0.893
1068,1.288
1069,0.852
1070,1.164
1071,1.029
1072,0.841
1073,0.769
1074,0.512
1075,0.899
1076,0.868
1077,1.035
1078,0.83
1079,0.667
1080,0.365
1081,0.773
1082,0.746
1083,1.153
1084,1.132
1085,1.205
1086,0.706
1087,0.892
1088,1.259
1089,0.998
1090,0.632
1091,0.88
1092,0.929
1093,1.037
1094,1.181
1095,1.407
1096,1.28
1097,1.186
1098,1.479
1099,0.952
1100,0.874
1101,0.901
1102,1.103
1103,1.203
1104,0.776
1105,0.57
1106,1.449
1107,1.463
1108,0.869
1109,0.864
1110,0.836
1111,0.844
1112,0.705
1113,0.989
1114,1.675
1115,0.854
1116,0.895
1117,0.863
1118,0.938
1119,0.821
1120,1.107
1121,0.995
1122,0.74
1123,1.177
1124,0.768
1125,0.693
1126,0.632
1127,0.886
1128,0.681
1129,0.465
1130,0.609
1131,0.73
1132,0.782
1133,0.834
1134,0.54
1135,0.671
1136,1.408
1137,0.715
1138,0.468
1139,0.78
1140,0.894
1141,0.809
1142,0.787
1143,0.924
1144,0.88
1145,0.778
1146,0.778
1147,0.922
1148,0.975
1149,0.556
1150,0.6
1151,0.803
1152,0.693
1153,0.801
1154,0.62
1155,0.572
1156,0.625
1157,0.731
1158,0.417
1159,0.647
1160,0.894
1161,0.826
1162,1.002
1163,1.011
1164,0.754
1165,1.436
1166,1.647
1167,0.82
1168,1.452
1169,1.711
1170,1.701
1171,1.964
1172,2.101
1173,2.35
1174,2.537
1175,2.919
1176,2.394
1177,1.362
1178,2.067
1179,1.469
1180,2.046
1181,0.898
1182,1.647
1183,1.334
1184,0.931
1185,0.998
1186,1.215
1187,0.925
1188,1.239
1189,1.455
1190,1.24
1191,1.396
1192,1.381
1193,0.811
1194,1.022
1195,1.219
1196,1.269
1197,1.773
1198,0.962
1199,0.837
1200,0.797
1201,0.671
1202,0.8
1203,0.624
1204,0.872
1205,0.918
1206,0.722
1207,0.664
1208,0.729
1209,0.762
1210,0.713
1211,0.53
1212,1.003
1213,1.059
1214,0.911
1215,0.541
1216,0.486
1217,0.533
1218,1.02
1219,1.354
1220,1.312
1221,1.031
1222,0.971
1223,0.827
1224,0.563
1225,0.549
1226,0.723
1227,1.01
1228,1.444
1229,0.991
1230,0.917
1231,0.694
1232,0.597
1233,0.54
1234,0.485
1235,1.053
1236,0.605
1237,0.886
1238,0.821
1239,1.086
1240,0.587
1241,0.554
1242,0.936
1243,1.089
1244,1.203
1245,0.899
1246,0.743
1247,0.781
1248,0.894
1249,0.761
1250,0.898
1251,0.806
1252,1.01
1253,1.421
1254,0.887
1255,0.981
1256,0.702
1257,0.694
1258,0.793
1259,1.001
1260,1.223
1261,0.885
1262,0.867
1263,0.964
1264,1.212
1265,1.559
1266,1.426
1267,2.171
1268,1.824
1269,0.51
1270,1.282
1271,1.036
1272,0.843
1273,1.274
1274,1.061
1275,0.931
1276,0.394
1277,0.832
1278,1.181
1279,0.98
1280,0.92
1281,0.838
1282,0.874
1283,0.783
1284,0.729
1285,0.936
1286,0.892
1287,0.717
1288,0.712
1289,0.685
1290,1.324
1291,0.471
1292,0.763
1293,0.394
1294,0.358
1295,0.846
1296,0.793
1297,0.543
1298,0.804
1299,0.699
1300,1.042
1301,0.697
1302,1.329
1303,1.113
1304,1.224
1305,0.843
1306,1.37
1307,0.654
1308,0.681
1309,0.812
1310,0.674
1311,0.616
1312,0.47
1313,0.545
1314,1.023
1315,0.947
1316,0.97
1317,0.88
1318,0.969
1319,1.292
1320,0.943
1321,1.789
1322,1.255
1323,1.83
1324,1.631
1325,1.37
1326,2.155
1327,1.955
1328,1.88
1329,0.961
1330,0.839
1331,0.99
1332,1.259
1333,1.242
1334,1.359
1335,1.162
1336,0.842
1337,0.737
1338,0.92
1339,0.856
1340,0.516
1341,0.725
1342,1.141
1343,1.222
1344,1.217
1345,0.967
1346,0.724
1347,0.654
1348,1.457
1349,1.099
1350,1.229
1351,0.907
1352,0.724
1353,1.02
1354,0.944
1355,1.341
1356,1.381
1357,1.75
1358,1.469
1359,1.513
1360,0.731
1361,0.989
1362,1.169
1363,0.892
1364,0.811
1365,0.726
1366,0.558
1367,0.656
1368,0.833
1369,0.268
1370,0.589
1371,0.751
1372,0.757
1373,1.593
1374,0.652
1375,0.714
1376,0.581
1377,0.777
1378,0.482
1379,0.445
1380,0.961
1381,1.174
1382,0.798
1383,0.802
1384,0.809
1385,1.078
1386,0.902
1387,0.912
1388,1.246
1389,1.617
1390,1.134
1391,1.55
1392,1.491
1393,1.728
1394,1.953
1395,1.435
1396,1.417
1397,1.393
1398,1.462
1399,1.092
1400,0.955
1401,0.786
1402,0.891
1403,1.001
1404,1.221
1405,0.975
1406,0.848
1407,0.853
1408,1.201
1409,1.254
1410,1.131
1411,1.321
1412,1.049
1413,1.334
1414,1.716
1415,1.152
1416,0.935
1417,1.398
1418,1.202
1419,1.05
1420,1.124
1421,0.778
1422,1.197
1423,1.005
1424,0.986
1425,0.836
1426,1.435
1427,0.841
1428,1.559
1429,1.762
1430,1.171
1431,0.979
1432,1.585
1433,1.064
1434,0.669
1435,0.731
1436,0.805
1437,1.208
1438,1.662
1439,1.642
1440,1.526
1441,0.779
1442,0.749
1443,0.842
1444,0.331
1445,0.581
1446,0.249
1447,0.321
1448,0.946
1449,0.816
1450,0.612
1451,1.226
1452,1.024
1453,1.218
1454,0.688
1455,0.366
1456,0.533
1457,0.377
1458,0.082
1459,0.557
1460,0.378
1461,0.619
1462,1.033
1463,1.201
1464,0.723
1465,0.948
1466,1.13
1467,0.932
1468,0.824
1469,1.135
1470,1.106
1471,0.889
1472,0.541
1473,0.571
1474,0.613
1475,0.744
1476,0.712
1477,1.002
1478,1.171
1479,1.258
1480,1.208
1481,0.637
1482,1.179
1483,1.528
1484,1.484
1485,1.669
1486,1.455
1487,1.512
1488,1.022
1489,0.724
1490,0.948
1491,0.629
1492,0.937
1493,1.219
1494,1.218
1495,1.348
1496,0.76
1497,0.624
1498,1.408
1499,0.782
1500,1.048
1501,0.618
1502,0.837
1503,0.776
1504,0.881
1505,0.555
1506,0.839
1507,1.211
1508,0.419
1509,1.106
1510,0.871
1511,0.672
1512,0.631
1513,0.685
1514,1.062
1515,0.964
1516,0.967
1517,1.006
1518,1.173
1519,1.473
1520,1.032
1521,1.192
1522,1.152
1523,1.298
1524,1.143
1525,0.985
1526,0.833
1527,0.962
1528,0.766
1529,0.54
1530,0.439
1531,0.426
1532,0.376
1533,0.549
1534,0.707
1535,0.448
1536,0.879
1537,0.555
1538,0.981
1539,1.382
1540,1.606
1541,1.536
1542,0.871
1543,1.305
1544,1.053
1545,1.243
1546,1.071
1547,0.94
1548,1.347
1549,1.028
1550,1.458
1551,1
